YEAR,STATE,n,sales,entry,exit,sls_growth,n_retail,sales_retail,entry_retail,exit_retail,sls_growth_retail,n_card,sales_card,entry_card,exit_card,sls_growth_card
1970,MA,78583,642115.284474446,1,0.147818230406067,,46245,417526.716126961,1,0.160449778354417,,3386,317697.385821404,1,0.184288245717661,
1970,N,467128,834728.837413058,1,0.156126372214896,,281375,448132.352763823,1,0.169421590404265,,22941,242408.285541665,1,0.174403905671069,
1970,WI,60625,539197.633712823,1,0.14360412371134,,38432,270568.513088429,1,0.16007493755204,,1971,133405.04064588,1,0.157280568239472,
1970,R,13820,544908.89872347,1,0.164616497829233,,7505,349751.285533885,1,0.182678214523651,,534,297243.036093418,1,0.194756554307116,
1970,ME,14172,257895.21323586,1,0.164549816539656,,9041,228431.489747258,1,0.181506470523172,,581,107015.859375,1,0.206540447504303,
1970,FL,83445,394366.169773555,1,0.180621966564803,,49576,332460.776772484,1,0.194206874294013,,4267,125853.485525227,1,0.181392078743848,
1970,MI,175556,628042.927597172,1,0.154047711271617,,103815,432004.684698641,1,0.167962240524009,,6049,207554.888290963,1,0.163332782278063,
1970,TE,205418,513422.468906734,1,0.185553359491379,,122324,384766.774230054,1,0.197279356463163,,7428,173225.969683189,1,0.192784060312332,
1970,VT,6982,254796.754665453,1,0.192494987109711,,4329,201157.167350881,1,0.191730191730192,,247,120900.224215247,1,0.214574898785425,
1970,GA,57927,431316.325702393,1,0.195038583044176,,36214,304009.950077631,1,0.204561771690506,,2193,151426.21,1,0.20109439124487,
1970,OH,126277,726037.363443688,1,0.155736990900956,,69018,397159.436984393,1,0.175128227418934,,3622,286800.029800307,1,0.163445610160133,
1970,CA,201557,720442.551451232,1,0.205966550405096,,112552,459359.868401256,1,0.232292629184732,,8613,186235.893575144,1,0.244630210147452,
1970,IN,62102,461764.200437905,1,0.156033622105568,,37372,320554.17812473,1,0.175157872203789,,2083,140813.158176944,1,0.168026884301488,
1970,VA,48764,462792.058513712,1,0.147403822492002,,28928,323413.992327747,1,0.158116703539823,,1542,150789.543726236,1,0.167963683527886,
1970,CO,70669,709895.244510441,1,0.161103171121708,,41003,305938.486448119,1,0.179938053313172,,2870,160094.237982664,1,0.169337979094077,
1970,D,8193,1090189.61614563,1,0.208714756499451,,4968,663461.51847079,1,0.246980676328502,,486,519699.665871122,1,0.259259259259259,
1970,PA,164659,584152.832992097,1,0.130202418331218,,95724,294819.941827369,1,0.143339183485855,,7268,122109.867267267,1,0.154375343973583,
1970,MD,37822,464758.409172842,1,0.146105441277563,,21905,334896.417571714,1,0.160967815567222,,1335,216456.728813559,1,0.152808988764045,
1970,IL,135260,1014683.41102609,1,0.161333727635665,,78623,556899.514295407,1,0.18170255523193,,5991,252207.084139442,1,0.183274912368553,
1970,IO,45463,352705.882077847,1,0.147746519147439,,28723,268773.641394996,1,0.161786721442746,,1594,113651.351351351,1,0.141781681304893,
1970,MO,37117,963907.859005239,1,0.167793733329741,,18346,649752.079881835,1,0.20026163741415,,975,1388965.56206089,1,0.212307692307692,
1970,AR,48345,291009.295283806,1,0.182004343779088,,30675,255681.832142347,1,0.19680521597392,,1821,102237.899262899,1,0.184514003294893,
1970,DE,6240,1095748.81716678,1,0.141346153846154,,3790,318004.322416714,1,0.161477572559367,,258,136179.826086957,1,0.155038759689923,
1970,AL,35852,365232.572973307,1,0.184173825727993,,22552,252761.021178725,1,0.196168854203618,,1492,131583.423335827,1,0.194369973190349,
1970,KY,40093,346342.049911601,1,0.150599855336343,,25279,219247.732122444,1,0.161398789509079,,1385,131868.744939271,1,0.149458483754513,
1970,S,43135,280935.189953307,1,0.148904601831459,,26885,235659.302640156,1,0.158899014320253,,1806,110566.504369538,1,0.140642303433001,
1970,WA,47210,419626.383043204,1,0.187629739461978,,26813,342709.524857863,1,0.195502181777496,,1387,244035.793991416,1,0.191780821917808,
1970,W,21543,251808.778193178,1,0.167711089449009,,13560,200446.526219172,1,0.172418879056047,,673,120175.795644891,1,0.145616641901932,
1970,ID,9858,525168.888476255,1,0.181578413471292,,6909,290562.974868777,1,0.194673614126502,,326,145784.775086505,1,0.162576687116564,
1970,OK,38732,495335.245773433,1,0.180884023546422,,23687,429871.175869788,1,0.197154557352134,,1525,122830.320178704,1,0.176393442622951,
1970,LA,45240,389767.12803612,1,0.154442970822281,,26995,332305.982572713,1,0.165104649009076,,1646,174691.802286483,1,0.16767922235723,
1970,OR,31337,487701.679525754,1,0.172926572422376,,18038,405221.847448191,1,0.186661492404923,,835,450901.946022727,1,0.160479041916168,
1970,NE,33022,433921.345318501,1,0.18584579976985,,19890,299687.836273973,1,0.199145299145299,,1078,181394.123273114,1,0.185528756957328,
1970,UT,12617,395243.933604571,1,0.166442101925973,,7791,368806.855677249,1,0.18316005647542,,422,161298.346456693,1,0.154028436018957,
1970,HA,8904,506274.132882036,1,0.154088050314465,,5211,545663.787595582,1,0.165419305315678,,404,184310.789473684,1,0.178217821782178,
1970,KA,14268,648304.907220686,1,0.171502663302495,,6280,590451.579613095,1,0.200477707006369,,288,130440.572687225,1,0.201388888888889,
1970,WY,6152,173189.762760604,1,0.184167750325098,,3728,196472.120151648,1,0.212178111587983,,230,97644.8113207547,1,0.165217391304348,
1970,1,3,136.666666666667,1,0.333333333333333,,,,,,,,,,,
1970,O4,1,0,1,0,,1,0,1,0,,,,,,
1970,6,1,110,1,1,,,,,,,,,,,
1970,3,1,0,1,1,,,,,,,,,,,
1970,"",2,,1,0.5,,,,,,,,,,,
1970,YY,1,,1,1,,,,,,,,,,,
1971,MA,81863,703830.952514884,0.182096918021573,1,0.184685812550616,47133,500399.375985101,0.176033776759383,1,0.180646457271579,3579,359638.843111404,0.205644034646549,1,0.164180572235308
1971,N,471013,917737.27736214,0.163407379414156,1,0.163004564058288,281090,523557.971362226,0.162538688676225,1,0.159214359880059,24493,296441.524892685,0.212754664598048,1,0.159909490734084
1971,WI,62162,606940.879376958,0.164698690518323,1,0.15481913199786,39473,308047.037676992,0.177716413751172,1,0.154848271241381,2108,154373.896034298,0.176944971537002,1,0.145734094598988
1971,R,14403,640512.246924559,0.199541762132889,1,0.162659538244692,7543,397689.973284589,0.190375182288214,1,0.17108641690618,530,320182.686567164,0.190566037735849,1,0.139442171295622
1971,ME,14529,336862.864754098,0.18480280817675,1,0.235182192502677,9138,291608.2,0.178594878529219,1,0.249296561345337,598,138505.038461538,0.165551839464883,1,0.191889820376228
1971,FL,95189,461492.866153094,0.280673187027913,1,0.243073383118838,55450,431693.578103265,0.274229035166817,1,0.222863677099295,4976,131705.461963043,0.282355305466238,1,0.202538806962184
1971,MI,183378,687464.831120327,0.190071873398118,1,0.174922740796289,107742,449555.012901278,0.193044495182937,1,0.178770837540735,6476,209336.971731449,0.204292773316862,1,0.17246181822703
1971,TE,218704,607670.538985711,0.234947691857488,1,0.219897005515387,128893,457331.823199791,0.234566656063557,1,0.214338947694543,8802,181834.060574276,0.283231083844581,1,0.215495545276724
1971,GA,60202,535510.980725284,0.22530812929803,1,0.209920645163202,36811,359259.298218999,0.209258102197713,1,0.195740883881101,2569,163965.726989773,0.277539898793305,1,0.20081544370499
1971,OH,125413,793695.61048883,0.149968504062577,1,0.160584941063716,68045,452663.233722551,0.159012418252627,1,0.156285161615979,3742,313156.522018349,0.180652057723143,1,0.144743613464199
1971,PA,165228,643844.052703207,0.133621420098288,1,0.156429595655098,95814,367349.9487006,0.13819483582775,1,0.151858696938195,7500,155980.974557358,0.166666666666667,1,0.154044027859977
1971,CA,252022,721594.18544136,0.36490861908881,1,0.193819744937612,143876,484554.005557532,0.397064138563763,1,0.19157567753091,11420,255483.998255941,0.422942206654991,1,0.202532459638889
1971,VT,7103,290523.731455118,0.205828523159229,1,0.273137064530498,4492,234170.009363296,0.21393588601959,1,0.284182784801419,267,136933.016528926,0.228464419475655,1,0.211669275982371
1971,IN,63132,541792.618388085,0.170151428752455,1,0.17207497909403,37566,373973.338171095,0.177953468561998,1,0.174058659494283,2216,156747.094455852,0.195397111913357,1,0.164204429426299
1971,VA,52556,535797.991119117,0.20760712382982,1,0.195941557018365,30670,349397.124064592,0.198369742419302,1,0.186036884196999,1759,202741.563562203,0.24332006822058,1,0.184552553406007
1971,CO,74929,765610.482195824,0.2074630650349,1,0.200939161453901,42836,368534.434656783,0.211831170043888,1,0.194958057057718,3115,181630.140532544,0.220866773675762,1,0.180700747334381
1971,IL,139816,1102329.19556357,0.188912570807347,1,0.174665756728116,80415,624285.380311187,0.19404339986321,1,0.171434551307548,6264,309208.869905677,0.207535121328225,1,0.171522487954656
1971,MD,40303,620265.853448276,0.194675334342357,1,0.188881882048073,23137,397909.710677328,0.198772528849894,1,0.171871033788739,1526,247250.635042081,0.241153342070773,1,0.221546451995622
1971,DE,6241,1501805.74054622,0.141163275116167,1,0.158855985429835,3801,400558.36821267,0.158642462509866,1,0.165243112682738,277,163053.719008264,0.180505415162455,1,0.179564835259712
1971,IO,46258,384635.955632451,0.162415149811924,1,0.136166223823203,29427,293932.571035099,0.167974988955721,1,0.139587314535508,1714,120261.109652003,0.173278879813302,1,0.130332436241084
1971,MO,76081,676880.844702111,0.594208803774924,1,0.191199614852605,45773,451592.902222328,0.674327660411159,1,0.19444615171462,2810,576857.407114625,0.713167259786477,1,0.202379708329145
1971,AR,50064,380311.088578405,0.210290827740492,1,0.227145423340738,31093,297478.437566931,0.204611970539993,1,0.209419478305604,2136,115658.829787234,0.274812734082397,1,0.214811289039695
1971,AL,44260,386272.792956968,0.338635336647085,1,0.190494253250916,28434,276226.579603421,0.357002180488148,1,0.17760470029119,2074,158948.716548334,0.402603664416586,1,0.211988303905025
1971,KY,41308,425212.661725499,0.175365546625351,1,0.17310118858127,25489,254991.015240278,0.168582525795441,1,0.170996853211963,1536,122923.414996288,0.201822916666667,1,0.126922578735877
1971,S,45520,315647.041965927,0.193211775043937,1,0.160536853944231,28110,260385.648426436,0.185627890430452,1,0.154861418263491,2106,113387.854054054,0.226020892687559,1,0.14249808456143
1971,WA,47559,461420.239416483,0.193990622174562,1,0.149336990322336,26731,372282.707451861,0.188283266619281,1,0.155648652617154,1414,250637.630901288,0.183875530410184,1,0.13172151746596
1971,D,8208,1319995.88345362,0.234283625730994,1,0.217256065503719,4716,770155.033249255,0.224978795589483,1,0.229155699090449,522,288881.557017544,0.331417624521073,1,0.247704913588772
