GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "06000","California",8,SAGDP5N,1,"...","All industry total","Thousands of dollars",-4792622,-4538264,-5041043,-4761753,-12587049,-5607389,-5708264,-5812073,-6632385,-6264550,-5978334,-6187464,-7376168,-7160257,-7370058,-6939987,-6942216,-7037075,-6831628,-7412121,-7464532,-7766465,-8032363,-101284903
 "06000","California",8,SAGDP5N,2,"..."," Private industries","Thousands of dollars",-2425687,-2577710,-2951077,-2879808,-10612755,-3285214,-3203178,-3120558,-3923042,-3382372,-3101614,-3349945,-4085083,-3823322,-4126509,-4005885,-3936148,-3784572,-3645452,-3849959,-3892978,-3974705,-4099900,-94448627
 "06000","California",8,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",-186992,-303941,-577264,-592199,-786084,-560021,-630440,-408227,-603205,-452950,-426667,-367759,-483380,-308610,-219397,-236809,-201454,-188468,-186439,-200021,-146828,-237767,-382773,-4207717
 "06000","California",8,SAGDP5N,4,"111-112","   Farms","Thousands of dollars",-186992,-303941,-577264,-592199,-786084,-560021,-630440,-408227,-603205,-452950,-426667,-367759,-483380,-308610,-219397,-236809,-201454,-188468,-186439,-200021,-146828,-237767,-382773,-3442059
 "06000","California",8,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-765658
 "06000","California",8,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180087
 "06000","California",8,SAGDP5N,7,"211","   Oil and gas extraction","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45087
 "06000","California",8,SAGDP5N,8,"212","   Mining (except oil and gas)","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55196
 "06000","California",8,SAGDP5N,9,"213","   Support activities for mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79803
 "06000","California",8,SAGDP5N,10,"22","  Utilities","Thousands of dollars",0,0,0,0,-7024000,-385000,319000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-171890
 "06000","California",8,SAGDP5N,11,"23","  Construction","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9712876
 "06000","California",8,SAGDP5N,12,"31-33","  Manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,-689,-297,-8549,-29201,-93302,-95798,-83226,-33943,-44040,-22293,-21977,-21019,-23697,-26542,-8747968
 "06000","California",8,SAGDP5N,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-8233,-20385,-63113,-77147,-48136,-22969,-17712,-18353,-18021,-17196,-19753,-23321,-5472285
 "06000","California",8,SAGDP5N,14,"321","    Wood product manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-203539
 "06000","California",8,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-226174
 "06000","California",8,SAGDP5N,16,"331","    Primary metal manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-124910
 "06000","California",8,SAGDP5N,17,"332","    Fabricated metal product manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1236995
 "06000","California",8,SAGDP5N,18,"333","    Machinery manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-586682
 "06000","California",8,SAGDP5N,19,"334","    Computer and electronic product manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1242861
 "06000","California",8,SAGDP5N,20,"335","    Electrical equipment, appliance, and component manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-8233,-20385,-63113,-77147,-48136,-22969,-17712,-18353,-18021,-17196,-19753,-23321,-298265
 "06000","California",8,SAGDP5N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-182379
 "06000","California",8,SAGDP5N,22,"3364-3369","    Other transportation equipment manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-336535
