naics97,naics02,mappings,wt_mappings
421450,425110,1,.33333334
421450,425120,1,.33333334
42146/,42346/,1,.33333334
42146/,42511/,1,.33333334
42146/,42512/,1,.33333334
421460,423460,1,.33333334
421460,425110,1,.33333334
421460,425120,1,.33333334
42149/,42349/,1,.33333334
42149/,42511/,1,.33333334
42149/,42512/,1,.33333334
421490,423490,1,.33333334
421490,425110,1,.33333334
421490,425120,1,.33333334
4215//,4235//,2,.33333334
4215//,4251//,4,.66666669
42151/,42351/,1,.33333334
42151/,42511/,1,.33333334
42151/,42512/,1,.33333334
421510,423510,1,.33333334
421510,425110,1,.33333334
421510,425120,1,.33333334
42152/,42352/,1,.33333334
42152/,42511/,1,.33333334
42152/,42512/,1,.33333334
421520,423520,1,.33333334
421520,425110,1,.33333334
421520,425120,1,.33333334
4216//,4236//,3,.33333334
4216//,4251//,6,.66666669
42161/,42361/,1,.33333334
42161/,42511/,1,.33333334
42161/,42512/,1,.33333334
421610,423610,1,.33333334
421610,425110,1,.33333334
421610,425120,1,.33333334
42162/,42362/,1,.33333334
42162/,42511/,1,.33333334
42162/,42512/,1,.33333334
421620,423620,1,.33333334
421620,425110,1,.33333334
421620,425120,1,.33333334
42169/,42369/,1,.33333334
42169/,42511/,1,.33333334
42169/,42512/,1,.33333334
421690,423690,1,.33333334
421690,425110,1,.33333334
421690,425120,1,.33333334
4217//,4237//,4,.33333334
4217//,4251//,8,.66666669
42171/,42371/,1,.33333334
42171/,42511/,1,.33333334
42171/,42512/,1,.33333334
421710,423710,1,.33333334
421710,425110,1,.33333334
421710,425120,1,.33333334
42172/,42372/,1,.33333334
42172/,42511/,1,.33333334
42172/,42512/,1,.33333334
421720,423720,1,.33333334
421720,425110,1,.33333334
421720,425120,1,.33333334
42173/,42373/,1,.33333334
42173/,42511/,1,.33333334
42173/,42512/,1,.33333334
421730,423730,1,.33333334
421730,425110,1,.33333334
421730,425120,1,.33333334
42174/,42374/,1,.33333334
42174/,42511/,1,.33333334
42174/,42512/,1,.33333334
421740,423740,1,.33333334
421740,425110,1,.33333334
421740,425120,1,.33333334
4218//,4238//,6,.33333334
4218//,4251//,12,.66666669
42181/,42381/,1,.33333334
42181/,42511/,1,.33333334
42181/,42512/,1,.33333334
421810,423810,1,.33333334
421810,425110,1,.33333334
421810,425120,1,.33333334
42182/,42382/,1,.33333334
42182/,42511/,1,.33333334
42182/,42512/,1,.33333334
421820,423820,1,.33333334
421820,425110,1,.33333334
421820,425120,1,.33333334
42183/,42383/,1,.33333334
42183/,42511/,1,.33333334
42183/,42512/,1,.33333334
421830,423830,1,.33333334
421830,425110,1,.33333334
421830,425120,1,.33333334
42184/,42384/,1,.33333334
42184/,42511/,1,.33333334
42184/,42512/,1,.33333334
421840,423840,1,.33333334
421840,425110,1,.33333334
421840,425120,1,.33333334
42185/,42385/,1,.33333334
42185/,42511/,1,.33333334
42185/,42512/,1,.33333334
421850,423850,1,.33333334
421850,425110,1,.33333334
421850,425120,1,.33333334
42186/,42386/,1,.33333334
42186/,42511/,1,.33333334
42186/,42512/,1,.33333334
421860,423860,1,.33333334
421860,425110,1,.33333334
421860,425120,1,.33333334
4219//,4239//,5,.33333334
4219//,4251//,10,.66666669
42191/,42391/,1,.33333334
42191/,42511/,1,.33333334
42191/,42512/,1,.33333334
421910,423910,1,.33333334
421910,425110,1,.33333334
421910,425120,1,.33333334
42192/,42392/,1,.33333334
42192/,42511/,1,.33333334
42192/,42512/,1,.33333334
421920,423920,1,.33333334
421920,425110,1,.33333334
421920,425120,1,.33333334
42193/,42393/,1,.33333334
42193/,42511/,1,.33333334
42193/,42512/,1,.33333334
421930,423930,1,.33333334
421930,425110,1,.33333334
421930,425120,1,.33333334
42194/,42394/,1,.33333334
42194/,42511/,1,.33333334
42194/,42512/,1,.33333334
421940,423940,1,.33333334
421940,425110,1,.33333334
421940,425120,1,.33333334
42199/,42399/,1,.33333334
42199/,42511/,1,.33333334
42199/,42512/,1,.33333334
421990,423990,1,.33333334
421990,425110,1,.33333334
421990,425120,1,.33333334
422///,424///,32,.34042552
422///,425///,62,.65957445
4221//,4241//,3,.33333334
4221//,4251//,6,.66666669
42211/,42411/,1,.33333334
42211/,42511/,1,.33333334
42211/,42512/,1,.33333334
422110,424110,1,.33333334
422110,425110,1,.33333334
422110,425120,1,.33333334
42212/,42412/,1,.33333334
42212/,42511/,1,.33333334
42212/,42512/,1,.33333334
422120,424120,1,.33333334
422120,425110,1,.33333334
422120,425120,1,.33333334
42213/,42413/,1,.33333334
42213/,42511/,1,.33333334
42213/,42512/,1,.33333334
422130,424130,1,.33333334
422130,425110,1,.33333334
422130,425120,1,.33333334
4222//,4242//,1,.33333334
4222//,4251//,2,.66666669
42221/,42421/,1,.33333334
42221/,42511/,1,.33333334
42221/,42512/,1,.33333334
422210,424210,1,.33333334
422210,425110,1,.33333334
422210,425120,1,.33333334
4223//,4243//,4,.33333334
4223//,4251//,8,.66666669
42231/,42431/,1,.33333334
42231/,42511/,1,.33333334
42231/,42512/,1,.33333334
422310,424310,1,.33333334
422310,425110,1,.33333334
422310,425120,1,.33333334
42232/,42432/,1,.33333334
42232/,42511/,1,.33333334
42232/,42512/,1,.33333334
422320,424320,1,.33333334
422320,425110,1,.33333334
422320,425120,1,.33333334
42233/,42433/,1,.33333334
42233/,42511/,1,.33333334
42233/,42512/,1,.33333334
422330,424330,1,.33333334
422330,425110,1,.33333334
422330,425120,1,.33333334
42234/,42434/,1,.33333334
42234/,42511/,1,.33333334
42234/,42512/,1,.33333334
422340,424340,1,.33333334
422340,425110,1,.33333334
422340,425120,1,.33333334
4224//,4244//,9,.33333334
4224//,4251//,18,.66666669
42241/,42441/,1,.33333334
42241/,42511/,1,.33333334
42241/,42512/,1,.33333334
422410,424410,1,.33333334
422410,425110,1,.33333334
422410,425120,1,.33333334
42242/,42442/,1,.33333334
42242/,42511/,1,.33333334
42242/,42512/,1,.33333334
422420,424420,1,.33333334
422420,425110,1,.33333334
422420,425120,1,.33333334
42243/,42443/,1,.33333334
42243/,42511/,1,.33333334
42243/,42512/,1,.33333334
422430,424430,1,.33333334
422430,425110,1,.33333334
422430,425120,1,.33333334
42244/,42444/,1,.33333334
42244/,42511/,1,.33333334
42244/,42512/,1,.33333334
422440,424440,1,.33333334
422440,425110,1,.33333334
422440,425120,1,.33333334
42245/,42445/,1,.33333334
42245/,42511/,1,.33333334
42245/,42512/,1,.33333334
422450,424450,1,.33333334
422450,425110,1,.33333334
422450,425120,1,.33333334
42246/,42446/,1,.33333334
42246/,42511/,1,.33333334
42246/,42512/,1,.33333334
422460,424460,1,.33333334
422460,425110,1,.33333334
422460,425120,1,.33333334
42247/,42447/,1,.33333334
42247/,42511/,1,.33333334
42247/,42512/,1,.33333334
422470,424470,1,.33333334
422470,425110,1,.33333334
422470,425120,1,.33333334
42248/,42448/,1,.33333334
42248/,42511/,1,.33333334
42248/,42512/,1,.33333334
422480,424480,1,.33333334
422480,425110,1,.33333334
422480,425120,1,.33333334
42249/,42449/,1,.33333334
42249/,42511/,1,.33333334
42249/,42512/,1,.33333334
422490,424490,1,.33333334
422490,425110,1,.33333334
422490,425120,1,.33333334
4225//,4245//,3,.33333334
4225//,4251//,6,.66666669
42251/,42451/,1,.33333334
42251/,42511/,1,.33333334
42251/,42512/,1,.33333334
422510,424510,1,.33333334
422510,425110,1,.33333334
422510,425120,1,.33333334
42252/,42452/,1,.33333334
42252/,42511/,1,.33333334
42252/,42512/,1,.33333334
422520,424520,1,.33333334
422520,425110,1,.33333334
422520,425120,1,.33333334
42259/,42459/,1,.33333334
42259/,42511/,1,.33333334
42259/,42512/,1,.33333334
422590,424590,1,.33333334
422590,425110,1,.33333334
422590,425120,1,.33333334
4226//,4246//,2,.33333334
4226//,4251//,4,.66666669
42261/,42461/,1,.33333334
42261/,42511/,1,.33333334
42261/,42512/,1,.33333334
422610,424610,1,.33333334
422610,425110,1,.33333334
422610,425120,1,.33333334
42269/,42469/,1,.33333334
42269/,42511/,1,.33333334
42269/,42512/,1,.33333334
422690,424690,1,.33333334
422690,425110,1,.33333334
422690,425120,1,.33333334
4227//,4247//,2,.5
4227//,4251//,2,.5
42271/,42471/,1,1
422710,424710,1,1
42272/,42472/,1,.33333334
42272/,42511/,1,.33333334
42272/,42512/,1,.33333334
422720,424720,1,.33333334
422720,425110,1,.33333334
422720,425120,1,.33333334
4228//,4248//,2,.33333334
4228//,4251//,4,.66666669
42281/,42481/,1,.33333334
42281/,42511/,1,.33333334
42281/,42512/,1,.33333334
422810,424810,1,.33333334
422810,425110,1,.33333334
422810,425120,1,.33333334
42282/,42482/,1,.33333334
42282/,42511/,1,.33333334
42282/,42512/,1,.33333334
422820,424820,1,.33333334
422820,425110,1,.33333334
422820,425120,1,.33333334
4229//,4249//,6,.33333334
4229//,4251//,12,.66666669
42291/,42491/,1,.33333334
42291/,42511/,1,.33333334
42291/,42512/,1,.33333334
422910,424910,1,.33333334
422910,425110,1,.33333334
422910,425120,1,.33333334
42292/,42492/,1,.33333334
42292/,42511/,1,.33333334
42292/,42512/,1,.33333334
422920,424920,1,.33333334
422920,425110,1,.33333334
422920,425120,1,.33333334
42293/,42493/,1,.33333334
42293/,42511/,1,.33333334
42293/,42512/,1,.33333334
422930,424930,1,.33333334
422930,425110,1,.33333334
422930,425120,1,.33333334
42294/,42494/,1,.33333334
42294/,42511/,1,.33333334
42294/,42512/,1,.33333334
422940,424940,1,.33333334
422940,425110,1,.33333334
422940,425120,1,.33333334
42295/,42495/,1,.33333334
42295/,42511/,1,.33333334
42295/,42512/,1,.33333334
422950,424950,1,.33333334
422950,425110,1,.33333334
422950,425120,1,.33333334
42299/,42499/,1,.33333334
42299/,42511/,1,.33333334
42299/,42512/,1,.33333334
422990,424990,1,.33333334
422990,425110,1,.33333334
422990,425120,1,.33333334
44----,44----,75,1
441///,441///,8,1
4411//,4411//,2,1
44111/,44111/,1,1
441110,441110,1,1
44112/,44112/,1,1
441120,441120,1,1
4412//,4412//,4,1
44121/,44121/,1,1
441210,441210,1,1
44122/,44122/,3,1
441221,441221,1,1
441222,441222,1,1
441229,441229,1,1
4413//,4413//,2,1
44131/,44131/,1,1
441310,441310,1,1
44132/,44132/,1,1
441320,441320,1,1
442///,442///,4,1
4421//,4421//,1,1
44211/,44211/,1,1
442110,442110,1,1
4422//,4422//,3,1
44221/,44221/,1,1
442210,442210,1,1
44229/,44229/,2,1
442291,442291,1,1
442299,442299,1,1
443///,443///,4,1
4431//,4431//,4,1
44311/,44311/,2,1
443111,443111,1,1
443112,443112,1,1
44312/,44312/,1,1
443120,443120,1,1
44313/,44313/,1,1
443130,443130,1,1
444///,444///,6,1
4441//,4441//,4,1
44411/,44411/,1,1
444110,444110,1,1
44412/,44412/,1,1
444120,444120,1,1
44413/,44413/,1,1
444130,444130,1,1
44419/,44419/,1,1
444190,444190,1,1
4442//,4442//,2,1
44421/,44421/,1,1
444210,444210,1,1
44422/,44422/,1,1
444220,444220,1,1
445///,445///,9,1
4451//,4451//,2,1
44511/,44511/,1,1
445110,445110,1,1
44512/,44512/,1,1
445120,445120,1,1
4452//,4452//,6,1
44521/,44521/,1,1
445210,445210,1,1
44522/,44522/,1,1
445220,445220,1,1
44523/,44523/,1,1
445230,445230,1,1
44529/,44529/,3,1
445291,445291,1,1
445292,445292,1,1
445299,445299,1,1
4453//,4453//,1,1
44531/,44531/,1,1
445310,445310,1,1
446///,446///,5,1
4461//,4461//,5,1
44611/,44611/,1,1
446110,446110,1,1
44612/,44612/,1,1
446120,446120,1,1
44613/,44613/,1,1
446130,446130,1,1
44619/,44619/,2,1
446191,446191,1,1
446199,446199,1,1
447///,447///,2,1
4471//,4471//,2,1
44711/,44711/,1,1
447110,447110,1,1
44719/,44719/,1,1
447190,447190,1,1
448///,448///,9,1
4481//,4481//,6,1
44811/,44811/,1,1
448110,448110,1,1
44812/,44812/,1,1
448120,448120,1,1
44813/,44813/,1,1
448130,448130,1,1
44814/,44814/,1,1
448140,448140,1,1
44815/,44815/,1,1
448150,448150,1,1
44819/,44819/,1,1
448190,448190,1,1
4482//,4482//,1,1
44821/,44821/,1,1
448210,448210,1,1
4483//,4483//,2,1
44831/,44831/,1,1
448310,448310,1,1
44832/,44832/,1,1
448320,448320,1,1
451///,451///,7,1
4511//,4511//,4,1
45111/,45111/,1,1
451110,451110,1,1
45112/,45112/,1,1
451120,451120,1,1
45113/,45113/,1,1
451130,451130,1,1
45114/,45114/,1,1
451140,451140,1,1
4512//,4512//,3,1
45121/,45121/,2,1
451211,451211,1,1
451212,451212,1,1
45122/,45122/,1,1
451220,451220,1,1
452///,452///,4,1
4521//,4521//,2,1
45211/,45211/,2,1
452110,452111,1,.5
452110,452112,1,.5
4529//,4529//,2,1
45291/,45291/,1,1
452910,452910,1,1
45299/,45299/,1,1
452990,452990,1,1
453///,453///,9,1
4531//,4531//,1,1
45311/,45311/,1,1
453110,453110,1,1
4532//,4532//,2,1
45321/,45321/,1,1
453210,453210,1,1
45322/,45322/,1,1
453220,453220,1,1
4533//,4533//,1,1
45331/,45331/,1,1
453310,453310,1,1
4539//,4539//,5,1
45391/,45391/,1,1
453910,453910,1,1
45392/,45392/,1,1
453920,453920,1,1
45393/,45393/,1,1
453930,453930,1,1
45399/,45399/,2,1
453991,453991,1,1
453998,453998,1,1
454///,454///,8,1
4541//,4541//,3,1
45411/,45411/,3,1
454110,454111,1,.33333334
454110,454112,1,.33333334
454110,454113,1,.33333334
4542//,4542//,1,1
45421/,45421/,1,1
454210,454210,1,1
4543//,4543//,4,1
45431/,45431/,3,1
454311,454311,1,1
454312,454312,1,1
454319,454319,1,1
45439/,45439/,1,1
454390,454390,1,1
48----,48----,57,1
481///,481///,5,1
4811//,4811//,2,1
48111/,48111/,2,1
481111,481111,1,1
481112,481112,1,1
4812//,4812//,3,1
48121/,48121/,3,1
481211,481211,1,1
481212,481212,1,1
481219,481219,1,1
482///,482///,2,1
4821//,4821//,2,1
48211/,48211/,2,1
482111,482111,1,1
482112,482112,1,1
483///,483///,6,1
4831//,4831//,4,1
48311/,48311/,4,1
483111,483111,1,1
483112,483112,1,1
483113,483113,1,1
483114,483114,1,1
4832//,4832//,2,1
48321/,48321/,2,1
483211,483211,1,1
483212,483212,1,1
484///,484///,6,1
4841//,4841//,3,1
48411/,48411/,1,1
484110,484110,1,1
48412/,48412/,2,1
484121,484121,1,1
484122,484122,1,1
4842//,4842//,3,1
48421/,48421/,1,1
484210,484210,1,1
48422/,48422/,1,1
484220,484220,1,1
48423/,48423/,1,1
484230,484230,1,1
485///,485///,11,1
4851//,4851//,4,1
48511/,48511/,4,1
485111,485111,1,1
485112,485112,1,1
485113,485113,1,1
485119,485119,1,1
4852//,4852//,1,1
48521/,48521/,1,1
485210,485210,1,1
4853//,4853//,2,1
48531/,48531/,1,1
485310,485310,1,1
48532/,48532/,1,1
485320,485320,1,1
4854//,4854//,1,1
48541/,48541/,1,1
485410,485410,1,1
4855//,4855//,1,1
48551/,48551/,1,1
485510,485510,1,1
4859//,4859//,2,1
48599/,48599/,2,1
485991,485991,1,1
485999,485999,1,1
486///,486///,4,1
4861//,4861//,1,1
48611/,48611/,1,1
486110,486110,1,1
4862//,4862//,1,1
48621/,48621/,1,1
486210,486210,1,1
4869//,4869//,2,1
48691/,48691/,1,1
486910,486910,1,1
48699/,48699/,1,1
486990,486990,1,1
487///,487///,3,1
4871//,4871//,1,1
48711/,48711/,1,1
487110,487110,1,1
4872//,4872//,1,1
48721/,48721/,1,1
487210,487210,1,1
4879//,4879//,1,1
48799/,48799/,1,1
487990,487990,1,1
488///,488///,13,1
4881//,4881//,3,1
48811/,48811/,2,1
488111,488111,1,1
488119,488119,1,1
48819/,48819/,1,1
488190,488190,1,1
4882//,4882//,1,1
48821/,48821/,1,1
488210,488210,1,1
4883//,4883//,4,1
48831/,48831/,1,1
488310,488310,1,1
48832/,48832/,1,1
488320,488320,1,1
48833/,48833/,1,1
488330,488330,1,1
48839/,48839/,1,1
488390,488390,1,1
4884//,4884//,2,1
48841/,48841/,1,1
488410,488410,1,1
48849/,48849/,1,1
488490,488490,1,1
4885//,4885//,1,1
48851/,48851/,1,1
488510,488510,1,1
4889//,4889//,2,1
48899/,48899/,2,1
488991,488991,1,1
488999,488999,1,1
491///,491///,1,1
4911//,4911//,1,1
49111/,49111/,1,1
491110,491110,1,1
492///,492///,2,1
4921//,4921//,1,1
49211/,49211/,1,1
492110,492110,1,1
4922//,4922//,1,1
49221/,49221/,1,1
492210,492210,1,1
493///,493///,4,1
4931//,4931//,4,1
49311/,49311/,1,1
493110,493110,1,1
49312/,49312/,1,1
493120,493120,1,1
49313/,49313/,1,1
493130,493130,1,1
49319/,49319/,1,1
493190,493190,1,1
51----,51----,43,1
511///,511///,8,.5714286
511///,516///,6,.42857143
5111//,5111//,7,.53846157
5111//,5161//,6,.46153846
51111/,51111/,1,.5
51111/,51611/,1,.5
511110,511110,1,.5
511110,516110,1,.5
51112/,51112/,1,.5
51112/,51611/,1,.5
511120,511120,1,.5
511120,516110,1,.5
51113/,51113/,1,.5
51113/,51611/,1,.5
511130,511130,1,.5
511130,516110,1,.5
51114/,51114/,1,.5
51114/,51611/,1,.5
511140,511140,1,.5
511140,516110,1,.5
51119/,51113/,1,.2
51119/,51119/,2,.40000001
51119/,51611/,2,.40000001
511191,511191,1,.5
511191,516110,1,.5
511199,511130,1,.33333334
511199,511199,1,.33333334
511199,516110,1,.33333334
5112//,5112//,1,1
51121/,51121/,1,1
511210,511210,1,1
512///,512///,11,1
5121//,5121//,6,1
51211/,51211/,1,1
512110,512110,1,1
51212/,51212/,1,1
512120,512120,1,1
51213/,51213/,2,1
512131,512131,1,1
512132,512132,1,1
51219/,51219/,2,1
512191,512191,1,1
512199,512199,1,1
5122//,5122//,5,1
51221/,51221/,1,1
512210,512210,1,1
51222/,51222/,1,1
512220,512220,1,1
51223/,51223/,1,1
512230,512230,1,1
51224/,51224/,1,1
512240,512240,1,1
51229/,51229/,1,1
512290,512290,1,1
513///,515///,4,.36363637
513///,517///,7,.63636363
5131//,5151//,3,1
51311/,51511/,2,1
513111,515111,1,1
513112,515112,1,1
51312/,51512/,1,1
513120,515120,1,1
5132//,5152//,1,.5
5132//,5175//,1,.5
51321/,51521/,1,1
513210,515210,1,1
51322/,51751/,1,1
513220,517510,1,1
5133//,5171//,1,.16666667
5133//,5172//,2,.33333334
5133//,5173//,1,.16666667
5133//,5174//,1,.16666667
5133//,5179//,1,.16666667
51331/,51711/,1,1
513310,517110,1,1
51332/,51721/,2,1
513321,517211,1,1
513322,517212,1,1
51333/,51731/,1,1
513330,517310,1,1
51334/,51741/,1,1
513340,517410,1,1
51339/,51791/,1,1
513390,517910,1,1
514///,516///,1,.14285715
514///,518///,3,.42857143
514///,519///,3,.42857143
5141//,5161//,1,.16666667
5141//,5181//,2,.33333334
5141//,5191//,3,.5
51411/,51911/,1,1
514110,519110,1,1
51412/,51912/,1,1
514120,519120,1,1
51419/,51611/,1,.25
51419/,51811/,2,.5
51419/,51919/,1,.25
514191,518111,1,1
514199,516110,1,.33333334
514199,518112,1,.33333334
514199,519190,1,.33333334
5142//,5182//,1,1
51421/,51821/,1,1
514210,518210,1,1
52----,52----,42,1
521///,521///,1,1
5211//,5211//,1,1
52111/,52111/,1,1
521110,521110,1,1
522///,522///,14,1
5221//,5221//,4,1
52211/,52211/,1,1
522110,522110,1,1
52212/,52212/,1,1
522120,522120,1,1
52213/,52213/,1,1
522130,522130,1,1
52219/,52219/,1,1
522190,522190,1,1
5222//,5222//,7,1
52221/,52221/,1,1
522210,522210,1,1
52222/,52222/,1,1
522220,522220,1,1
52229/,52229/,5,1
522291,522291,1,1
522292,522292,1,1
522293,522293,1,1
522294,522294,1,1
522298,522298,1,1
5223//,5223//,3,1
52231/,52231/,1,1
522310,522310,1,1
52232/,52232/,1,1
522320,522320,1,1
52239/,52239/,1,1
522390,522390,1,1
523///,523///,10,1
5231//,5231//,4,1
52311/,52311/,1,1
523110,523110,1,1
52312/,52312/,1,1
523120,523120,1,1
52313/,52313/,1,1
523130,523130,1,1
52314/,52314/,1,1
523140,523140,1,1
5232//,5232//,1,1
52321/,52321/,1,1
523210,523210,1,1
5239//,5239//,5,1
52391/,52391/,1,1
523910,523910,1,1
52392/,52392/,1,1
523920,523920,1,1
52393/,52393/,1,1
523930,523930,1,1
52399/,52399/,2,1
523991,523991,1,1
523999,523999,1,1
524///,524///,10,1
5241//,5241//,6,1
52411/,52411/,2,1
524113,524113,1,1
524114,524114,1,1
52412/,52412/,3,1
524126,524126,1,1
524127,524127,1,1
524128,524128,1,1
52413/,52413/,1,1
524130,524130,1,1
5242//,5242//,4,1
52421/,52421/,1,1
524210,524210,1,1
52429/,52429/,3,1
524291,524291,1,1
524292,524292,1,1
524298,524298,1,1
525///,525///,7,1
5251//,5251//,3,1
52511/,52511/,1,1
525110,525110,1,1
52512/,52512/,1,1
525120,525120,1,1
52519/,52519/,1,1
525190,525190,1,1
5259//,5259//,4,1
52591/,52591/,1,1
525910,525910,1,1
52592/,52592/,1,1
525920,525920,1,1
52593/,52593/,1,1
525930,525930,1,1
52599/,52599/,1,1
525990,525990,1,1
53----,53----,24,1
531///,531///,9,1
5311//,5311//,4,1
53111/,53111/,1,1
531110,531110,1,1
53112/,53112/,1,1
531120,531120,1,1
53113/,53113/,1,1
531130,531130,1,1
53119/,53119/,1,1
531190,531190,1,1
5312//,5312//,1,1
53121/,53121/,1,1
531210,531210,1,1
5313//,5313//,4,1
53131/,53131/,2,1
531311,531311,1,1
531312,531312,1,1
53132/,53132/,1,1
531320,531320,1,1
53139/,53139/,1,1
531390,531390,1,1
532///,532///,14,1
5321//,5321//,3,1
53211/,53211/,2,1
532111,532111,1,1
532112,532112,1,1
53212/,53212/,1,1
532120,532120,1,1
5322//,5322//,6,1
53221/,53221/,1,1
532210,532210,1,1
53222/,53222/,1,1
532220,532220,1,1
53223/,53223/,1,1
532230,532230,1,1
53229/,53229/,3,1
532291,532291,1,1
532292,532292,1,1
532299,532299,1,1
5323//,5323//,1,1
53231/,53231/,1,1
532310,532310,1,1
5324//,5324//,4,1
53241/,53241/,2,1
532411,532411,1,1
532412,532412,1,1
53242/,53242/,1,1
532420,532420,1,1
53249/,53249/,1,1
532490,532490,1,1
533///,533///,1,1
5331//,5331//,1,1
53311/,53311/,1,1
533110,533110,1,1
54----,54----,47,1
541///,541///,47,1
5411//,5411//,4,1
54111/,54111/,1,1
541110,541110,1,1
54112/,54112/,1,1
541120,541120,1,1
54119/,54119/,2,1
541191,541191,1,1
541199,541199,1,1
5412//,5412//,4,1
54121/,54121/,4,1
541211,541211,1,1
541213,541213,1,1
541214,541214,1,1
541219,541219,1,1
5413//,5413//,8,1
54131/,54131/,1,1
541310,541310,1,1
54132/,54132/,1,1
541320,541320,1,1
54133/,54133/,1,1
541330,541330,1,1
54134/,54134/,1,1
541340,541340,1,1
54135/,54135/,1,1
541350,541350,1,1
54136/,54136/,1,1
541360,541360,1,1
54137/,54137/,1,1
541370,541370,1,1
54138/,54138/,1,1
541380,541380,1,1
5414//,5414//,4,1
54141/,54141/,1,1
541410,541410,1,1
54142/,54142/,1,1
541420,541420,1,1
54143/,54143/,1,1
541430,541430,1,1
54149/,54149/,1,1
541490,541490,1,1
5415//,5415//,4,1
54151/,54151/,4,1
541511,541511,1,1
541512,541512,1,1
541513,541513,1,1
541519,541519,1,1
5416//,5416//,7,1
54161/,54161/,5,1
541611,541611,1,1
541612,541612,1,1
541613,541613,1,1
541614,541614,1,1
541618,541618,1,1
54162/,54162/,1,1
541620,541620,1,1
54169/,54169/,1,1
541690,541690,1,1
5417//,5417//,2,1
54171/,54171/,1,1
541710,541710,1,1
54172/,54172/,1,1
541720,541720,1,1
5418//,5418//,8,1
54181/,54181/,1,1
541810,541810,1,1
54182/,54182/,1,1
541820,541820,1,1
54183/,54183/,1,1
541830,541830,1,1
54184/,54184/,1,1
541840,541840,1,1
54185/,54185/,1,1
541850,541850,1,1
54186/,54186/,1,1
541860,541860,1,1
54187/,54187/,1,1
541870,541870,1,1
54189/,54189/,1,1
541890,541890,1,1
5419//,5419//,6,1
54191/,54191/,1,1
541910,541910,1,1
54192/,54192/,2,1
541921,541921,1,1
541922,541922,1,1
54193/,54193/,1,1
541930,541930,1,1
54194/,54194/,1,1
541940,541940,1,1
54199/,54199/,1,1
541990,541990,1,1
55----,55----,3,1
551///,551///,3,1
5511//,5511//,3,1
55111/,55111/,3,1
551111,551111,1,1
551112,551112,1,1
551114,551114,1,1
56----,23----,1,.022727273
56----,56----,43,.97727275
561///,238///,1,.030303031
561///,561///,32,.969697
5611//,5611//,1,1
56111/,56111/,1,1
561110,561110,1,1
5612//,5612//,1,1
56121/,56121/,1,1
561210,561210,1,1
5613//,5613//,3,1
56131/,56131/,1,1
561310,561310,1,1
56132/,56132/,1,1
561320,561320,1,1
56133/,56133/,1,1
561330,561330,1,1
5614//,5614//,10,1
56141/,56141/,1,1
561410,561410,1,1
56142/,56142/,2,1
561421,561421,1,1
561422,561422,1,1
56143/,56143/,2,1
561431,561431,1,1
561439,561439,1,1
56144/,56144/,1,1
561440,561440,1,1
56145/,56145/,1,1
561450,561450,1,1
56149/,56149/,3,1
561491,561491,1,1
561492,561492,1,1
561499,561499,1,1
5615//,5615//,4,1
56151/,56151/,1,1
561510,561510,1,1
56152/,56152/,1,1
561520,561520,1,1
56159/,56159/,2,1
561591,561591,1,1
561599,561599,1,1
5616//,5616//,5,1
56161/,56161/,3,1
561611,561611,1,1
561612,561612,1,1
561613,561613,1,1
56162/,56162/,2,1
561621,561621,1,1
561622,561622,1,1
5617//,2389//,1,.16666667
5617//,5617//,5,.83333331
56171/,56171/,1,1
561710,561710,1,1
56172/,23899/,1,.5
56172/,56172/,1,.5
561720,238990,1,.5
561720,561720,1,.5
56173/,56173/,1,1
561730,561730,1,1
56174/,56174/,1,1
561740,561740,1,1
56179/,56179/,1,1
561790,561790,1,1
5619//,5619//,3,1
56191/,56191/,1,1
561910,561910,1,1
56192/,56192/,1,1
561920,561920,1,1
56199/,56199/,1,1
561990,561990,1,1
562///,562///,11,1
5621//,5621//,3,1
56211/,56211/,3,1
562111,562111,1,1
562112,562112,1,1
562119,562119,1,1
5622//,5622//,4,1
56221/,56221/,4,1
562211,562211,1,1
562212,562212,1,1
562213,562213,1,1
562219,562219,1,1
5629//,5629//,4,1
56291/,56291/,1,1
562910,562910,1,1
56292/,56292/,1,1
562920,562920,1,1
56299/,56299/,2,1
562991,562991,1,1
562998,562998,1,1
61----,61----,17,1
611///,611///,17,1
6111//,6111//,1,1
61111/,61111/,1,1
611110,611110,1,1
6112//,6112//,1,1
61121/,61121/,1,1
611210,611210,1,1
6113//,6113//,1,1
61131/,61131/,1,1
611310,611310,1,1
6114//,6114//,3,1
61141/,61141/,1,1
611410,611410,1,1
61142/,61142/,1,1
611420,611420,1,1
61143/,61143/,1,1
611430,611430,1,1
6115//,6115//,4,1
61151/,61151/,4,1
611511,611511,1,1
611512,611512,1,1
611513,611513,1,1
611519,611519,1,1
6116//,6116//,6,1
61161/,61161/,1,1
611610,611610,1,1
61162/,61162/,1,1
611620,611620,1,1
61163/,61163/,1,1
611630,611630,1,1
61169/,61169/,3,1
611691,611691,1,1
611692,611692,1,1
611699,611699,1,1
6117//,6117//,1,1
61171/,61171/,1,1
611710,611710,1,1
62----,62----,39,1
621///,621///,21,1
6211//,6211//,2,1
62111/,62111/,2,1
621111,621111,1,1
621112,621112,1,1
6212//,6212//,1,1
62121/,62121/,1,1
621210,621210,1,1
6213//,6213//,6,1
62131/,62131/,1,1
621310,621310,1,1
62132/,62132/,1,1
621320,621320,1,1
62133/,62133/,1,1
