naics97,naics02,mappings,wt_mappings
23511/,23821/,1,.33333334
23511/,23822/,1,.33333334
23511/,23891/,1,.33333334
235110,238210,1,.33333334
235110,238220,1,.33333334
235110,238910,1,.33333334
2352//,2373//,1,.5
2352//,2383//,1,.5
23521/,23731/,1,.5
23521/,23832/,1,.5
235210,237310,1,.5
235210,238320,1,.5
2353//,2382//,1,1
23531/,23821/,1,1
235310,238210,1,1
2354//,2381//,2,.5
2354//,2383//,2,.5
23541/,23814/,1,1
235410,238140,1,1
23542/,23814/,1,.5
23542/,23831/,1,.5
235420,238140,1,.5
235420,238310,1,.5
23543/,23834/,1,1
235430,238340,1,1
2355//,2381//,1,.33333334
2355//,2383//,2,.66666669
23551/,23813/,1,.5
23551/,23835/,1,.5
235510,238130,1,.5
235510,238350,1,.5
23552/,23833/,1,1
235520,238330,1,1
2356//,2381//,2,.66666669
2356//,2383//,1,.33333334
23561/,23816/,1,.33333334
23561/,23817/,1,.33333334
23561/,23839/,1,.33333334
235610,238160,1,.33333334
235610,238170,1,.33333334
235610,238390,1,.33333334
2357//,2381//,1,.5
2357//,2389//,1,.5
23571/,23811/,1,.5
23571/,23899/,1,.5
235710,238110,1,.5
235710,238990,1,.5
2358//,2371//,1,1
23581/,23711/,1,1
235810,237110,1,1
2359//,2362//,1,.06666667
2359//,2379//,1,.06666667
2359//,2381//,4,.26666668
2359//,2382//,4,.26666668
2359//,2383//,1,.06666667
2359//,2389//,4,.26666668
23591/,23812/,1,.33333334
23591/,23819/,1,.33333334
23591/,23822/,1,.33333334
235910,238120,1,.33333334
235910,238190,1,.33333334
235910,238220,1,.33333334
23592/,23815/,1,1
235920,238150,1,1
23593/,23891/,1,1
235930,238910,1,1
23594/,23891/,1,1
235940,238910,1,1
23595/,23822/,1,.5
23595/,23829/,1,.5
235950,238220,1,.5
235950,238290,1,.5
23599/,23622/,1,.14285715
23599/,23799/,1,.14285715
23599/,23819/,1,.14285715
23599/,23829/,1,.14285715
23599/,23839/,1,.14285715
23599/,23891/,1,.14285715
23599/,23899/,1,.14285715
235990,236220,1,.14285715
235990,237990,1,.14285715
235990,238190,1,.14285715
235990,238290,1,.14285715
235990,238390,1,.14285715
235990,238910,1,.14285715
235990,238990,1,.14285715
31----,31----,473,1
311///,311///,47,1
3111//,3111//,2,1
31111/,31111/,2,1
311111,311111,1,1
311119,311119,1,1
3112//,3112//,8,1
31121/,31121/,3,1
311211,311211,1,1
311212,311212,1,1
311213,311213,1,1
31122/,31122/,4,1
311221,311221,1,1
311222,311222,1,1
311223,311223,1,1
311225,311225,1,1
31123/,31123/,1,1
311230,311230,1,1
3113//,3113//,6,1
31131/,31131/,3,1
311311,311311,1,1
311312,311312,1,1
311313,311313,1,1
31132/,31132/,1,1
311320,311320,1,1
31133/,31133/,1,1
311330,311330,1,1
31134/,31134/,1,1
311340,311340,1,1
3114//,3114//,5,1
31141/,31141/,2,1
311411,311411,1,1
311412,311412,1,1
31142/,31142/,3,1
311421,311421,1,1
311422,311422,1,1
311423,311423,1,1
3115//,3115//,5,1
31151/,31151/,4,1
311511,311511,1,1
311512,311512,1,1
311513,311513,1,1
311514,311514,1,1
31152/,31152/,1,1
311520,311520,1,1
3116//,3116//,4,1
31161/,31161/,4,1
311611,311611,1,1
311612,311612,1,1
311613,311613,1,1
311615,311615,1,1
3117//,3117//,2,1
31171/,31171/,2,1
311711,311711,1,1
311712,311712,1,1
3118//,3118//,7,1
31181/,31181/,3,1
311811,311811,1,1
311812,311812,1,1
311813,311813,1,1
31182/,31182/,3,1
311821,311821,1,1
311822,311822,1,1
311823,311823,1,1
31183/,31183/,1,1
311830,311830,1,1
3119//,3119//,8,1
31191/,31191/,2,1
311911,311911,1,1
311919,311919,1,1
31192/,31192/,1,1
311920,311920,1,1
31193/,31193/,1,1
311930,311930,1,1
31194/,31194/,2,1
311941,311941,1,1
311942,311942,1,1
31199/,31199/,2,1
311991,311991,1,1
311999,311999,1,1
312///,312///,9,1
3121//,3121//,6,1
31211/,31211/,3,1
312111,312111,1,1
312112,312112,1,1
312113,312113,1,1
31212/,31212/,1,1
312120,312120,1,1
31213/,31213/,1,1
312130,312130,1,1
31214/,31214/,1,1
312140,312140,1,1
3122//,3122//,3,1
31221/,31221/,1,1
312210,312210,1,1
31222/,31222/,2,1
312221,312221,1,1
312229,312229,1,1
313///,313///,12,1
3131//,3131//,3,1
31311/,31311/,3,1
313111,313111,1,1
313112,313112,1,1
313113,313113,1,1
3132//,3132//,6,1
31321/,31321/,1,1
313210,313210,1,1
31322/,31322/,2,1
313221,313221,1,1
313222,313222,1,1
31323/,31323/,1,1
313230,313230,1,1
31324/,31324/,2,1
313241,313241,1,1
313249,313249,1,1
3133//,3133//,3,1
31331/,31331/,2,1
313311,313311,1,1
313312,313312,1,1
31332/,31332/,1,1
313320,313320,1,1
314///,314///,8,1
3141//,3141//,3,1
31411/,31411/,1,1
314110,314110,1,1
31412/,31412/,2,1
314121,314121,1,1
314129,314129,1,1
3149//,3149//,5,1
31491/,31491/,2,1
314911,314911,1,1
314912,314912,1,1
31499/,31499/,3,1
314991,314991,1,1
314992,314992,1,1
314999,314999,1,1
315///,315///,24,1
3151//,3151//,4,1
31511/,31511/,2,1
315111,315111,1,1
315119,315119,1,1
31519/,31519/,2,1
315191,315191,1,1
315192,315192,1,1
3152//,3152//,16,1
31521/,31521/,2,1
315211,315211,1,1
315212,315212,1,1
31522/,31522/,6,1
315221,315221,1,1
315222,315222,1,1
315223,315223,1,1
315224,315224,1,1
315225,315225,1,1
315228,315228,1,1
31523/,31523/,5,1
315231,315231,1,1
315232,315232,1,1
315233,315233,1,1
315234,315234,1,1
315239,315239,1,1
31529/,31529/,3,1
315291,315291,1,1
315292,315292,1,1
315299,315299,1,1
3159//,3159//,4,1
31599/,31599/,4,1
315991,315991,1,1
315992,315992,1,1
315993,315993,1,1
315999,315999,1,1
316///,316///,10,1
3161//,3161//,1,1
31611/,31611/,1,1
316110,316110,1,1
3162//,3162//,5,1
31621/,31621/,5,1
316211,316211,1,1
316212,316212,1,1
316213,316213,1,1
316214,316214,1,1
316219,316219,1,1
3169//,3169//,4,1
31699/,31699/,4,1
316991,316991,1,1
316992,316992,1,1
316993,316993,1,1
316999,316999,1,1
321///,321///,14,1
3211//,3211//,2,1
32111/,32111/,2,1
321113,321113,1,1
321114,321114,1,1
3212//,3212//,5,1
32121/,32121/,5,1
321211,321211,1,1
321212,321212,1,1
321213,321213,1,1
321214,321214,1,1
321219,321219,1,1
3219//,3219//,7,1
32191/,32191/,3,1
321911,321911,1,1
321912,321912,1,1
321918,321918,1,1
32192/,32192/,1,1
321920,321920,1,1
32199/,32199/,3,1
321991,321991,1,1
321992,321992,1,1
321999,321999,1,1
322///,322///,20,1
3221//,3221//,4,1
32211/,32211/,1,1
322110,322110,1,1
32212/,32212/,2,1
322121,322121,1,1
322122,322122,1,1
32213/,32213/,1,1
322130,322130,1,1
3222//,3222//,16,1
32221/,32221/,5,1
322211,322211,1,1
322212,322212,1,1
322213,322213,1,1
322214,322214,1,1
322215,322215,1,1
32222/,32222/,6,1
322221,322221,1,1
322222,322222,1,1
322223,322223,1,1
322224,322224,1,1
322225,322225,1,1
322226,322226,1,1
32223/,32223/,3,1
322231,322231,1,1
322232,322232,1,1
322233,322233,1,1
32229/,32229/,2,1
322291,322291,1,1
322299,322299,1,1
323///,323///,12,1
3231//,3231//,12,1
32311/,32311/,10,1
323110,323110,1,1
323111,323111,1,1
323112,323112,1,1
323113,323113,1,1
323114,323114,1,1
323115,323115,1,1
323116,323116,1,1
323117,323117,1,1
323118,323118,1,1
323119,323119,1,1
