sic87,naics97,mapping_ec,mapping_official,mapping_all,weight_mapping_ec,weight_mapping_official,weight_mapping_all,weight_emp,weight_estabs,weight_pay,weight_ship,rw1,tot_rw,rw2,weight_hybrid,source,weight_shipments,emp,estabs,shipments,pay,test
0174,111310,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0174,111320,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0175,111331,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0175,111339,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0179,111336,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0179,111339,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0180,1114//,0,4,4,,1,1,,,,,1,1,0,1,,,,,,,1
0181,111421,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0181,111422,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0182,111411,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0182,111419,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0190,1119//,0,1,1,,1,1,,,,,1,1,0,1,,,,,,,1
0191,111998,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
02--,11----,0,22,22,,1,1,,,,,1,1,0,1,,,,,,,1
0200,112///,0,22,22,,1,1,,,,,1,1,0,1,,,,,,,1
0210,1121//,0,2,2,,.33333334,.33333334,,,,,.33333334,1,0,.33333334,,,,,,,1
0210,1122//,0,1,1,,.16666667,.16666667,,,,,.16666667,1,0,.16666667,,,,,,,1
0210,1124//,0,2,2,,.33333334,.33333334,,,,,.33333334,1,0,.33333334,,,,,,,1
0210,1129//,0,1,1,,.16666667,.16666667,,,,,.16666667,1,0,.16666667,,,,,,,1
0211,112112,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0212,112111,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0213,112210,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0214,112410,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0214,112420,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0219,112990,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0240,1121//,0,2,2,,1,1,,,,,1,1,0,1,,,,,,,1
0241,112111,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0241,112120,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0250,1123//,0,5,5,,1,1,,,,,1,1,0,1,,,,,,,1
0251,112320,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0252,112310,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0253,112330,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0254,112340,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0259,112390,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0270,1125//,0,4,4,,.5,.5,,,,,.5,1,0,.5,,,,,,,1
0270,1129//,0,4,4,,.5,.5,,,,,.5,1,0,.5,,,,,,,1
0271,112930,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0272,112920,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0273,112511,,1,1,,.33333334,.33333334,,,,,.33333334,1,0,.33333334,official,,,,,,1
