sic72,sic77,mappings,weight_mappings
7997,7997,1,1
7999,7999,1,1
8000,8000,15,1
8010,8010,1,1
8011,8011,1,1
8020,8020,1,1
8021,8021,1,1
8030,8030,1,1
8031,8031,1,1
8040,8040,3,1
8041,8041,1,1
8042,8042,1,1
8049,8049,1,1
8050,8050,2,1
8051,8051,1,1
8059,8059,1,1
8060,8060,3,1
8062,8062,1,1
8063,8063,1,1
8069,8069,1,1
8070,8070,2,1
8071,8071,1,1
8072,8072,1,1
8080,8080,1,1
8081,8081,1,1
8090,8090,1,1
8091,8091,1,1
8100,8100,1,1
8110,8110,1,1
8111,8111,1,1
8200,8200,9,1
8210,8210,1,1
8211,8211,1,1
8220,8220,2,1
8221,8221,1,1
8222,8222,1,1
8230,8230,1,1
8231,8231,1,1
8240,8240,4,1
8241,8241,1,1
8243,8243,1,1
8244,8244,1,1
8249,8249,1,1
8290,8290,1,1
8299,8299,1,1
8300,8300,6,1
8310,8310,1,1
8320,8320,1,1
8321,8321,1,1
8330,8330,1,1
8331,8331,1,1
8350,8350,1,1
8351,8351,1,1
8360,8360,1,1
8361,8361,1,1
8390,8390,1,1
8399,8399,1,1
8400,8400,2,1
8410,8410,1,1
8411,8411,1,1
8420,8420,1,1
8421,8421,1,1
8600,8600,7,1
8610,8610,1,1
8611,8611,1,1
8620,8620,1,1
8621,8621,1,1
8630,8630,1,1
8631,8631,1,1
8640,8640,1,1
8641,8641,1,1
8650,8650,1,1
8651,8651,1,1
8660,8660,1,1
8661,8661,1,1
8690,8690,1,1
8699,8699,1,1
8800,8800,1,1
8810,8810,1,1
8811,8811,1,1
8900,8900,5,1
8910,8910,1,1
8911,8911,1,1
8920,8920,1,1
8922,8922,1,1
8930,8930,1,1
8931,8931,1,1
8990,8990,2,1
8999,8999,1,1
899\,899\,1,1
9100,9100,4,1
9110,9110,1,1
9111,9111,1,1
9120,9120,1,1
9121,9121,1,1
9130,9130,1,1
9131,9131,1,1
9190,9190,1,1
9199,9199,1,1
9200,9200,6,1
9210,9210,1,1
9211,9211,1,1
9220,9220,5,1
9221,9221,1,1
9222,9222,1,1
9223,9223,1,1
9224,9224,1,1
9229,9229,1,1
9300,9300,1,1
9310,9310,1,1
9311,9311,1,1
9400,9400,4,1
9410,9410,1,1
9411,9411,1,1
9430,9430,1,1
9431,9431,1,1
9440,9440,1,1
9441,9441,1,1
9450,9450,1,1
9451,9451,1,1
9500,9500,4,1
9510,9510,2,1
9511,9511,1,1
9512,9512,1,1
9530,9530,2,1
9531,9531,1,1
9532,9532,1,1
9600,9600,6,1
9610,9610,1,1
9611,9611,1,1
9620,9620,1,1
9621,9621,1,1
9630,9630,1,1
9631,9631,1,1
9640,9640,1,1
9641,9641,1,1
9650,9650,1,1
9651,9651,1,1
9660,9660,1,1
9661,9661,1,1
9700,9700,2,1
9710,9710,1,1
9711,9711,1,1
9720,9720,1,1
9721,9721,1,1
99--,99--,27,1
