sic72,sic77,mappings,weight_mappings
2310,2310,1,1
2311,2311,1,1
2320,2320,6,1
2321,2321,1,1
2322,2322,1,1
2323,2323,1,1
2327,2327,1,1
2328,2328,1,1
2329,2329,1,1
2330,2330,4,1
2331,2331,1,1
2335,2335,1,1
2337,2337,1,1
2339,2339,1,1
2340,2340,2,1
2341,2341,1,1
2342,2342,1,1
2350,2350,2,1
2351,2351,1,1
2352,2352,1,1
2360,2360,3,1
2361,2361,1,1
2363,2363,1,1
2369,2369,1,1
2370,2370,1,1
2371,2371,1,1
2380,2380,6,1
2381,2381,1,1
2384,2384,1,1
2385,2385,1,1
2386,2386,1,1
2387,2387,1,1
2389,2389,1,1
2390,2390,8,1
2391,2391,1,1
2392,2392,1,1
2393,2393,1,1
2394,2394,1,1
2395,2395,1,1
2396,2396,1,1
2397,2397,1,1
2399,2399,1,1
2400,2400,17,1
2410,2410,1,1
2411,2411,1,1
2420,2420,3,1
2421,2421,1,1
2426,2426,1,1
2429,2429,1,1
2430,2430,5,1
2431,2431,1,1
2434,2434,1,1
2435,2435,1,1
2436,2436,1,1
2439,2439,1,1
2440,2440,3,1
2441,2441,1,1
2448,2448,1,1
2449,2449,1,1
2450,2450,2,1
2451,2451,1,1
2452,2452,1,1
2490,2490,3,1
2491,2491,1,1
2492,2492,1,1
2499,2499,1,1
2500,2500,13,1
2510,2510,6,1
2511,2511,1,1
2512,2512,1,1
2514,2514,1,1
2515,2515,1,1
2517,2517,1,1
2519,2519,1,1
2520,2520,2,1
2521,2521,1,1
2522,2522,1,1
2530,2530,1,1
2531,2531,1,1
2540,2540,2,1
2541,2541,1,1
2542,2542,1,1
2590,2590,2,1
2591,2591,1,1
2599,2599,1,1
2600,2600,17,1
2610,2610,1,1
2611,2611,1,1
2620,2620,1,1
2621,2621,1,1
2630,2630,1,1
2631,2631,1,1
2640,2640,8,1
2641,2641,1,1
2642,2642,1,1
2643,2643,1,1
2645,2645,1,1
2646,2646,1,1
2647,2647,1,1
2648,2648,1,1
2649,2649,1,1
2650,2650,5,1
2651,2651,1,1
2652,2652,1,1
2653,2653,1,1
2654,2654,1,1
2655,2655,1,1
2660,2660,1,1
2661,2661,1,1
2700,2700,17,1
2710,2710,1,1
2711,2711,1,1
