stcode,state,cocode,geoname
22,NJ,290,MONMOUTH
22,NJ,300,MORRIS
22,NJ,310,OCEAN
22,NJ,320,PASSAIC
22,NJ,340,SALEM
22,NJ,350,SOMERSET
22,NJ,360,SUSSEX
22,NJ,370,UNION
22,NJ,390,WARREN
22,NJ,990,STATEWIDE
23,PA,0,ADAMS
23,PA,10,ALLEGHENY
23,PA,70,ARMSTRONG
23,PA,80,BEAVER
23,PA,100,BEDFORD
23,PA,110,BERKS
23,PA,120,BLAIR
23,PA,130,BRADFORD
23,PA,140,BUCKS
23,PA,150,BUTLER
23,PA,160,CAMBRIA
23,PA,180,CAMERON
23,PA,190,CARBON
23,PA,200,CENTRE
23,PA,210,CHESTER
23,PA,220,CLARION
23,PA,230,CLEARFIELD
23,PA,240,CLINTON
23,PA,250,COLUMBIA
23,PA,260,CRAWFORD
23,PA,270,CUMBERLAND
23,PA,280,DAUPHIN
23,PA,290,DELAWARE
23,PA,310,ELK
23,PA,320,ERIE
23,PA,330,FAYETTE
23,PA,340,FOREST
23,PA,350,FRANKLIN
23,PA,360,FULTON
23,PA,370,GREENE
23,PA,380,HUNTINGDON
23,PA,390,INDIANA
23,PA,400,JEFFERSON
23,PA,410,JUNIATA
23,PA,420,LACKAWANNA
23,PA,440,LANCASTER
23,PA,450,LAWRENCE
23,PA,460,LEBANON
23,PA,470,LEHIGH
23,PA,480,LUZERNE
23,PA,510,LYCOMING
23,PA,520,MCKEAN
23,PA,530,MERCER
23,PA,540,MIFFLIN
23,PA,550,MONROE
23,PA,560,MONTGOMERY
23,PA,580,MONTOUR
23,PA,590,NORTHAMPTON
23,PA,600,NORTHUMBERLAND
23,PA,610,PERRY
23,PA,620,PHILADELPHIA
23,PA,630,PIKE
23,PA,640,POTTER
23,PA,650,SCHUYLKILL
23,PA,670,SNYDER
23,PA,680,SOMERSET
23,PA,690,SULLIVAN
23,PA,700,SUSQUEHANNA
23,PA,710,TIOGA
23,PA,720,UNION
23,PA,730,VENANGO
23,PA,740,WARREN
23,PA,750,WASHINGTON
23,PA,760,WAYNE
23,PA,770,WESTMORELAND
23,PA,790,WYOMING
23,PA,800,YORK
23,PA,990,STATEWIDE
25,AK,9,BRISTOL BAY
25,AK,15,GATEWAY
25,AK,17,GREATER ANCHORAGE
25,AK,19,GREATER JUNEAU
25,AK,21,GREATER SITKA
25,AK,23,KENAI PENINSULA (NW)
25,AK,25,KENAI PENINSULA (SE)
25,AK,29,KODIAK ISLAND
25,AK,35,MATANUSKA SUSITNA
25,AK,39,NORTH STAR
25,AK,98,AREA OUTSIDE BOROUGHS
25,AK,990,STATEWIDE
26,HI,10,HAWAII
26,HI,20,HONOLULU
26,HI,30,KALAWAO
26,HI,40,KAUAI
26,HI,50,MAUI
26,HI,990,STATEWIDE
31,OH,0,ADAMS
31,OH,10,ALLEN
31,OH,20,ASHLAND
31,OH,30,ASHTABULA
31,OH,40,ATHENS
31,OH,50,AUGLAIZE
31,OH,60,BELMONT
31,OH,70,BROWN
31,OH,80,BUTLER
31,OH,90,CARROLL
31,OH,100,CHAMPAIGN
31,OH,110,CLARK
31,OH,120,CLERMONT
31,OH,130,CLINTON
31,OH,140,COLUMBIANA
31,OH,150,COSHOCTON
31,OH,160,CRAWFORD
31,OH,170,CUYAHOGA
31,OH,190,DARKE
31,OH,200,DEFIANCE
31,OH,210,DELAWARE
31,OH,220,ERIE
31,OH,230,FAIRFIELD
31,OH,240,FAYETTE
31,OH,250,FRANKLIN
31,OH,260,FULTON
31,OH,270,GALLIA
31,OH,280,GEAUGA
31,OH,290,GREENE
31,OH,300,GUERNSEY
31,OH,310,HAMILTON
31,OH,330,HANCOCK
31,OH,340,HARDIN
31,OH,350,HARRISON
31,OH,360,HENRY
31,OH,370,HIGHLAND
31,OH,380,HOCKING
31,OH,390,HOLMES
31,OH,400,HURON
31,OH,410,JACKSON
31,OH,420,JEFFERSON
31,OH,430,KNOX
31,OH,440,LAKE
31,OH,450,LAWRENCE
31,OH,460,LICKING
31,OH,470,LOGAN
31,OH,480,LORAIN
31,OH,490,LUCAS
31,OH,500,MADISON
31,OH,510,MAHONING
31,OH,520,MARION
31,OH,530,MEDINA
31,OH,540,MEIGS
31,OH,550,MERCER
31,OH,560,MIAMI
31,OH,570,MONROE
31,OH,580,MONTGOMERY
31,OH,590,MORGAN
31,OH,600,MORROW
31,OH,610,MUSKINGUM
31,OH,620,NOBLE
31,OH,630,OTTAWA
31,OH,640,PAULDING
31,OH,650,PERRY
31,OH,660,PICKAWAY
31,OH,670,PIKE
31,OH,680,PORTAGE
31,OH,690,PREBLE
31,OH,700,PUTNAM
31,OH,710,RICHLAND
31,OH,720,ROSS
31,OH,730,SANDUSKY
31,OH,740,SCIOTO
31,OH,750,SENECA
31,OH,760,SHELBY
31,OH,770,STARK
31,OH,780,SUMMIT
31,OH,790,TRUMBULL
31,OH,800,TUSCARAWAS
31,OH,810,UNION
31,OH,820,VAN WERT
31,OH,830,VINTON
31,OH,840,WARREN
31,OH,850,WASHINGTON
31,OH,860,WAYNE
31,OH,870,WILLIAMS
31,OH,880,WOOD
31,OH,890,WYANDOT
31,OH,990,STATEWIDE
32,IN,0,ADAMS
32,IN,10,ALLEN
32,IN,20,BARTHOLOMEW
