book_id,file,state,city,year,n_rows,n_pages,n_listings,n_categories,n_sets,categories_sample,year_fct,year_num
book_01700.csv,book_01700.csv,,,,0,0,0,0,0,ERROR,,
book_01754.csv,book_01754.csv,,,,0,0,0,0,0,ERROR,,
01761,book_01761.csv,California,Corona,1959,46519,196,7472,489,4,& Shippers-; Air Conditioning Equipment & Supplies-Retail; Air Conditioning Equipment & Supplies-Whsle & Mfrs; Air Conditioning Equipment-Room-; Air Conditioning Equipment-Service; Air Express Service; Air Freight. Service-; Air Line Companies-; Ambulance Service; Amusement Places,1959,1959
book_01762.csv,book_01762.csv,,,,0,0,0,0,0,ERROR,,
book_01826.csv,book_01826.csv,,,,0,0,0,0,0,ERROR,,
book_01827.CSV,book_01827.CSV,,,,0,0,0,0,0,ERROR,,
book_01828.csv,book_01828.csv,,,,0,0,0,0,0,ERROR,,
book_01829.csv,book_01829.csv,,,,0,0,0,0,0,ERROR,,
01954,book_01954.csv,California,Laguna Beach,1957,25217,151,4261,373,3,"; -; -Repairing & Parts; -Retail; -Whsle; Apartments-; Appliances-Household, Major; Appliances-Household, Small; Architects' Supplies; Art Galleries-",1957,1957
01955,book_01955.csv,California,Laguna Beach,1959,13629,64,2332,437,2,"; Air Line Ticket Agencies, Apartments, Apartments-(Cont'd) , Art Galleries, Associations; Airplane Models, Artists' Materials-Retail; Alcoholism Treatments-See Sanitariums; Ambulance Service; Ambulance Service-; Animal Hospitals-See Veterinarians; Answering Service-Telephone; Ant Control-See Exterminating; Antenna Installations & Systems",1959,1959
01956,book_01956.CSV,California,Laguna Beach,1959,16021,69,2766,407,2,; Air Line Companies; Air Line Companies-; Antiques-Dealers; Antiques-Dealers-; Antiques-Repairing & Restoring; Apartments-; Appliances-Major; Appliances-Small; Architects-Supplies,1959,1959
01958,book_01958.CSV,California,Laguna Beach,1960,17219,76,2892,345,2,; & Supplies; Air Compressors-Renting; Air Line Companies; Air Line Companies-; Answering Service-Telephone; Antiques-Dealers; Appliances-Major; Artists' Materials-Retail; Attorneys-,1960,1960
01959,book_01959.csv,California,Laguna Beach,1961,16904,73,2771,451,2,; & Supplies-Renting; Antennas; Antiques-Dealers; Apartments-; Appliances-Major; Appliances-Small; Aptitude & Educational Tests; Art Goods-Retail; Artists Fine Arts,1961,1961
01960,book_01960.csv,California,Laguna Beach,1962,18319,75,2886,413,2,; Advertising-Directory & Guide; Advertising-Periodical; Air Compressors-Renting; Air Conditioning Eocbianin Servicing; Air Conditioning Equipment & Supplicesa-Retail; Air Conditioning Equipment-Room; Air Freight Service; Air Line Companies-; Air Travel Ticket Agencies,1962,1962
book_01980.csv,book_01980.csv,,,,0,0,0,0,0,ERROR,,
01984,book_01984-2.csv,California,Lake Tahoe,1956,27713,223,2206,308,4,"; Advertising Service-; Advertising-Outdoor; Air Compressors-Renting; Amusement Places-; Antiques-Repairing & Restoring; Appliances-Household, Major; Appliances-Household, Small; Artist' Materials-Retail; Artists' Materials-Retail",1956,1956
book_01984.CSV,book_01984.CSV,,,,0,0,0,0,0,ERROR,,
01985,book_01985.csv,California,Lake Tahoe,1960,118061,466,17579,1615,6,";  Automobile Seat Covers, Tops &;  Plywood & Veneers , Post Cards; (Cont'd),; (Cont'd),(Cont'd),; & Bulk-; & Dealers; & Parts; & parts-; & Parts,Trailers-Camping & Travel-Transporting , Trailers-Truck-Transporting",1960,1960
book_02063.CSV,book_02063.CSV,,,,0,0,0,0,0,ERROR,,
book_02135.csv,book_02135.csv,,,,0,0,0,0,0,ERROR,,
book_02136.CSV,book_02136.CSV,,,,0,0,0,0,0,ERROR,,
02137,book_02137.csv,California,Huntington Beach,1960,25861,115,4152,527,2,";  Brick-Common, Face, Etc,Builders; (Cont'd),; & Supplies-Renting; | Automobile Repairing & Service; Air Line Companies-; Air Travel Ticket Agencies; Aircraft Dealers & Distributors; Alcoholism Treatments; Amusement Devices-Renting",1960,1960
