psu2,hh_size,age_category,gender,weight,store_installment_debt,bank_installment_debt,store_revolving_debt,has_charge_account,income,year
84,5,3,1,208,0,0,40,1,360,1949
14,3,2,1,411,0,200,0,0,287,1949
68,1,6,2,208,0,0,0,0,275,1949
73,2,5,1,208,0,0,0,0,613,1949
17,2,2,1,411,0,0,0,1,340,1949
17,7,3,1,411,0,0,100,1,400,1949
17,4,4,1,234,0,0,0,0,400,1949
11,2,5,1,234,50,0,0,0,158,1949
19,2,6,1,411,0,0,0,0,353,1949
19,5,2,1,411,0,130,0,0,288,1949
43,3,4,1,208,0,0,0,0,469,1949
12,3,5,1,411,0,0,0,0,200,1949
12,2,2,1,135,0,0,240,1,630,1949
12,2,6,1,234,0,0,0,0,364,1949
12,2,2,1,411,0,60,0,0,390,1949
11,7,2,2,411,0,0,0,0,328,1949
12,4,4,1,135,0,0,0,1,3350,1949
12,2,4,1,135,0,0,0,0,200,1949
12,3,3,1,234,0,0,0,0,660,1949
66,3,1,1,473,0,130,0,0,201,1949
16,3,2,1,411,0,0,0,0,150,1949
16,2,4,1,135,0,0,30,1,300,1949
16,1,6,2,234,0,0,0,0,56,1949
16,5,3,1,411,0,20,0,0,279,1949
35,7,4,2,378,0,0,0,0,35,1949
35,1,4,2,208,0,30,50,1,146,1949
82,1,6,2,411,0,0,0,0,63,1949
39,2,3,1,378,0,0,0,0,237,1949
82,6,3,1,135,0,0,70,1,1100,1949
88,2,6,1,411,0,0,0,0,280,1949
64,6,2,1,411,0,0,0,0,260,1949
42,4,2,1,378,0,0,10,1,192,1949
82,1,4,2,411,0,0,0,0,62,1949
80,3,4,1,208,0,400,100,1,576,1949
65,3,2,1,208,0,0,0,0,425,1949
17,5,3,1,234,0,0,0,0,360,1949
64,3,4,1,208,0,0,0,0,318,1949
89,1,6,2,473,0,0,0,0,51,1949
11,4,2,1,234,0,100,70,1,466,1949
66,7,3,1,411,0,0,0,0,210,1949
11,3,4,1,135,0,0,50,1,310,1949
43,3,5,1,208,0,0,100,1,382,1949
11,3,2,1,411,150,100,0,0,330,1949
17,3,2,1,411,0,0,0,1,275,1949
14,3,3,1,411,0,0,30,1,435,1949
82,4,4,1,135,0,0,50,1,460,1949
