durable,income,debt,year,weight,durable_debt,has_card_b,card_spend_b,card_bal_b,has_card_s,card_spend_s,card_bal_s,state
117,3800,288,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5250,1220,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",9000,2100,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",7000,0,1960,1,0,,,,,,,
264,6000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1008,0,1960,1,0,,,,,,,
259,5200,1660,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
550,18800,0,1960,1,0,,,,,,,
300,6500,1935,1960,1,300,,,,,,,
150,7500,0,1960,1,0,,,,,,,
2000,35000,0,1960,1,0,,,,,,,
60,5503,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",7939,0,1960,1,0,,,,,,,
200,5800,838,1960,1,0,,,,,,,
1748,4611,2125,1960,1,874,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2300,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3121,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",16230,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",7800,780,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2000,663,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4800,601,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5635,1336,1960,1,0,,,,,,,
80,3750,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2900,370,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5763,240,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",9000,1023,1960,1,0,,,,,,,
700,2500,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6900,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6300,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1980,0,1960,1,0,,,,,,,
900,9000,800,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",9108,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3400,0,1960,1,0,,,,,,,
150,9000,800,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4985,838,1960,1,0,,,,,,,
140,1000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5400,1368,1960,1,0,,,,,,,
410,10500,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2394,68,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",8000,1680,1960,1,0,,,,,,,
300,2400,80,1960,1,300,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",200,0,1960,1,0,,,,,,,
160,5000,0,1960,1,0,,,,,,,
12,600,0,1960,1,0,,,,,,,
298,3800,126,1960,1,298,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1404,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
200,7000,312,1960,1,200,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6000,720,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1560,0,1960,1,0,,,,,,,
25,4000,0,1960,1,0,,,,,,,
400,,50,1960,1,400,,,,,,,
355,,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3500,1245,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3160,390,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",7800,0,1960,1,0,,,,,,,
5,,0,1960,1,0,,,,,,,
350,2620,180,1960,1,350,,,,,,,
482,738,23,1960,1,241,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",8400,0,1960,1,0,,,,,,,
574,6000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4800,1000,1960,1,0,,,,,,,
125,1000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2580,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",11000,0,1960,1,0,,,,,,,
188,5600,170,1960,1,188,,,,,,,
475,1800,370,1960,1,475,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5200,0,1960,1,0,,,,,,,
75,6150,1704,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4961,340,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",8600,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1500,500,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",460,18,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1000,149,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
633,11675,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4990,114,1960,1,0,,,,,,,
25,3900,84,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2371,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3500,0,1960,1,0,,,,,,,
130,9041,0,1960,1,0,,,,,,,
3319,5500,0,1960,1,0,,,,,,,
200,2180,33,1960,1,200,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",692,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1700,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",7400,802,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4200,2842,1960,1,0,,,,,,,
244,7200,105,1960,1,122,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3735,0,1960,1,0,,,,,,,
650,2240,400,1960,1,650,,,,,,,
400,8000,811,1960,1,400,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4950,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",30000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",300,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",900,0,1960,1,0,,,,,,,
510,11100,515,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4800,517,1960,1,0,,,,,,,
224,5285,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",7294,696,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4800,585,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6923,921,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2000,9,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3800,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",375,0,1960,1,0,,,,,,,
119,3600,840,1960,1,119,,,,,,,
369,6000,992,1960,1,369,,,,,,,
90,2842,0,1960,1,0,,,,,,,
638,5960,916,1960,1,638,,,,,,,
1334,6500,450,1960,1,1334,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6281,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4800,0,1960,1,0,,,,,,,
315,1000,223,1960,1,315,,,,,,,
200,8000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4100,1652,1960,1,0,,,,,,,
450,,240,1960,1,450,,,,,,,
380,2300,667,1960,1,190,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3600,150,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3600,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4200,708,1960,1,0,,,,,,,
167,6000,12,1960,1,167,,,,,,,
87,900,0,1960,1,0,,,,,,,
705,900,560,1960,1,705,,,,,,,
300,4950,0,1960,1,300,,,,,,,
300,8500,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",11000,0,1960,1,0,,,,,,,
286,1200,200,1960,1,286,,,,,,,
83,6291,240,1960,1,0,,,,,,,
559,3996,500,1960,1,559,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",8000,150,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2254,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",8000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",864,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1920,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6000,639,1960,1,0,,,,,,,
186,4500,62,1960,1,186,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1924,21,1960,1,0,,,,,,,
50,2000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",150,0,1960,1,0,,,,,,,
120,11940,450,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4700,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",9181,185,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4000,0,1960,1,0,,,,,,,
200,6000,547,1960,1,200,,,,,,,
109,,489,1960,1,109,,,,,,,
505,9000,859,1960,1,505,,,,,,,
228,9710,0,1960,1,0,,,,,,,
1200,4000,689,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",10000,774,1960,1,0,,,,,,,
500,6100,0,1960,1,0,,,,,,,
169,7000,2492,1960,1,169,,,,,,,
139,500,119,1960,1,139,,,,,,,
175,14000,348,1960,1,175,,,,,,,
819,14530,350,1960,1,0,,,,,,,
67,2348,90,1960,1,0,,,,,,,
190,3694,0,1960,1,0,,,,,,,
290,5324,0,1960,1,0,,,,,,,
80,2161,0,1960,1,0,,,,,,,
802,5160,249,1960,1,401,,,,,,,
649,7500,545,1960,1,324.5,,,,,,,
100,14900,0,1960,1,0,,,,,,,
200,10552,3367,1960,1,200,,,,,,,
275,10800,2287,1960,1,275,,,,,,,
125,4515,40,1960,1,125,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",450,0,1960,1,0,,,,,,,
240,5800,0,1960,1,0,,,,,,,
304,5050,841,1960,1,152,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4320,520,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",770,60,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2186,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2400,0,1960,1,0,,,,,,,
448,4500,487,1960,1,448,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6500,0,1960,1,0,,,,,,,
150,7000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5500,180,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1250,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6375,240,1960,1,0,,,,,,,
1820,9600,0,1960,1,910,,,,,,,
130,8500,130,1960,1,130,,,,,,,
399,6688,0,1960,1,399,,,,,,,
961,20200,0,1960,1,0,,,,,,,
235,2300,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",11125,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1182,0,1960,1,0,,,,,,,
250,5800,25,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2423,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1800,0,1960,1,0,,,,,,,
155,5300,500,1960,1,0,,,,,,,
189,2400,272,1960,1,189,,,,,,,
400,10960,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2550,128,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5500,650,1960,1,0,,,,,,,
415,10659,0,1960,1,0,,,,,,,
25,3716,573,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2370,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1464,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1000,0,1960,1,0,,,,,,,
215,8465,136,1960,1,215,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6500,0,1960,1,0,,,,,,,
40,5000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4600,377,1960,1,0,,,,,,,
200,6900,0,1960,1,200,,,,,,,
550,5600,1060,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2608,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2800,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",8400,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",11000,1034,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5000,0,1960,1,0,,,,,,,
1800,14400,1700,1960,1,1800,,,,,,,
264,6100,1200,1960,1,264,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3800,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",7000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1510,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1200,0,1960,1,0,,,,,,,
150,4940,2792,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1180,0,1960,1,0,,,,,,,
125,,1286,1960,1,125,,,,,,,
600,1000,348,1960,1,600,,,,,,,
825,5700,300,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",46000,2837,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2550,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6500,0,1960,1,0,,,,,,,
500,9000,1000,1960,1,0,,,,,,,
100,1500,0,1960,1,100,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3759,957,1960,1,0,,,,,,,
268,2120,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4000,0,1960,1,0,,,,,,,
375,7550,120,1960,1,0,,,,,,,
104,6338,1317,1960,1,104,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1000,115,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4300,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1800,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",840,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",396,0,1960,1,0,,,,,,,
129,5200,40,1960,1,129,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5500,0,1960,1,0,,,,,,,
300,9000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1050,25,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3120,765,1960,1,0,,,,,,,
120,4644,45,1960,1,120,,,,,,,
149,,352,1960,1,149,,,,,,,
275,6600,255,1960,1,275,,,,,,,
345,10500,208,1960,1,345,,,,,,,
320,21000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
150,3605,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2400,0,1960,1,0,,,,,,,
125,7075,0,1960,1,0,,,,,,,
75,7000,270,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6300,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6815,604,1960,1,0,,,,,,,
90,6800,80,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6740,1910,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",30000,0,1960,1,0,,,,,,,
200,6050,0,1960,1,200,,,,,,,
119,2174,351,1960,1,119,,,,,,,
170,2810,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5600,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1200,0,1960,1,0,,,,,,,
1125,6875,1260,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",43000,0,1960,1,0,,,,,,,
543,6940,730,1960,1,271.5,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",7000,0,1960,1,0,,,,,,,
528,2700,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5606,565,1960,1,0,,,,,,,
400,3444,1202,1960,1,400,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",14400,0,1960,1,0,,,,,,,
310,3650,0,1960,1,310,,,,,,,
199,8600,2277,1960,1,199,,,,,,,
165,3550,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3100,1385,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4800,300,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5000,2070,1960,1,0,,,,,,,
79,5850,0,1960,1,0,,,,,,,
