psu,weight,durable_price,durable,item_code1,item_code2,item_code3,item_code4,item_code5,item_code6,item_code_a1,item_code_a2,item_code_a3,payment_method,year,code_string,code_a_string,television,refrigerator,washing_machine,cook_stove,clothes_dryer,dishwasher,freezer,credit_use,psu2,city_cca
3107,35,319,219,1,0,0,0,0,0,0,0,0,2,1959,100000,000,1,0,0,0,0,0,0,1,31,
9810,29,389,349,3,4,0,0,0,0,0,0,0,2,1959,340000,000,0,0,1,1,0,0,0,1,98,
2310,32,325,325,3,0,0,0,0,0,0,0,0,1,1959,300000,000,0,0,1,0,0,0,0,0,23,
3878,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,38,
0613,31,175,175,2,&,0,0,0,0,5,0,0,3,1959,2&0000,500,0,1,0,0,0,0,0,0.5,06,
1342,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,13,Newark
6406,33,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,64,
2425,33,870,745,5,&,0,0,0,0,2,0,0,2,1959,5&0000,200,0,0,0,0,0,0,0,1,24,
2420,33,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,24,
6407,33,300,300,5,0,0,0,0,0,0,0,0,1,1959,500000,000,0,0,0,0,0,0,0,0,64,
0713,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,07,Long Beach
8702,30,400,300,3,0,0,0,0,0,0,0,0,1,1959,300000,000,0,0,1,0,0,0,0,0,87,
6405,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,64,
7833,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,78,
7429,31,85,85,5,0,0,0,0,0,0,0,0,1,1959,500000,000,0,0,0,0,0,0,0,0,74,Wichita
4102,35,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,41,
3759,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,37,
3922,34,140,140,3,0,0,0,0,0,0,0,0,2,1959,300000,000,0,0,1,0,0,0,0,1,39,
7607,33,254,254,4,0,0,0,0,0,0,0,0,2,1959,400000,000,0,0,0,1,0,0,0,1,76,Milwaukee
