weight,debt,durable,durable_debt,income,year,has_card,card_spend,card_bal,has_card_s,card_spend_s,card_bal_s
1,,1350,0,13750,1977,1,0,0,1,,
1,,0,0,,1977,1,804,600,1,,400
1,,0,0,16250,1977,1,1284,202,1,600,190
1,,1000,1000,,1977,1,960,0,1,480,
1,,1260,1260,18750,1977,1,5100,25,1,1200,
1,,0,0,,1977,1,108,9,1,108,9
1,,115,0,2500,1977,0,0,0,,,
1,,0,0,2500,1977,0,0,0,,,
1,,0,0,3500,1977,0,0,0,,,
1,,620,620,5500,1977,0,0,0,,,
1,,0,0,,1977,0,0,0,,,
1,,0,0,21250,1977,1,3720,700,1,1200,200
1,,0,0,27500,1977,1,1140,0,1,300,
1,,0,0,2500,1977,0,0,0,,,
1,,150,0,21250,1977,1,144,204,1,,194
1,,300,0,18750,1977,0,0,0,,,
1,,0,0,1000,1977,0,0,0,,,
1,,0,0,1000,1977,0,0,0,,,
1,,590,400,27500,1977,1,2460,950,1,660,100
1,,800,800,16250,1977,1,1080,240,1,1080,240
1,,600,600,18750,1977,1,240,30,1,240,30
1,,0,0,,1977,1,0,0,,,
1,,456.953213706763,290,5500,1977,0,0,0,,,
1,,0,0,9500,1977,1,0,90,1,,
1,,1786,1786,8250,1977,0,0,0,,,
1,,0,0,,1977,0,0,0,,,
1,,850,0,,1977,0,0,0,,,
1,,0,0,,1977,1,3900,100,1,,
1,,0,0,4500,1977,0,0,0,,,
1,,700,0,,1977,0,0,0,,,
1,,4500,0,37500,1977,1,600,10,1,,10
1,,2130,2130,11750,1977,0,0,0,,,
1,,0,0,1000,1977,0,0,0,,,
1,,0,0,5500,1977,0,0,0,,,
1,,1800,1800,21250,1977,1,1200,100,,,
1,,0,0,21250,1977,1,0,375,1,,
1,,605,0,37500,1977,1,2400,425,1,900,300
1,,200,200,8250,1977,1,180,820,1,,220
1,,0,0,3500,1977,0,0,0,,,
1,,165,0,4500,1977,0,0,0,,,
1,,43,43,1000,1977,0,0,0,,,
1,,1377.66218214947,592,11750,1977,0,0,0,,,
1,,0,0,1000,1977,0,0,0,,,
1,,245,0,,1977,0,0,0,,,
1,,445,445,3500,1977,1,144,0,,,
1,,675,675,23750,1977,1,0,0,,,
1,,315,315,8250,1977,0,0,0,,,
1,,0,0,23750,1977,1,1020,0,1,300,
1,,0,0,16250,1977,0,0,0,,,
1,,256,0,2500,1977,1,0,0,1,,
1,,249,0,,1977,0,0,0,,,
1,,1100,1100,16250,1977,1,0,600,1,,600
1,,113,0,62500,1977,1,312,0,1,312,
1,,600,0,6750,1977,1,240,0,,,
1,,879,579,16250,1977,0,0,0,,,
1,,0,0,23750,1977,0,0,0,,,
1,,992.831091074735,600,16250,1977,1,960,200,1,960,200
1,,120,0,8250,1977,1,0,0,1,,
1,,0,0,3500,1977,1,0,40,1,,40
1,,0,0,16250,1977,1,1200,40,1,1200,40
1,,0,0,,1977,0,0,0,,,
1,,1000,0,27500,1977,1,3120,0,,,
1,,50,0,5500,1977,0,0,0,,,
1,,240,0,23750,1977,1,0,0,1,,
1,,0,0,3500,1977,0,0,0,,,
1,,0,0,5500,1977,0,0,0,,,
1,,560,0,27500,1977,1,1200,567,1,,500
1,,0,0,,1977,0,0,0,,,
1,,0,0,16250,1977,0,0,0,,,
1,,0,0,,1977,0,0,0,,,
1,,0,0,,1977,0,0,0,,,
1,,173,0,8250,1977,1,0,180,1,,180
1,,549,0,37500,1977,0,0,0,,,
1,,358,358,2500,1977,0,0,0,,,
1,,1049,599,,1977,0,0,0,,,
1,,129,129,16250,1977,1,3600,1100,1,3600,1100
1,,0,0,,1977,1,780,300,1,480,100
1,,845,0,16250,1977,1,456,95,1,456,30
1,,0,0,,1977,1,396,33,1,156,13
1,,0,0,,1977,0,0,0,,,
1,,2629,2629,16250,1977,0,0,0,,,
1,,343,0,27500,1977,1,1020,60,1,,
1,,0,0,4500,1977,0,0,0,,,
1,,0,0,3500,1977,1,3600,10,1,3600,10
1,,0,0,2500,1977,0,0,0,,,
1,,0,0,13750,1977,1,1284,0,1,84,
1,,0,0,37500,1977,1,8820,400,1,300,50
1,,1700,0,11750,1977,1,0,0,1,,
1,,0,0,1000,1977,0,0,0,,,
1,,356,0,2500,1977,0,0,0,,,
1,,400,400,3500,1977,0,0,0,,,
1,,1300,950,62500,1977,1,960,150,1,,150
