weight,psu2,hh_size,age_category,race,gender,ar_bor,mortgage_bor,installment_debt,better_off,auto,auto_bor,bank_auto_bor,durable,durable_bor,bank_durable_bor,item_name,refrigerator,washing_machine,radio,cook_stove,durable_price,payment_method,credit_use,income,year,loc_type,refrigerator_credit_use,radio_credit_use,freezer,television,television_credit_use,washing_machine_credit_use,dishwasher,clothes_dryer,credit_good,age_category2,cook_stove_credit_use,item_code1,item_code2,item_code3,item_code4,item_code5,item_code6,item_code_a1,item_code_a2,item_code_a3,code_string,code_a_string,psu,age,air_conditioner,sewing_machine,psu3,bw_television,color_television,bw_television_credit_use,bw_television_price,color_television_credit_use,color_television_price,refrigerator_price,washing_machine_price,cook_stove_price,clothes_dryer_credit_use,clothes_dryer_price,dishwasher_credit_use,dishwasher_price,air_conditioner_credit_use,air_conditioner_price,state
239,42,3,2,1,1,0,0,0,1,1000,450,0,500,75,0,Other,0,0,0,1,50,3,1,2000,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN
239,44,3,4,1,1,0,0,0,1,2300,0,0,250,0,0,Other,0,0,0,1,25,4,0,14400,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA
398,53,3,4,1,1,0,0,0,0,0,0,0,230,0,0,Refrigerator,1,0,0,0,23,4,0,1800,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO
124,56,3,5,1,1,0,0,0,0,0,0,0,70,0,0,Refrigerator,1,0,0,0,7,4,0,2500,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY
239,59,6,3,1,2,250,0,300,0,0,0,0,350,52.5,0,Other,0,0,0,1,35,3,1,3500,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
239,54,2,2,1,1,0,0,0,1,0,0,0,590,0,0,Radio,0,0,1,0,59,4,0,3900,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO
239,54,5,4,1,1,0,0,0,1,0,0,0,260,0,0,Refrigerator,1,0,0,0,26,4,0,3600,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO
239,54,2,5,1,1,0,0,0,-1,0,0,0,230,0,0,Refrigerator,1,0,0,0,23,4,0,8700,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO
143,59,2,2,1,1,0,0,0,1,0,0,0,250,0,0,Radio,0,0,1,0,25,4,0,5600,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
457,62,3,4,1,1,0,0,0,1,1800,0,0,200,0,0,Washing machine,0,1,0,1,20,4,0,3000,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
