weight,loc_code,hh_size,age_category,race,gender,ar_bor,mortgage_bor,installment_debt,better_off,auto,auto_bor,bank_auto_bor,durable,durable_bor,bank_durable_bor,item_name,income,year
239,43,2,4,1,1,0,0,0,1,0,0,0,0,0,0,,4600,1947
239,43,3,4,2,1,0,0,0,0,0,0,0,0,0,0,,3400,1947
457,56,4,4,1,2,300,0,0,0,0,0,0,0,0,0,,2300,1947
398,79,2,3,1,1,0,0,0,1,0,0,0,300,0,0,Furniture,900,1947
493,59,2,4,1,2,0,0,0,0,0,0,0,0,0,0,,3500,1947
493,59,3,3,1,1,250,0,0,-1,0,0,0,0,0,0,,1400,1947
493,18,4,2,1,1,0,0,0,-1,0,0,0,0,0,0,,3300,1947
493,22,1,5,2,1,0,0,0,1,0,0,0,0,0,0,,900,1947
493,11,3,4,1,1,0,0,0,0,0,0,0,220,0,0,Refrigerator,7500,1947
239,11,1,3,1,2,0,0,0,0,0,0,0,0,0,0,,2400,1947
239,63,4,3,1,1,0,0,0,-1,0,0,0,250,0,0,Other,3000,1947
214,18,1,4,2,2,0,0,0,0,0,0,0,0,0,0,,600,1947
493,18,5,4,1,2,0,0,0,0,0,0,0,120,96,0,Other,2900,1947
493,18,7,4,2,2,0,0,0,-1,0,0,0,0,0,0,,2000,1947
239,18,2,4,1,2,0,0,0,0,0,0,0,0,0,0,,1000,1947
493,18,3,2,1,1,0,0,0,-1,0,0,0,0,0,0,,3000,1947
457,37,2,2,1,1,0,0,0,0,0,0,0,500,0,0,Refrigerator,5200,1947
239,47,2,5,1,1,0,0,0,-1,0,0,0,200,0,0,Furniture,1800,1947
239,47,2,4,1,1,0,0,0,0,0,0,0,100,0,0,Furniture,5800,1947
457,50,4,3,1,1,30,0,100,-1,0,0,0,0,0,0,,1500,1947
493,59,2,3,1,1,0,0,0,-1,0,0,0,0,0,0,,1900,1947
331,82,1,2,1,2,0,0,0,0,0,0,0,0,0,0,,300,1947
239,83,1,5,1,2,0,0,0,0,0,0,0,0,0,0,,1000,1947
239,83,5,2,1,2,0,0,0,0,1200,0,600,350,0,175,Refrigerator,3200,1947
493,13,2,2,1,1,0,0,300,-1,0,0,0,270,0,0,Refrigerator,2800,1947
493,13,4,4,1,1,0,0,0,1,0,0,0,190,0,0,Furniture,3400,1947
493,13,5,2,1,1,0,0,0,-1,0,0,0,0,0,0,,2200,1947
143,13,2,3,1,1,0,0,0,1,0,0,0,500,0,0,Furniture,5500,1947
493,18,2,4,2,2,0,0,0,-1,0,0,0,0,0,0,,980,1947
493,18,2,4,1,2,0,0,0,0,0,0,0,0,0,0,,5200,1947
239,11,1,4,1,2,0,0,0,-1,0,0,0,0,0,0,,1800,1947
239,18,3,3,1,2,0,0,0,0,0,0,0,130,0,0,Radio,3300,1947
493,18,2,4,2,2,0,0,0,1,0,0,0,0,0,0,,2000,1947
493,18,1,5,1,2,0,0,0,1,0,0,0,0,0,0,,700,1947
124,18,4,3,1,2,0,400,0,-1,200,0,0,550,247.5,0,Furniture,2900,1947
493,34,2,3,1,1,0,0,0,-1,0,0,0,0,0,0,,2960,1947
493,34,1,5,1,1,0,0,0,-1,0,0,0,0,0,0,,400,1947
457,38,1,4,2,2,0,0,0,0,0,0,0,0,0,0,,200,1947
457,38,1,4,2,1,0,0,0,0,0,0,0,0,0,0,,960,1947
202,32,4,4,1,2,0,700,0,0,0,0,0,0,0,0,Furniture,4000,1947
239,32,3,3,1,2,0,0,0,0,0,0,0,0,0,0,,3600,1947
202,32,2,4,1,2,0,0,0,-1,0,0,0,200,160,0,Furniture,2400,1947
239,32,2,5,1,1,0,0,0,0,0,0,0,0,0,0,,1500,1947
239,44,3,3,1,1,0,0,0,1,0,0,0,50,0,0,Other,2000,1947
239,44,1,5,1,2,0,0,0,1,0,0,0,0,0,0,,3600,1947
457,56,3,1,1,2,0,400,300,1,300,135,0,600,480,0,Furniture,1800,1947
124,56,3,5,1,2,0,0,0,0,0,0,0,0,0,0,,900,1947
457,56,3,4,1,1,0,0,100,0,0,0,0,0,0,0,,2300,1947
493,59,2,1,1,1,0,0,0,-1,0,0,0,0,0,0,Refrigerator,2980,1947
143,59,4,4,1,2,0,0,0,0,0,0,0,0,0,0,,7600,1947
