state,datadate,revenue,assets,rec_to_assets,rec_to_rev,n_public,revenue_retail,assets_retail,rec_to_assets_retail,rec_to_rev_retail,n_public_retail,revenue_card,assets_card,rec_to_assets_card,rec_to_rev_card,n_public_card
"",19710630,96.68575,250.40925,0.284293215928712,0.639017429783154,4,,,,,,,,,,
"",19710731,17.523,89.966,0.155950016998893,0.641475987705342,2,,,,,,,,,,
"",19710930,2.9165,39.8715,0.0972893075786422,0.682317924749536,2,,,,,,,,,,
"",19711031,372.6774,503.6142,0.176879866645029,0.6010985693685,5,,,,,,,,,,
"",19711231,199.877857142857,504.125428571429,0.173010449157115,0.54209755997661,28,7.269,18.871,0.259180753537173,0.672857339386436,1,,,,,
"",19720229,4.652,6.744,0.155693950177936,0.225709372312984,1,,,,,,,,,,
"",19720331,329.241666666667,774.607333333333,0.158336893340751,0.581606635975876,3,,,,,,,,,,
"",19720430,10.751,37.951,0.227635635424626,0.803553157845782,1,,,,,,,,,,
"",19720531,10.256,53.659,0.144895250722988,0.758712750320359,2,,,,,,,,,,
"",19720630,98.9113333333333,307.252166666667,0.223278116788656,0.665279988084498,6,,,,,,,,,,
"",19720731,34.704,208.47,0.121360387585744,0.729022591055786,1,,,,,,,,,,
"",19720930,4.873,17.111,0.181929752790603,0.63882618510158,1,,,,,,,,,,
"",19721031,369.71675,583.464,0.153511931753221,0.493822972859387,4,,,,,,,,,,
"",19721130,1503.242,3644.455,0.174587695553931,0.423269839453661,1,,,,,,,,,,
"",19721231,231.07,541.661733333333,0.15956051459796,0.53592729935622,30,448.2855,355.1385,0.155213498205284,0.315946312542484,2,,,,,
"",19730228,281.649,598.439,0.123319277122067,0.229814448481207,2,,,,,,,,,,
"",19730331,421.011,918.698666666667,0.164149071760164,0.53849222699691,3,,,,,,,,,,
"",19730430,508.479,579.273,0.298353790514269,0.613602415576057,2,,,,,,,,,,
"",19730531,11.881,58.7405,0.149233572425007,0.737837188200247,2,,,,,,,,,,
"",19730630,138.40175,316.09475,0.209900958797328,0.540866809011862,4,,,,,,,,,,
"",19730731,24.5475,142.2495,0.166109544640198,0.871816169384927,2,,,,,,,,,,
"",19730831,865.529,1139.189,0.143056156616681,0.188287163110653,1,,,,,,,,,,
"",19730930,69.3325,79.83525,0.130829139918706,0.537542083394117,4,,,,,,,,,,
"",19731031,471.725,642.1095,0.185130261726692,0.47183620690925,4,,,,,,,,,,
"",19731130,885.486,3715.091,0.183916356288446,0.771628235793677,1,,,,,,,,,,
"",19731231,361.672451612903,1035.23532258065,0.160209408655333,0.546085548332122,31,8.597,19.592,0.259187423438138,0.59067116435966,1,,,,,
"",19740131,982.251,702.193,0.0214015235127664,0.0152995517439025,1,982.251,702.193,0.0214015235127664,0.0152995517439025,1,,,,,
"",19740228,388.047,676.249,0.142236627248732,0.258205712458401,2,,,,,,,,,,
"",19740331,364.303,843.0528,0.196156958012684,0.589495545583309,5,,,,,,,,,,
"",19740430,679.954,735.629,0.312391052749363,0.664662018453734,2,,,,,,,,,,
"",19740531,15.785,78.587,0.167096809204394,0.842013122068947,2,,,,,,,,,,
"",19740630,155.725142857143,361.402285714286,0.243609066913183,0.610575912550749,7,68.56,160.975,0.308290107159497,0.72384772462077,1,,,,,
"",19740731,57.521,330.843,0.132954301587158,0.764712018219433,1,,,,,,,,,,
"",19740831,915.137,1445.437,0.125865049808466,0.198800835284772,1,,,,,,,,,,
"",19740930,178.9172,318.409,0.2396332850064,0.515959243086105,5,75.85,166.263,0.321195936558344,0.704060646011866,1,,,,,
"",19741031,448.2935,788.5035,0.182919246097352,0.603409415548535,6,,,,,,,,,,
"",19741130,1372.184,4192.07,0.170148160693882,0.519808567947156,1,,,,,,,,,,
"",19741231,465.808027777778,1281.36166666667,0.16208065818633,0.571582182171407,36,46.2835,100.344,0.270926349641597,0.635404020160853,2,,,,,
"",19750131,317.704,1002.9295,0.108391670968771,0.400562150994535,2,291.128,675.464,0.0236948231141852,0.0549758181968069,1,,,,,
"",19750228,5.274,9.54,0.0864779874213837,0.156427758816837,1,,,,,,,,,,
"",19750331,165.979454545455,534.165590909091,0.15829630429718,0.662929170631543,22,,,,,,,,,,
"",19750430,494.5335,738.132,0.25118374717755,0.562598005960861,4,,,,,,,,,,
"",19750531,13.4046666666667,63.9943333333333,0.135973669876081,0.772121632311192,3,,,,,,,,,,
"",19750630,127.9662,435.4337,0.151512666757758,0.575829524108366,20,77.356,223.758,0.251758596340689,0.728230518641088,1,,,,,
"",19750731,117.75075,468.03975,0.223920112027459,0.702448366303498,4,,,,,,,,,,
"",19750831,375.061666666667,598.994666666667,0.150883570444,0.59079334152866,3,,,,,,,,,,
"",19750930,117.46819047619,408.344523809524,0.144817291290256,0.567547488927969,21,89.774,243.419,0.261606530303715,0.70933677902288,1,,,,,
"",19751031,507.29425,830.956875,0.213032451216167,0.617334673294043,8,,,,,,,,,,
"",19751130,419.595333333333,1461.84833333333,0.174398208049243,0.736663405546638,3,,,,,,,,,,
"",19751231,483.946853658537,1549.20809756098,0.162928337346809,0.587658649453319,41,55.697,139.2205,0.283048949080273,0.598308424366875,2,,,,,
"",19760131,139.73,444.302333333333,0.172316100455275,0.557920493440702,6,348.827,716.521,0.0272022732062284,0.0558758352994464,1,,,,,
"",19760229,350.403333333333,694.796,0.179189918573037,0.630112875683169,3,,,,,,,,,,
"",19760331,144.891290322581,474.431419354839,0.16370079518766,0.599291760690413,31,50.483,142.657,0.261402993088878,0.68408135296337,2,,,,,
"",19760430,187.624285714286,526.652,0.234881813142419,0.647995742296056,7,,,,,,,,,,
"",19760531,22.795,85.153,0.155322241324936,0.614451223927676,3,,,,,,,,,,
"",19760630,129.209133333333,426.958333333333,0.164277727109575,0.631788871197558,30,48.491,140.3535,0.282341380847269,0.732443025738685,2,,,,,
"",19760731,95.2393333333333,377.724833333333,0.225682170350591,0.643897606848824,6,,,,,,,,,,
"",19760831,522.185333333333,712.420666666667,0.191610269613942,0.550504741227971,3,,,,,,,,,,
"",19760930,198.6157,590.713533333333,0.155313071168338,0.619605241340182,30,54.3275,134.921,0.302597356679117,0.711445592541904,2,,,,,
"",19761031,424.806125,825.187625,0.217978266562561,0.622853888721163,8,,,,,,,,,,
"",19761130,542.356,1779.461,0.210242540570278,0.691427273212741,3,,,,,,,,,,
"",19761231,536.572108695652,1467.61084782609,0.162178426350938,0.581032374354293,46,58.8545,136.2965,0.270617251072355,0.59171275193437,2,,,,,
"",19770131,127.163125,388.345875,0.177879516338052,0.544950663173048,8,410.975,653.29,0.0334216044941756,0.0531273191799988,1,,,,,
"",19770228,500.495666666667,756.649666666667,0.193681758643029,0.579186697664342,3,,,,,,,,,,
"",19770331,185.535322580645,559.235064516129,0.16216480816179,0.616962631407339,31,45.3055,132.873,0.268956991953301,0.750985896922802,2,,,,,
