gvkey
1118
1240
1301
1302
1322
1345
1572
1573
1594
1803
2064
2090
2151
2198
2208
2323
2436
2611
2791
2792
2796
3004
3030
3051
3054
3164
3177
3495
3615
3646
3654
3708
3782
3813
3869
3886
3964
4084
4207
4218
4470
4523
4550
4592
4594
4611
4750
4759
4830
4887
4904
4909
4911
4945
4979
4990
4996
5009
5060
5109
5121
5151
5172
5194
5221
5235
5259
5260
5285
5301
5334
5413
5465
5513
5602
5722
5729
5732
6108
6179
6206
6229
6260
6303
6307
6400
6502
6508
6553
6583
6733
6753
6780
6802
6829
6834
6914
6915
6928
7068
7105
7127
7154
7195
7254
7407
7485
7566
7570
7573
7616
7618
7720
7758
7780
7853
7891
7922
8306
8343
8398
8400
8439
8446
8475
8496
8504
8510
8569
8580
8622
8650
8674
8814
8888
8926
8950
9089
9155
9201
9284
9359
9361
9388
9430
9502
9522
9567
9618
9680
9712
9722
9731
9770
9842
9872
9918
9926
9943
9985
10131
10173
10199
10331
10332
10333
10554
10558
10639
10699
10969
11002
11085
11215
11259
11263
11264
11339
11343
11491
11534
11535
11543
11579
11584
11669
11672
12061
12474
12681
13121
13961
14097
23769
65499
