gvkey,state,treatment_discrete,margin_78,revenue_78,profit_78,margin_83,revenue_83,profit_83,profit_growth,rev_growth,margin_growth
1118,RI,0,0.024219086269446,32.526,0.78775,0.0251832927588745,70.652,1.77925,1,1,0.000964206489428503
1240,ID,0,0.0156637145812833,396.33,6.208,0.0173191910071602,1014.496,17.57025,1,1,0.00165547642587693
1301,OH,0,0.047055080341343,394.442,18.5605,0.0418004474470918,768.359,32.11775,0.730435602489157,0.947964466258664,-0.00525463289425116
1302,MI,0,-0.0105286529309363,310.771,-3.272,0.0206046477987771,179.741,3.7035,-1,-0.421628787756901,0.0311333007297134
1322,MA,0,0.0221393928507275,11.134,0.2465,0.00413141195134849,15.128,0.0625,-0.746450304259635,0.358721034668583,-0.018007980899379
1345,GA,0,0.00953977533241632,87.24,0.83225,,,,-1,-1,-1
1572,UT,0,0.00734133972549197,905.693,6.649,,,,-1,-1,-1
1573,UT,0,0.0247434349532146,198.78,4.9185,,,,-1,-1,-1
1594,CT,0.746427804626424,0.0376472135363395,34.219,1.28825,0.0529683138357945,93.858,4.9715,1,1,0.015321100299455
1803,NY,0,0.0341238819407113,308.794,10.53725,0.0416877174242534,692.77,28.88,1,1,0.00756383548354208
2064,NY,0,0.0327982928187048,5.389,0.17675,,,,-1,-1,-1
2090,AZ,0,0.0108695652173913,52.21,0.5675,0.00953843599535115,90.345,0.86175,0.518502202643172,0.73041562918981,-0.00133112922204015
2151,NJ,0.388457266503885,0.00726907255048616,10.696,0.07775,,,,-1,-1,-1
2198,MA,0,0.0629279811097993,4.235,0.2665,,,,-1,-1,-1
2208,NY,0,0.0122686561617363,53.816,0.66025,0.0108049618141045,127.534,1.378,1,1,-0.00146369434763181
2323,MI,0,0.000768288224191939,202.398,0.1555,-0.00894003826647621,305.228,-2.72875,-1,0.508058380023518,-0.00970832649066815
2436,MO,0,0.0313851157007924,215.556,6.76525,0.0457318982014574,367.353,16.79975,1,0.704211434615599,0.0143467825006651
2611,CT,0.967289721046729,0.0397461295268593,73.699,2.92925,,,,-1,-1,-1
2791,NY,0,0.0184192439862543,14.55,0.268,0.0350283181482393,32.488,1.138,1,1,0.0166090741619851
2792,IL,0,0.0330274363632074,84.778,2.8,0.0189615813192123,202.818,3.84575,0.373482142857143,1,-0.0140658550439951
2796,OH,0,0.0439857146105299,307.867,13.54175,0.0264546220029071,637.743,16.87125,0.245869256189193,1,-0.0175310926076227
3004,MA,0,0.0154763522696385,14.716,0.22775,,,,-1,-1,-1
3030,GA,0,0.121481910343361,42.317,5.14075,0.0873116898929635,90.343,7.888,0.534406458201624,1,-0.0341702204503974
3051,AZ,0,0.0216516384429294,90.94,1.969,0.0251081428180651,215.687,5.4155,1,1,0.00345650437513566
3054,VA,0,0.027719241368131,18.507,0.513,0.0473443931055147,63.413,3.00225,1,1,0.0196251517373837
3164,OH,0,0.0457858815927631,24.762,1.13375,0.0436547947372063,101.163,4.41625,1,1,-0.00213108685555681
3177,CA,0,0.0376712328767123,40.588,1.529,0.0500085847042033,93.189,4.66025,1,1,0.012337351827491
3495,OH,0,0.00731858194408595,112.351,0.82225,-0.102637945130205,149.226,-15.31625,-1,0.328212476969497,-0.109956527074291
3615,MI,0,-0.000768297614233725,12.365,-0.00950000000000001,0.0257487425697302,17.496,0.4505,-1,0.414961585119288,0.026517040183964
3646,ID,1,0.00721407414912066,167.797,1.2105,0.0101536756687032,341.108,3.4635,1,1,0.0029396015195825
3654,NY,0,0.00487714072970961,47.005,0.22925,,,,-1,-1,-1
3708,OH,0,0.0340520339226678,34.785,1.1845,0.0125834795186656,64.986,0.81775,-0.309624314056564,0.86821905993963,-0.0214685544040023
3782,TX,0,0.0929636533084809,22.533,2.09475,0.0152922510678259,132.044,2.01925,-0.0360424871703067,1,-0.077671402240655
3813,MN,1,0.0493912832978627,495.715,24.484,0.0447136477207893,1372.383,61.36425,1,1,-0.00467763557707337
3869,SC,0,0.0486606678702067,105.799,5.14825,0.0373457385983932,269.348,10.059,0.953867819161851,1,-0.0113149292718136
3886,NY,0,-0.115335258261149,3.117,-0.3595,0.053116027698024,5.921,0.3145,-1,0.899582932306705,0.168451285959173
3964,AR,1,0.0222246293540305,53.083,1.17975,0.0510054981174924,167.33,8.53475,1,1,0.0287808687634619
4084,NJ,0,0.0131509850789512,55.224,0.72625,,,,-1,-1,-1
