,index,url_title,url,title,numbers,year,yellow,inrange,include,pages
3418,3419,"https://www.loc.gov/resource/usteledirec.usteledirec03419:<title>Image 1 of California - Yellow Pages - San Francisco - September 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03419,"<title>Image 1 of California - Yellow Pages - San Francisco - September 1956  | Library of Congress</title>
","['1', '1956']",1956.0,1,1,1,482
3420,3421,"https://www.loc.gov/resource/usteledirec.usteledirec03421:<title>Image 1 of California - Yellow Pages - San Francisco - September 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03421,"<title>Image 1 of California - Yellow Pages - San Francisco - September 1955  | Library of Congress</title>
","['1', '1955']",1955.0,1,1,1,458
3422,3423,"https://www.loc.gov/resource/usteledirec.usteledirec03423:<title>Image 1 of California - Yellow Pages - San Francisco - September 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03423,"<title>Image 1 of California - Yellow Pages - San Francisco - September 1957  | Library of Congress</title>
","['1', '1957']",1957.0,1,1,1,510
3424,3425,"https://www.loc.gov/resource/usteledirec.usteledirec03425:<title>Image 1 of California - Yellow Pages - San Francisco - September 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03425,"<title>Image 1 of California - Yellow Pages - San Francisco - September 1958  | Library of Congress</title>
","['1', '1958']",1958.0,1,1,1,530
3426,3427,"https://www.loc.gov/resource/usteledirec.usteledirec03427:<title>Image 1 of California - Yellow Pages - San Francisco - September 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03427,"<title>Image 1 of California - Yellow Pages - San Francisco - September 1959  | Library of Congress</title>
","['1', '1959']",1959.0,1,1,1,573
3428,3429,"https://www.loc.gov/resource/usteledirec.usteledirec03429:<title>Image 1 of California - Yellow Pages - San Francisco - September 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03429,"<title>Image 1 of California - Yellow Pages - San Francisco - September 1960  | Library of Congress</title>
","['1', '1960']",1960.0,1,1,1,591
3431,3432,"https://www.loc.gov/resource/usteledirec.usteledirec03432:<title>Image 1 of California - Yellow Pages - San Francisco - September 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03432,"<title>Image 1 of California - Yellow Pages - San Francisco - September 1961  | Library of Congress</title>
","['1', '1961']",1961.0,1,1,1,602
3432,3433,"https://www.loc.gov/resource/usteledirec.usteledirec03433:<title>Image 1 of California - Yellow Pages - San Francisco - September 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03433,"<title>Image 1 of California - Yellow Pages - San Francisco - September 1962  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1,603
3434,3435,"https://www.loc.gov/resource/usteledirec.usteledirec03435:<title>Image 1 of California - Yellow Pages - San Francisco - September 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03435,"<title>Image 1 of California - Yellow Pages - San Francisco - September 1963  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,619
3481,3482,"https://www.loc.gov/resource/usteledirec.usteledirec03482:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - April 1950  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03482,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - April 1950  | Library of Congress</title>
","['1', '1950']",1950.0,1,1,1,358
3482,3483,"https://www.loc.gov/resource/usteledirec.usteledirec03483:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1951  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03483,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1951  | Library of Congress</title>
","['1', '1951']",1951.0,1,1,1,368
3483,3484,"https://www.loc.gov/resource/usteledirec.usteledirec03484:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03484,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1952  | Library of Congress</title>
","['1', '1952']",1952.0,1,1,1,372
3484,3485,"https://www.loc.gov/resource/usteledirec.usteledirec03485:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03485,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1953  | Library of Congress</title>
","['1', '1953']",1953.0,1,1,1,373
3485,3486,"https://www.loc.gov/resource/usteledirec.usteledirec03486:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03486,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1954  | Library of Congress</title>
","['1', '1954']",1954.0,1,1,1,401
3491,3492,"https://www.loc.gov/resource/usteledirec.usteledirec03492:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - February 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03492,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - February 1962  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1,574
3492,3493,"https://www.loc.gov/resource/usteledirec.usteledirec03493:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - February 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03493,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - February 1963  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,607
3494,3495,"https://www.loc.gov/resource/usteledirec.usteledirec03495:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03495,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1959  | Library of Congress</title>
","['1', '1959']",1959.0,1,1,1,428
3495,3496,"https://www.loc.gov/resource/usteledirec.usteledirec03496:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - December 1955 thru January 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03496,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - December 1955 thru January 1956  | Library of Congress</title>
","['1', '1955', '1956']",1955.0,1,1,1,441
3498,3499,"https://www.loc.gov/resource/usteledirec.usteledirec03499:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03499,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1960  | Library of Congress</title>
","['1', '1960']",1960.0,1,1,1,480
3499,3500,"https://www.loc.gov/resource/usteledirec.usteledirec03500:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03500,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1955  | Library of Congress</title>
","['1', '1955']",1955.0,1,1,1,402
3500,3501,"https://www.loc.gov/resource/usteledirec.usteledirec03501:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - February 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03501,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - February 1961  | Library of Congress</title>
","['1', '1961']",1961.0,1,1,1,527
3501,3502,"https://www.loc.gov/resource/usteledirec.usteledirec03502:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03502,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1957  | Library of Congress</title>
","['1', '1957']",1957.0,1,1,1,483
3502,3503,"https://www.loc.gov/resource/usteledirec.usteledirec03503:<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03503,"<title>Image 1 of California - White Pages and Yellow Pages - San Jose - January 1958  | Library of Congress</title>
","['1', '1958']",1958.0,1,1,1,535
3520,3521,"https://www.loc.gov/resource/usteledirec.usteledirec03521:<title>Image 1 of California - White Pages and Yellow Pages - San Luis Obispo County - January 1950 thru December 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03521,"<title>Image 1 of California - White Pages and Yellow Pages - San Luis Obispo County - January 1950 thru December 1952  | Library of Congress</title>
","['1', '1950', '1952']",1950.0,1,1,1,450
3521,3522,"https://www.loc.gov/resource/usteledirec.usteledirec03522:<title>Image 1 of California - White Pages and Yellow Pages - San Luis Obispo County - December 1953 thru October 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03522,"<title>Image 1 of California - White Pages and Yellow Pages - San Luis Obispo County - December 1953 thru October 1956  | Library of Congress</title>
","['1', '1953', '1956']",1953.0,1,1,1,548
3522,3523,"https://www.loc.gov/resource/usteledirec.usteledirec03523:<title>Image 1 of California - White Pages and Yellow Pages - San Luis Obispo County - October 1957 thru August 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03523,"<title>Image 1 of California - White Pages and Yellow Pages - San Luis Obispo County - October 1957 thru August 1960  | Library of Congress</title>
","['1', '1957', '1960']",1957.0,1,1,1,544
3523,3524,"https://www.loc.gov/resource/usteledirec.usteledirec03524:<title>Image 1 of California - White Pages and Yellow Pages - San Luis Obispo County - August 1961 thru August 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03524,"<title>Image 1 of California - White Pages and Yellow Pages - San Luis Obispo County - August 1961 thru August 1963  | Library of Congress</title>
","['1', '1961', '1963']",1961.0,1,1,1,554
3536,3537,"https://www.loc.gov/resource/usteledirec.usteledirec03537:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - September 1950  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03537,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - September 1950  | Library of Congress</title>
","['1', '1950']",1950.0,1,1,1,376
3537,3538,"https://www.loc.gov/resource/usteledirec.usteledirec03538:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - September 1951  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03538,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - September 1951  | Library of Congress</title>
","['1', '1951']",1951.0,1,1,1,421
3538,3539,"https://www.loc.gov/resource/usteledirec.usteledirec03539:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - September 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03539,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - September 1952  | Library of Congress</title>
","['1', '1952']",1952.0,1,1,1,434
3539,3540,"https://www.loc.gov/resource/usteledirec.usteledirec03540:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - September 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03540,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - September 1953  | Library of Congress</title>
","['1', '1953']",1953.0,1,1,1,466
3540,3541,"https://www.loc.gov/resource/usteledirec.usteledirec03541:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - September 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03541,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - September 1954  | Library of Congress</title>
","['1', '1954']",1954.0,1,1,1,499
3541,3542,"https://www.loc.gov/resource/usteledirec.usteledirec03542:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - February 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03542,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - February 1955  | Library of Congress</title>
","['1', '1955']",1955.0,1,1,1,519
3542,3543,"https://www.loc.gov/resource/usteledirec.usteledirec03543:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - February 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03543,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - February 1956  | Library of Congress</title>
","['1', '1956']",1956.0,1,1,1,539
3543,3544,"https://www.loc.gov/resource/usteledirec.usteledirec03544:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - April 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03544,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - April 1957  | Library of Congress</title>
","['1', '1957']",1957.0,1,1,1,624
3544,3545,"https://www.loc.gov/resource/usteledirec.usteledirec03545:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - April 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03545,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - April 1958  | Library of Congress</title>
","['1', '1958']",1958.0,1,1,1,504
3545,3546,"https://www.loc.gov/resource/usteledirec.usteledirec03546:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - April 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03546,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - April 1959  | Library of Congress</title>
","['1', '1959']",1959.0,1,1,1,534
3546,3547,"https://www.loc.gov/resource/usteledirec.usteledirec03547:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - April 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03547,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - April 1960  | Library of Congress</title>
","['1', '1960']",1960.0,1,1,1,561
3547,3548,"https://www.loc.gov/resource/usteledirec.usteledirec03548:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - April 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03548,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - April 1961  | Library of Congress</title>
","['1', '1961']",1961.0,1,1,1,602
3548,3549,"https://www.loc.gov/resource/usteledirec.usteledirec03549:<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - April 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03549,"<title>Image 1 of California - White Pages and Yellow Pages - San Mateo County - April 1962  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1,616
3550,3551,"https://www.loc.gov/resource/usteledirec.usteledirec03551:<title>Image 1 of California - Yellow Pages - San Mateo County - April 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03551,"<title>Image 1 of California - Yellow Pages - San Mateo County - April 1963  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,442
3588,3589,"https://www.loc.gov/resource/usteledirec.usteledirec03589:<title>Image 1 of California - White Pages and Yellow Pages - Santa Barbara - July 1953 thru July 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03589,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Barbara - July 1953 thru July 1956  | Library of Congress</title>
","['1', '1953', '1956']",1953.0,1,1,1,618
3589,3590,"https://www.loc.gov/resource/usteledirec.usteledirec03590:<title>Image 1 of California - White Pages and Yellow Pages - Santa Barbara - July 1957 thru July 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03590,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Barbara - July 1957 thru July 1959  | Library of Congress</title>
","['1', '1957', '1959']",1957.0,1,1,1,644
3590,3591,"https://www.loc.gov/resource/usteledirec.usteledirec03591:<title>Image 1 of California - White Pages and Yellow Pages - Santa Barbara - July 1960 thru July 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03591,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Barbara - July 1960 thru July 1961  | Library of Congress</title>
","['1', '1960', '1961']",1960.0,1,1,1,490
3591,3592,"https://www.loc.gov/resource/usteledirec.usteledirec03592:<title>Image 1 of California - White Pages and Yellow Pages - Santa Barbara - January 1962 - Special Issue  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03592,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Barbara - January 1962 - Special Issue  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1,254
3592,3593,"https://www.loc.gov/resource/usteledirec.usteledirec03593:<title>Image 1 of California - White Pages and Yellow Pages - San Barbara - July 1962 thru July 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03593,"<title>Image 1 of California - White Pages and Yellow Pages - San Barbara - July 1962 thru July 1963  | Library of Congress</title>
","['1', '1962', '1963']",1962.0,1,1,1,530
3621,3622,"https://www.loc.gov/resource/usteledirec.usteledirec03622:<title>Image 1 of California - White Pages and Yellow Pages - Santa Cruz County - June 1951 thru October 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03622,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Cruz County - June 1951 thru October 1954  | Library of Congress</title>
","['1', '1951', '1954']",1951.0,1,1,1,572
3622,3623,"https://www.loc.gov/resource/usteledirec.usteledirec03623:<title>Image 1 of California - White Pages and Yellow Pages - Santa Cruz County - June 1955 thru June 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03623,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Cruz County - June 1955 thru June 1958  | Library of Congress</title>
","['1', '1955', '1958']",1955.0,1,1,1,599
3623,3624,"https://www.loc.gov/resource/usteledirec.usteledirec03624:<title>Image 1 of California - White Pages and Yellow Pages - Santa Cruz County - June 1959 thru June 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03624,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Cruz County - June 1959 thru June 1961  | Library of Congress</title>
","['1', '1959', '1961']",1959.0,1,1,1,548
3624,3625,"https://www.loc.gov/resource/usteledirec.usteledirec03625:<title>Image 1 of California - White Pages and Yellow Pages - Santa Cruz County - June 1962 thru June 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03625,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Cruz County - June 1962 thru June 1963  | Library of Congress</title>
","['1', '1962', '1963']",1962.0,1,1,1,471
3635,3636,"https://www.loc.gov/resource/usteledirec.usteledirec03636:<title>Image 1 of California - White Pages and Yellow Pages - Santa Maria - July 1952 thru July 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03636,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Maria - July 1952 thru July 1957  | Library of Congress</title>
","['1', '1952', '1957']",1952.0,1,1,1,537
3637,3638,"https://www.loc.gov/resource/usteledirec.usteledirec03638:<title>Image 1 of California - White Pages and Yellow Pages - Santa Maria - July 1958 thru July 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03638,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Maria - July 1958 thru July 1961  | Library of Congress</title>
","['1', '1958', '1961']",1958.0,1,1,1,579
3650,3651,"https://www.loc.gov/resource/usteledirec.usteledirec03651:<title>Image 1 of California - White Pages and Yellow Pages - Santa Monica - February 1951  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03651,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Monica - February 1951  | Library of Congress</title>
","['1', '1951']",1951.0,1,1,1,365
3651,3652,"https://www.loc.gov/resource/usteledirec.usteledirec03652:<title>Image 1 of California - White Pages and Yellow Pages - Santa Monica - May 1950  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03652,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Monica - May 1950  | Library of Congress</title>
","['1', '1950']",1950.0,1,1,1,362
3654,3655,"https://www.loc.gov/resource/usteledirec.usteledirec03655:<title>Image 1 of California - White Pages and Yellow Pages - Santa Monica - March 1954 thru March 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03655,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Monica - March 1954 thru March 1956  | Library of Congress</title>
","['1', '1954', '1956']",1954.0,1,1,1,459
3655,3656,"https://www.loc.gov/resource/usteledirec.usteledirec03656:<title>Image 1 of California - White Pages and Yellow Pages - Santa Monica - March 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03656,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Monica - March 1953  | Library of Congress</title>
","['1', '1953']",1953.0,1,1,1,419
3656,3657,"https://www.loc.gov/resource/usteledirec.usteledirec03657:<title>Image 1 of California - White Pages and Yellow Pages - Santa Monica - March 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03657,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Monica - March 1952  | Library of Congress</title>
","['1', '1952']",1952.0,1,1,1,402
3663,3664,"https://www.loc.gov/resource/usteledirec.usteledirec03664:<title>Image 1 of California - White Pages and Yellow Pages - Santa Paula - April 1954 thru April 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03664,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Paula - April 1954 thru April 1957  | Library of Congress</title>
","['1', '1954', '1957']",1954.0,1,1,1,623
3666,3667,"https://www.loc.gov/resource/usteledirec.usteledirec03667:<title>Image 1 of California - White Pages and Yellow Pages - Santa Paula - April 1958 thru April 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03667,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Paula - April 1958 thru April 1961  | Library of Congress</title>
","['1', '1958', '1961']",1958.0,1,1,1,634
3677,3678,"https://www.loc.gov/resource/usteledirec.usteledirec03678:<title>Image 1 of California - White Pages and Yellow Pages - Santa Ynez - July 1956 thru January 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03678,"<title>Image 1 of California - White Pages and Yellow Pages - Santa Ynez - July 1956 thru January 1962  | Library of Congress</title>
","['1', '1956', '1962']",1956.0,1,1,1,592
3686,3687,"https://www.loc.gov/resource/usteledirec.usteledirec03687:<title>Image 1 of California - White Pages and Yellow Pages - Shasta County - August 1955 thru November 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03687,"<title>Image 1 of California - White Pages and Yellow Pages - Shasta County - August 1955 thru November 1957  | Library of Congress</title>
","['1', '1955', '1957']",1955.0,1,1,1,603
3687,3688,"https://www.loc.gov/resource/usteledirec.usteledirec03688:<title>Image 1 of California - White Pages and Yellow Pages - Shasta County - December 1952 thru December 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03688,"<title>Image 1 of California - White Pages and Yellow Pages - Shasta County - December 1952 thru December 1954  | Library of Congress</title>
","['1', '1952', '1954']",1952.0,1,1,1,539
3690,3691,"https://www.loc.gov/resource/usteledirec.usteledirec03691:<title>Image 1 of California - White Pages and Yellow Pages - Shasta County - August 1961 thru August 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03691,"<title>Image 1 of California - White Pages and Yellow Pages - Shasta County - August 1961 thru August 1963  | Library of Congress</title>
","['1', '1961', '1963']",1961.0,1,1,1,592
3691,3692,"https://www.loc.gov/resource/usteledirec.usteledirec03692:<title>Image 1 of California - White Pages and Yellow Pages - Shasta County - August 1958 thru August 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03692,"<title>Image 1 of California - White Pages and Yellow Pages - Shasta County - August 1958 thru August 1960  | Library of Congress</title>
","['1', '1958', '1960']",1958.0,1,1,1,493
3810,3811,"https://www.loc.gov/resource/usteledirec.usteledirec03811:<title>Image 1 of California - White Pages and Yellow Pages - Sierra Madre - Northeastern Section - December 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03811,"<title>Image 1 of California - White Pages and Yellow Pages - Sierra Madre - Northeastern Section - December 1952  | Library of Congress</title>
","['1', '1952']",1952.0,1,1,1,434
3811,3812,"https://www.loc.gov/resource/usteledirec.usteledirec03812:<title>Image 1 of California - White Pages and Yellow Pages - Sierra Madre - Northeastern Section - November 1950  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03812,"<title>Image 1 of California - White Pages and Yellow Pages - Sierra Madre - Northeastern Section - November 1950  | Library of Congress</title>
","['1', '1950']",1950.0,1,1,1,355
3822,3823,"https://www.loc.gov/resource/usteledirec.usteledirec03823:<title>Image 1 of California - White Pages and Yellow Pages - Sonoma County - February 1952 thru February 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03823,"<title>Image 1 of California - White Pages and Yellow Pages - Sonoma County - February 1952 thru February 1953  | Library of Congress</title>
","['1', '1952', '1953']",1952.0,1,1,1,434
3823,3824,"https://www.loc.gov/resource/usteledirec.usteledirec03824:<title>Image 1 of California - White Pages and Yellow Pages - Sonoma County - February 1954 thru February 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03824,"<title>Image 1 of California - White Pages and Yellow Pages - Sonoma County - February 1954 thru February 1955  | Library of Congress</title>
","['1', '1954', '1955']",1954.0,1,1,1,495
3824,3825,"https://www.loc.gov/resource/usteledirec.usteledirec03825:<title>Image 1 of California - White Pages and Yellow Pages - Sonoma County - September 1956 thru September 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03825,"<title>Image 1 of California - White Pages and Yellow Pages - Sonoma County - September 1956 thru September 1958  | Library of Congress</title>
","['1', '1956', '1958']",1956.0,1,1,1,584
3825,3826,"https://www.loc.gov/resource/usteledirec.usteledirec03826:<title>Image 1 of California - White Pages and Yellow Pages - Sonoma County - September 1959 thru September 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03826,"<title>Image 1 of California - White Pages and Yellow Pages - Sonoma County - September 1959 thru September 1960  | Library of Congress</title>
","['1', '1959', '1960']",1959.0,1,1,1,494
3826,3827,"https://www.loc.gov/resource/usteledirec.usteledirec03827:<title>Image 1 of California - White Pages and Yellow Pages - Sonoma County - September 1961 thru September 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03827,"<title>Image 1 of California - White Pages and Yellow Pages - Sonoma County - September 1961 thru September 1962  | Library of Congress</title>
","['1', '1961', '1962']",1961.0,1,1,1,589
3827,3828,"https://www.loc.gov/resource/usteledirec.usteledirec03828:<title>Image 1 of California - White Pages and Yellow Pages - Sonoma County - September 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03828,"<title>Image 1 of California - White Pages and Yellow Pages - Sonoma County - September 1963  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,331
3884,3885,"https://www.loc.gov/resource/usteledirec.usteledirec03885:<title>Image 1 of California - White Pages and Yellow Pages - Stanislaus County - March 1953 thru March 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03885,"<title>Image 1 of California - White Pages and Yellow Pages - Stanislaus County - March 1953 thru March 1955  | Library of Congress</title>
","['1', '1953', '1955']",1953.0,1,1,1,587
3885,3886,"https://www.loc.gov/resource/usteledirec.usteledirec03886:<title>Image 1 of California - White Pages and Yellow Pages - Stanislaus County - February 1961 thru February 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03886,"<title>Image 1 of California - White Pages and Yellow Pages - Stanislaus County - February 1961 thru February 1962  | Library of Congress</title>
","['1', '1961', '1962']",1961.0,1,1,1,496
3886,3887,"https://www.loc.gov/resource/usteledirec.usteledirec03887:<title>Image 1 of California - White Pages and Yellow Pages - Stanislaus County - February 1956 thru February 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec03887,"<title>Image 1 of California - White Pages and Yellow Pages - Stanislaus County - February 1956 thru February 1958  | Library of Congress</title>
","['1', '1956', '1958']",1956.0,1,1,1,579
