,index,url_title,url,title,numbers,year,yellow,inrange,include,pages
377,378,"https://www.loc.gov/resource/usteledirec.usteledirec00378:<title>Image 1 of Alabama - Yellow Pages - Florence - May 1951 thru January 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00378,"<title>Image 1 of Alabama - Yellow Pages - Florence - May 1951 thru January 1963  | Library of Congress</title>
","['1', '1951', '1963']",1951.0,1,1,1,350
391,392,"https://www.loc.gov/resource/usteledirec.usteledirec00392:<title>Image 1 of Alabama - Yellow Pages - Flat Rock - August 1962 thru August 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00392,"<title>Image 1 of Alabama - Yellow Pages - Flat Rock - August 1962 thru August 1963  | Library of Congress</title>
","['1', '1962', '1963']",1962.0,1,1,1,38
437,438,"https://www.loc.gov/resource/usteledirec.usteledirec00438:<title>Image 1 of Alabama - Yellow Pages - Huntsville - January 1952 thru August 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00438,"<title>Image 1 of Alabama - Yellow Pages - Huntsville - January 1952 thru August 1962  | Library of Congress</title>
","['1', '1952', '1962']",1952.0,1,1,1,387
511,512,"https://www.loc.gov/resource/usteledirec.usteledirec00512:<title>Image 1 of Alabama - Yellow Pages - Gardendale - May 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00512,"<title>Image 1 of Alabama - Yellow Pages - Gardendale - May 1963  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,210
513,514,"https://www.loc.gov/resource/usteledirec.usteledirec00514:<title>Image 1 of Alabama - Yellow Pages - Gardendale - June 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00514,"<title>Image 1 of Alabama - Yellow Pages - Gardendale - June 1962  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1,210
515,516,"https://www.loc.gov/resource/usteledirec.usteledirec00516:<title>Image 1 of Alabama - Yellow Pages - Gardendale - June 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00516,"<title>Image 1 of Alabama - Yellow Pages - Gardendale - June 1961  | Library of Congress</title>
","['1', '1961']",1961.0,1,1,1,199
539,540,"https://www.loc.gov/resource/usteledirec.usteledirec00540:<title>Image 1 of Alabama - Yellow Pages - Mobile - October 1962 thru December 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00540,"<title>Image 1 of Alabama - Yellow Pages - Mobile - October 1962 thru December 1963  | Library of Congress</title>
","['1', '1962', '1963']",1962.0,1,1,1,258
540,541,"https://www.loc.gov/resource/usteledirec.usteledirec00541:<title>Image 1 of Alabama - White Pages/Yellow Pages - Mobile - October 1960 thru August 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00541,"<title>Image 1 of Alabama - White Pages/Yellow Pages - Mobile - October 1960 thru August 1961  | Library of Congress</title>
","['1', '1960', '1961']",1960.0,1,1,1,542
543,544,"https://www.loc.gov/resource/usteledirec.usteledirec00544:<title>Image 1 of Alabama - Yellow Pages - Mobile - October 1958 thru October 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00544,"<title>Image 1 of Alabama - Yellow Pages - Mobile - October 1958 thru October 1959  | Library of Congress</title>
","['1', '1958', '1959']",1958.0,1,1,1,257
545,546,"https://www.loc.gov/resource/usteledirec.usteledirec00546:<title>Image 1 of Alabama - Yellow Pages - Mobile - January 1955 thru September 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00546,"<title>Image 1 of Alabama - Yellow Pages - Mobile - January 1955 thru September 1956  | Library of Congress</title>
","['1', '1955', '1956']",1955.0,1,1,1,238
547,548,"https://www.loc.gov/resource/usteledirec.usteledirec00548:<title>Image 1 of Alabama - Yellow Pages - Mobile - December 1953 thru April 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00548,"<title>Image 1 of Alabama - Yellow Pages - Mobile - December 1953 thru April 1954  | Library of Congress</title>
","['1', '1953', '1954']",1953.0,1,1,1,267
549,550,"https://www.loc.gov/resource/usteledirec.usteledirec00550:<title>Image 1 of Alabama - Yellow Pages - Mobile - November 1951 thru August 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00550,"<title>Image 1 of Alabama - Yellow Pages - Mobile - November 1951 thru August 1952  | Library of Congress</title>
","['1', '1951', '1952']",1951.0,1,1,1,246
601,602,"https://www.loc.gov/resource/usteledirec.usteledirec00602:<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - March 1953 thru November 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00602,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - March 1953 thru November 1954  | Library of Congress</title>
","['1', '1953', '1954']",1953.0,1,1,1,535
602,603,"https://www.loc.gov/resource/usteledirec.usteledirec00603:<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - June 1955 thru June 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00603,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - June 1955 thru June 1956  | Library of Congress</title>
","['1', '1955', '1956']",1955.0,1,1,1,400
603,604,"https://www.loc.gov/resource/usteledirec.usteledirec00604:<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - February 1957 thru February 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00604,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - February 1957 thru February 1959  | Library of Congress</title>
","['1', '1957', '1959']",1957.0,1,1,1,526
604,605,"https://www.loc.gov/resource/usteledirec.usteledirec00605:<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - February 1960 thru February 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00605,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - February 1960 thru February 1961  | Library of Congress</title>
","['1', '1960', '1961']",1960.0,1,1,1,377
605,606,"https://www.loc.gov/resource/usteledirec.usteledirec00606:<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - February 1962 thru March 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00606,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - February 1962 thru March 1963  | Library of Congress</title>
","['1', '1962', '1963']",1962.0,1,1,1,408
619,620,"https://www.loc.gov/resource/usteledirec.usteledirec00620:<title>Image 1 of Alabama - White Pages and Yellow Pages - New Hope - August 1957 thru October 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00620,"<title>Image 1 of Alabama - White Pages and Yellow Pages - New Hope - August 1957 thru October 1963  | Library of Congress</title>
","['1', '1957', '1963']",1957.0,1,1,1,200
655,656,"https://www.loc.gov/resource/usteledirec.usteledirec00656:<title>Image 1 of Alabama - White Pages and Yellow Pages - Rockford - January 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00656,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Rockford - January 1963  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,41
656,657,"https://www.loc.gov/resource/usteledirec.usteledirec00657:<title>Image 1 of Alabama - White Pages and Yellow Pages - Russellville - May 1952 thru December 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00657,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Russellville - May 1952 thru December 1962  | Library of Congress</title>
","['1', '1952', '1962']",1952.0,1,1,1,228
691,692,"https://www.loc.gov/resource/usteledirec.usteledirec00692:<title>Image 1 of Alabama - White Pages and Yellow Pages - Tuscaloosa - January 1957 thru December 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00692,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Tuscaloosa - January 1957 thru December 1961  | Library of Congress</title>
","['1', '1957', '1961']",1957.0,1,1,1,338
713,714,"https://www.loc.gov/resource/usteledirec.usteledirec00714:<title>Image 1 of Alaska - White Pages and Yellow Pages - Anchorage - November 1957 thru September 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00714,"<title>Image 1 of Alaska - White Pages and Yellow Pages - Anchorage - November 1957 thru September 1959  | Library of Congress</title>
","['1', '1957', '1959']",1957.0,1,1,1,560
714,715,"https://www.loc.gov/resource/usteledirec.usteledirec00715:<title>Image 1 of Alaska - White Pages and Yellow Pages - Anchorage - October 1964 thru October 1967  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00715,"<title>Image 1 of Alaska - White Pages and Yellow Pages - Anchorage - October 1964 thru October 1967  | Library of Congress</title>
","['1', '1964', '1967']",1964.0,1,1,1,520
752,753,"https://www.loc.gov/resource/usteledirec.usteledirec00753:<title>Image 1 of Alaska - White Pages and Yellow Pages - Fairbanks - October 1958 thru October 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00753,"<title>Image 1 of Alaska - White Pages and Yellow Pages - Fairbanks - October 1958 thru October 1963  | Library of Congress</title>
","['1', '1958', '1963']",1958.0,1,1,1,670
