,index,url_title,url,title,numbers,year,yellow,inrange,include
21,22,"https://www.loc.gov/resource/usteledirec.usteledirec00022:<title>Image 1 of Alabama - Yellow Pages - Birmingham - April 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00022,"<title>Image 1 of Alabama - Yellow Pages - Birmingham - April 1956  | Library of Congress</title>
","['1', '1956']",1956.0,1,1,1
22,23,"https://www.loc.gov/resource/usteledirec.usteledirec00023:<title>Image 1 of Alabama - White Pages/Yellow Pages - Birmingham - September 1950  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00023,"<title>Image 1 of Alabama - White Pages/Yellow Pages - Birmingham - September 1950  | Library of Congress</title>
","['1', '1950']",1950.0,1,1,1
89,90,"https://www.loc.gov/resource/usteledirec.usteledirec00090:<title>Image 1 of Alabama - Yellow Pages - Bessemer - June 1962 thru May 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00090,"<title>Image 1 of Alabama - Yellow Pages - Bessemer - June 1962 thru May 1963  | Library of Congress</title>
","['1', '1962', '1963']",1962.0,1,1,1
93,94,"https://www.loc.gov/resource/usteledirec.usteledirec00094:<title>Image 1 of Alabama - Yellow Pages - Bessemer - June 1954 thru June 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00094,"<title>Image 1 of Alabama - Yellow Pages - Bessemer - June 1954 thru June 1961  | Library of Congress</title>
","['1', '1954', '1961']",1954.0,1,1,1
95,96,"https://www.loc.gov/resource/usteledirec.usteledirec00096:<title>Image 1 of Alabama - Yellow Pages - Bessemer - April 1952 thru July 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00096,"<title>Image 1 of Alabama - Yellow Pages - Bessemer - April 1952 thru July 1953  | Library of Congress</title>
","['1', '1952', '1953']",1952.0,1,1,1
99,100,"https://www.loc.gov/resource/usteledirec.usteledirec00100:<title>Image 1 of Alabama - Yellow Pages - Bessemer - September 1950 thru April 1951  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00100,"<title>Image 1 of Alabama - Yellow Pages - Bessemer - September 1950 thru April 1951  | Library of Congress</title>
","['1', '1950', '1951']",1950.0,1,1,1
335,336,"https://www.loc.gov/resource/usteledirec.usteledirec00336:<title>Image 1 of Alabama - Yellow Pages - Birmingham - June 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00336,"<title>Image 1 of Alabama - Yellow Pages - Birmingham - June 1962  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1
351,352,"https://www.loc.gov/resource/usteledirec.usteledirec00352:<title>Image 1 of Alabama - Yellow Pages - Fairhope - August 1961 thru December 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00352,"<title>Image 1 of Alabama - Yellow Pages - Fairhope - August 1961 thru December 1963  | Library of Congress</title>
","['1', '1961', '1963']",1961.0,1,1,1
377,378,"https://www.loc.gov/resource/usteledirec.usteledirec00378:<title>Image 1 of Alabama - Yellow Pages - Florence - May 1951 thru January 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00378,"<title>Image 1 of Alabama - Yellow Pages - Florence - May 1951 thru January 1963  | Library of Congress</title>
","['1', '1951', '1963']",1951.0,1,1,1
391,392,"https://www.loc.gov/resource/usteledirec.usteledirec00392:<title>Image 1 of Alabama - Yellow Pages - Flat Rock - August 1962 thru August 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00392,"<title>Image 1 of Alabama - Yellow Pages - Flat Rock - August 1962 thru August 1963  | Library of Congress</title>
","['1', '1962', '1963']",1962.0,1,1,1
437,438,"https://www.loc.gov/resource/usteledirec.usteledirec00438:<title>Image 1 of Alabama - Yellow Pages - Huntsville - January 1952 thru August 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00438,"<title>Image 1 of Alabama - Yellow Pages - Huntsville - January 1952 thru August 1962  | Library of Congress</title>
","['1', '1952', '1962']",1952.0,1,1,1
511,512,"https://www.loc.gov/resource/usteledirec.usteledirec00512:<title>Image 1 of Alabama - Yellow Pages - Gardendale - May 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00512,"<title>Image 1 of Alabama - Yellow Pages - Gardendale - May 1963  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1
513,514,"https://www.loc.gov/resource/usteledirec.usteledirec00514:<title>Image 1 of Alabama - Yellow Pages - Gardendale - June 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00514,"<title>Image 1 of Alabama - Yellow Pages - Gardendale - June 1962  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1
515,516,"https://www.loc.gov/resource/usteledirec.usteledirec00516:<title>Image 1 of Alabama - Yellow Pages - Gardendale - June 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00516,"<title>Image 1 of Alabama - Yellow Pages - Gardendale - June 1961  | Library of Congress</title>
","['1', '1961']",1961.0,1,1,1
539,540,"https://www.loc.gov/resource/usteledirec.usteledirec00540:<title>Image 1 of Alabama - Yellow Pages - Mobile - October 1962 thru December 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00540,"<title>Image 1 of Alabama - Yellow Pages - Mobile - October 1962 thru December 1963  | Library of Congress</title>
","['1', '1962', '1963']",1962.0,1,1,1
540,541,"https://www.loc.gov/resource/usteledirec.usteledirec00541:<title>Image 1 of Alabama - White Pages/Yellow Pages - Mobile - October 1960 thru August 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00541,"<title>Image 1 of Alabama - White Pages/Yellow Pages - Mobile - October 1960 thru August 1961  | Library of Congress</title>
","['1', '1960', '1961']",1960.0,1,1,1
543,544,"https://www.loc.gov/resource/usteledirec.usteledirec00544:<title>Image 1 of Alabama - Yellow Pages - Mobile - October 1958 thru October 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00544,"<title>Image 1 of Alabama - Yellow Pages - Mobile - October 1958 thru October 1959  | Library of Congress</title>
","['1', '1958', '1959']",1958.0,1,1,1
545,546,"https://www.loc.gov/resource/usteledirec.usteledirec00546:<title>Image 1 of Alabama - Yellow Pages - Mobile - January 1955 thru September 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00546,"<title>Image 1 of Alabama - Yellow Pages - Mobile - January 1955 thru September 1956  | Library of Congress</title>
","['1', '1955', '1956']",1955.0,1,1,1
