NAME,state,r_90,r_77,r_change,st,ever_nolimit,year,r_usury,nolimit
Alaska,AK,18,18,0,2,1,1983,18,0
Alaska,AK,18,18,0,2,1,1980,18,0
Alaska,AK,18,18,0,2,1,1974,18,0
Alaska,AK,18,18,0,2,1,1981,18,0
Alaska,AK,18,18,0,2,1,1985,18,0
Alaska,AK,18,18,0,2,1,1973,18,0
Alaska,AK,18,18,0,2,1,1989,18,0
Alaska,AK,18,18,0,2,1,1986,18,0
Alaska,AK,18,18,0,2,1,1975,18,0
Alaska,AK,18,18,0,2,1,1971,18,0
Alaska,AK,18,18,0,2,1,1988,18,0
Alabama,AL,21,18,3,1,0,1978,18,0
Alabama,AL,21,18,3,1,0,1990,21,0
Alabama,AL,21,18,3,1,0,1974,18,0
Alabama,AL,21,18,3,1,0,1983,21,0
Alabama,AL,21,18,3,1,0,1987,21,0
Alabama,AL,21,18,3,1,0,1985,21,0
Alabama,AL,21,18,3,1,0,1988,21,0
Alabama,AL,21,18,3,1,0,1980,18,0
Alabama,AL,21,18,3,1,0,1982,21,0
Alabama,AL,21,18,3,1,0,1972,18,0
Alabama,AL,21,18,3,1,0,1975,18,0
Alabama,AL,21,18,3,1,0,1984,21,0
Alabama,AL,21,18,3,1,0,1976,18,0
Alabama,AL,21,18,3,1,0,1986,21,0
Alabama,AL,21,18,3,1,0,1977,18,0
Alabama,AL,21,18,3,1,0,1981,21,0
Alabama,AL,21,18,3,1,0,1989,21,0
Alabama,AL,21,18,3,1,0,1979,18,0
Arkansas,AR,17,10,7,5,0,1987,17,0
Arkansas,AR,17,10,7,5,0,1984,17,0
Arkansas,AR,17,10,7,5,0,1973,10,0
Arkansas,AR,17,10,7,5,0,1979,10,0
Arkansas,AR,17,10,7,5,0,1989,17,0
Arkansas,AR,17,10,7,5,0,1977,10,0
Arkansas,AR,17,10,7,5,0,1983,17,0
Arkansas,AR,17,10,7,5,0,1982,10,0
Arkansas,AR,17,10,7,5,0,1988,17,0
Arkansas,AR,17,10,7,5,0,1972,10,0
Arkansas,AR,17,10,7,5,0,1986,17,0
Arkansas,AR,17,10,7,5,0,1975,10,0
Arkansas,AR,17,10,7,5,0,1981,10,0
Arkansas,AR,17,10,7,5,0,1971,10,0
Arkansas,AR,17,10,7,5,0,1985,17,0
Arkansas,AR,17,10,7,5,0,1980,10,0
Arkansas,AR,17,10,7,5,0,1978,10,0
Arkansas,AR,17,10,7,5,0,1974,10,0
Arkansas,AR,17,10,7,5,0,1990,17,0
Arizona,AZ,30,18,12,4,1,1987,30,1
Arizona,AZ,30,18,12,4,1,1971,16,0
Arizona,AZ,30,18,12,4,1,1985,30,1
Arizona,AZ,30,18,12,4,1,1984,30,1
Arizona,AZ,30,18,12,4,1,1989,30,1
Arizona,AZ,30,18,12,4,1,1986,30,1
Arizona,AZ,30,18,12,4,1,1981,30,1
Arizona,AZ,30,18,12,4,1,1976,18,0
Arizona,AZ,30,18,12,4,1,1983,30,1
Arizona,AZ,30,18,12,4,1,1977,18,0
Arizona,AZ,30,18,12,4,1,1988,30,1
Arizona,AZ,30,18,12,4,1,1980,18,0
Arizona,AZ,30,18,12,4,1,1978,18,0
Arizona,AZ,30,18,12,4,1,1975,18,0
Arizona,AZ,30,18,12,4,1,1982,30,1
Arizona,AZ,30,18,12,4,1,1990,30,1
California,CA,19.2,18,1.2,6,1,1975,18,0
California,CA,19.2,18,1.2,6,1,1980,18,0
California,CA,19.2,18,1.2,6,1,1983,19.2,0
California,CA,19.2,18,1.2,6,1,1974,18,0
California,CA,19.2,18,1.2,6,1,1986,19.2,0
California,CA,19.2,18,1.2,6,1,1985,19.2,0
California,CA,19.2,18,1.2,6,1,1978,18,0
California,CA,19.2,18,1.2,6,1,1987,19.2,0
California,CA,19.2,18,1.2,6,1,1973,18,0
California,CA,19.2,18,1.2,6,1,1984,19.2,0
California,CA,19.2,18,1.2,6,1,1979,18,0
California,CA,19.2,18,1.2,6,1,1982,19.2,0
California,CA,19.2,18,1.2,6,1,1977,18,0
California,CA,19.2,18,1.2,6,1,1976,18,0
California,CA,19.2,18,1.2,6,1,1971,18,0
California,CA,19.2,18,1.2,6,1,1990,19.2,0
California,CA,19.2,18,1.2,6,1,1972,18,0
California,CA,19.2,18,1.2,6,1,1989,19.2,0
California,CA,19.2,18,1.2,6,1,1981,19.2,0
Colorado,CO,21,18,3,8,0,1983,21,0
Colorado,CO,21,18,3,8,0,1980,18,0
Colorado,CO,21,18,3,8,0,1973,18,0
Colorado,CO,21,18,3,8,0,1979,18,0
Colorado,CO,21,18,3,8,0,1978,18,0
Colorado,CO,21,18,3,8,0,1977,18,0
Colorado,CO,21,18,3,8,0,1975,18,0
Colorado,CO,21,18,3,8,0,1974,18,0
Colorado,CO,21,18,3,8,0,1990,21,0
Colorado,CO,21,18,3,8,0,1988,21,0
Colorado,CO,21,18,3,8,0,1972,18,0
Colorado,CO,21,18,3,8,0,1985,21,0
Colorado,CO,21,18,3,8,0,1986,21,0
Colorado,CO,21,18,3,8,0,1981,18,0
Colorado,CO,21,18,3,8,0,1989,21,0
Colorado,CO,21,18,3,8,0,1971,24,0
Colorado,CO,21,18,3,8,0,1976,18,0
Colorado,CO,21,18,3,8,0,1984,21,0
Colorado,CO,21,18,3,8,0,1987,21,0
Connecticut,CT,15,15,0,9,1,1987,15,0
Connecticut,CT,15,15,0,9,1,1976,15,0
