NAME,state,r_90,r_77,r_change,st,ever_nolimit,year,r_usury,nolimit
North Carolina,NC,18,18,0,37,0,1983,18,0
North Carolina,NC,18,18,0,37,0,1989,18,0
North Carolina,NC,18,18,0,37,0,1984,18,0
North Carolina,NC,18,18,0,37,0,1976,18,0
North Carolina,NC,18,18,0,37,0,1980,18,0
North Carolina,NC,18,18,0,37,0,1978,18,0
North Carolina,NC,18,18,0,37,0,1985,18,0
North Carolina,NC,18,18,0,37,0,1982,18,0
North Dakota,ND,30,18,12,38,1,1988,30,1
North Dakota,ND,30,18,12,38,1,1981,18,0
North Dakota,ND,30,18,12,38,1,1985,18,0
North Dakota,ND,30,18,12,38,1,1983,18,0
North Dakota,ND,30,18,12,38,1,1974,18,0
North Dakota,ND,30,18,12,38,1,1982,18,0
North Dakota,ND,30,18,12,38,1,1976,18,0
North Dakota,ND,30,18,12,38,1,1975,18,0
North Dakota,ND,30,18,12,38,1,1986,30,1
North Dakota,ND,30,18,12,38,1,1979,18,0
North Dakota,ND,30,18,12,38,1,1984,18,0
North Dakota,ND,30,18,12,38,1,1989,30,1
North Dakota,ND,30,18,12,38,1,1987,30,1
North Dakota,ND,30,18,12,38,1,1978,18,0
North Dakota,ND,30,18,12,38,1,1971,18,0
North Dakota,ND,30,18,12,38,1,1973,18,0
North Dakota,ND,30,18,12,38,1,1980,18,0
North Dakota,ND,30,18,12,38,1,1990,30,1
North Dakota,ND,30,18,12,38,1,1972,18,0
Nebraska,NE,21,18,3,31,0,1986,21,0
Nebraska,NE,21,18,3,31,0,1976,18,0
Nebraska,NE,21,18,3,31,0,1980,18,0
Nebraska,NE,21,18,3,31,0,1974,18,0
Nebraska,NE,21,18,3,31,0,1988,21,0
Nebraska,NE,21,18,3,31,0,1975,18,0
Nebraska,NE,21,18,3,31,0,1982,21,0
Nebraska,NE,21,18,3,31,0,1972,18,0
Nebraska,NE,21,18,3,31,0,1978,18,0
Nebraska,NE,21,18,3,31,0,1985,21,0
Nebraska,NE,21,18,3,31,0,1983,21,0
Nebraska,NE,21,18,3,31,0,1979,18,0
Nebraska,NE,21,18,3,31,0,1984,21,0
Nebraska,NE,21,18,3,31,0,1977,18,0
Nebraska,NE,21,18,3,31,0,1971,18,0
Nebraska,NE,21,18,3,31,0,1987,21,0
Nebraska,NE,21,18,3,31,0,1989,21,0
Nebraska,NE,21,18,3,31,0,1973,18,0
Nebraska,NE,21,18,3,31,0,1990,21,0
New Hampshire,NH,30,29,1,33,0,1984,30,1
New Hampshire,NH,30,29,1,33,0,1981,30,1
New Hampshire,NH,30,29,1,33,0,1983,30,1
New Hampshire,NH,30,29,1,33,0,1975,29,1
New Hampshire,NH,30,29,1,33,0,1976,29,1
New Hampshire,NH,30,29,1,33,0,1974,29,1
New Hampshire,NH,30,29,1,33,0,1985,30,1
New Hampshire,NH,30,29,1,33,0,1987,30,1
New Hampshire,NH,30,29,1,33,0,1979,29,1
New Hampshire,NH,30,29,1,33,0,1989,30,1
New Hampshire,NH,30,29,1,33,0,1980,29,1
New Hampshire,NH,30,29,1,33,0,1990,30,1
New Hampshire,NH,30,29,1,33,0,1986,30,1
New Hampshire,NH,30,29,1,33,0,1977,29,1
New Hampshire,NH,30,29,1,33,0,1982,30,1
New Hampshire,NH,30,29,1,33,0,1972,29,1
New Hampshire,NH,30,29,1,33,0,1988,30,1
New Hampshire,NH,30,29,1,33,0,1973,29,1
New Hampshire,NH,30,29,1,33,0,1978,29,1
New Jersey,NJ,30,15,15,34,1,1990,30,1
New Jersey,NJ,30,15,15,34,1,1973,12,0
New Jersey,NJ,30,15,15,34,1,1976,15,0
New Jersey,NJ,30,15,15,34,1,1975,12,0
New Jersey,NJ,30,15,15,34,1,1986,30,1
New Jersey,NJ,30,15,15,34,1,1979,15,0
New Jersey,NJ,30,15,15,34,1,1972,12,0
New Jersey,NJ,30,15,15,34,1,1985,30,1
New Jersey,NJ,30,15,15,34,1,1980,15,0
New Jersey,NJ,30,15,15,34,1,1978,15,0
New Jersey,NJ,30,15,15,34,1,1989,30,1
New Jersey,NJ,30,15,15,34,1,1982,30,1
New Jersey,NJ,30,15,15,34,1,1977,15,0
New Jersey,NJ,30,15,15,34,1,1974,12,0
New Jersey,NJ,30,15,15,34,1,1988,30,1
New Jersey,NJ,30,15,15,34,1,1971,12,0
New Jersey,NJ,30,15,15,34,1,1983,30,1
New Jersey,NJ,30,15,15,34,1,1981,15,0
New Jersey,NJ,30,15,15,34,1,1984,30,1
New Mexico,NM,30,18,12,35,1,1977,18,0
New Mexico,NM,30,18,12,35,1,1971,12,0
New Mexico,NM,30,18,12,35,1,1983,30,1
New Mexico,NM,30,18,12,35,1,1986,30,1
New Mexico,NM,30,18,12,35,1,1989,30,1
New Mexico,NM,30,18,12,35,1,1988,30,1
New Mexico,NM,30,18,12,35,1,1976,18,0
New Mexico,NM,30,18,12,35,1,1985,30,1
New Mexico,NM,30,18,12,35,1,1990,30,1
New Mexico,NM,30,18,12,35,1,1982,30,1
New Mexico,NM,30,18,12,35,1,1979,18,0
New Mexico,NM,30,18,12,35,1,1987,30,1
New Mexico,NM,30,18,12,35,1,1984,30,1
New Mexico,NM,30,18,12,35,1,1978,18,0
New Mexico,NM,30,18,12,35,1,1980,18,0
New Mexico,NM,30,18,12,35,1,1975,18,0
Nevada,NV,30,21.6,8.3999996,32,1,1976,21.6,0
Nevada,NV,30,21.6,8.3999996,32,1,1988,30,1
Nevada,NV,30,21.6,8.3999996,32,1,1989,30,1
Nevada,NV,30,21.6,8.3999996,32,1,1984,30,1
Nevada,NV,30,21.6,8.3999996,32,1,1974,21.6,0
Nevada,NV,30,21.6,8.3999996,32,1,1977,21.6,0
Nevada,NV,30,21.6,8.3999996,32,1,1985,30,1
Nevada,NV,30,21.6,8.3999996,32,1,1986,30,1
Nevada,NV,30,21.6,8.3999996,32,1,1972,21.6,0
Nevada,NV,30,21.6,8.3999996,32,1,1971,21.6,0
Nevada,NV,30,21.6,8.3999996,32,1,1978,21.6,0
Nevada,NV,30,21.6,8.3999996,32,1,1981,21.6,0
Nevada,NV,30,21.6,8.3999996,32,1,1973,21.6,0
Nevada,NV,30,21.6,8.3999996,32,1,1983,30,1
Nevada,NV,30,21.6,8.3999996,32,1,1979,21.6,0
Nevada,NV,30,21.6,8.3999996,32,1,1987,30,1
Nevada,NV,30,21.6,8.3999996,32,1,1990,30,1
Nevada,NV,30,21.6,8.3999996,32,1,1982,30,1
Nevada,NV,30,21.6,8.3999996,32,1,1975,21.6,0
New York,NY,25,18,7,36,0,1976,18,0
New York,NY,25,18,7,36,0,1979,18,0
New York,NY,25,18,7,36,0,1985,25,0
New York,NY,25,18,7,36,0,1989,25,0
New York,NY,25,18,7,36,0,1987,25,0
New York,NY,25,18,7,36,0,1980,18,0
New York,NY,25,18,7,36,0,1986,25,0
New York,NY,25,18,7,36,0,1984,25,0
New York,NY,25,18,7,36,0,1972,18,0
New York,NY,25,18,7,36,0,1983,25,0
New York,NY,25,18,7,36,0,1990,25,0
New York,NY,25,18,7,36,0,1981,25,0
New York,NY,25,18,7,36,0,1982,25,0
New York,NY,25,18,7,36,0,1988,25,0
New York,NY,25,18,7,36,0,1977,18,0
New York,NY,25,18,7,36,0,1971,18,0
New York,NY,25,18,7,36,0,1974,18,0
New York,NY,25,18,7,36,0,1975,18,0
New York,NY,25,18,7,36,0,1973,18,0
Ohio,OH,25,24,1,39,1,1973,24,0
Ohio,OH,25,24,1,39,1,1972,24,0
Ohio,OH,25,24,1,39,1,1981,24,0
Ohio,OH,25,24,1,39,1,1988,25,0
Ohio,OH,25,24,1,39,1,1986,25,0
Ohio,OH,25,24,1,39,1,1976,24,0
Ohio,OH,25,24,1,39,1,1975,24,0
Ohio,OH,25,24,1,39,1,1985,25,0
Ohio,OH,25,24,1,39,1,1977,24,0
Ohio,OH,25,24,1,39,1,1979,24,0
Ohio,OH,25,24,1,39,1,1984,25,0
Ohio,OH,25,24,1,39,1,1987,25,0
Ohio,OH,25,24,1,39,1,1982,24,0
Ohio,OH,25,24,1,39,1,1971,24,0
Ohio,OH,25,24,1,39,1,1989,25,0
Ohio,OH,25,24,1,39,1,1983,25,0
Ohio,OH,25,24,1,39,1,1978,24,0
Ohio,OH,25,24,1,39,1,1990,25,0
Ohio,OH,25,24,1,39,1,1974,24,0
Oklahoma,OK,21,18,3,40,0,1973,18,0
Oklahoma,OK,21,18,3,40,0,1983,21,0
Oklahoma,OK,21,18,3,40,0,1990,21,0
Oklahoma,OK,21,18,3,40,0,1988,21,0
Oklahoma,OK,21,18,3,40,0,1975,18,0
Oklahoma,OK,21,18,3,40,0,1987,21,0
Oklahoma,OK,21,18,3,40,0,1981,18,0
Oklahoma,OK,21,18,3,40,0,1985,21,0
Oklahoma,OK,21,18,3,40,0,1977,18,0
Oklahoma,OK,21,18,3,40,0,1972,18,0
Oklahoma,OK,21,18,3,40,0,1986,21,0
Oklahoma,OK,21,18,3,40,0,1971,18,0
Oklahoma,OK,21,18,3,40,0,1979,18,0
Oklahoma,OK,21,18,3,40,0,1984,21,0
Oklahoma,OK,21,18,3,40,0,1989,21,0
Oklahoma,OK,21,18,3,40,0,1974,18,0
Oklahoma,OK,21,18,3,40,0,1982,21,0
Oklahoma,OK,21,18,3,40,0,1978,18,0
Oklahoma,OK,21,18,3,40,0,1980,18,0
Oregon,OR,30,15,15,41,1,1978,15,0
Oregon,OR,30,15,15,41,1,1981,15,0
Oregon,OR,30,15,15,41,1,1989,30,1
Oregon,OR,30,15,15,41,1,1974,15,0
Oregon,OR,30,15,15,41,1,1990,30,1
Oregon,OR,30,15,15,41,1,1983,30,1
Oregon,OR,30,15,15,41,1,1985,30,1
Oregon,OR,30,15,15,41,1,1988,30,1
Oregon,OR,30,15,15,41,1,1987,30,1
Oregon,OR,30,15,15,41,1,1976,15,0
Oregon,OR,30,15,15,41,1,1984,30,1
Oregon,OR,30,15,15,41,1,1979,15,0
Oregon,OR,30,15,15,41,1,1982,30,1
Oregon,OR,30,15,15,41,1,1980,15,0
Oregon,OR,30,15,15,41,1,1977,15,0
Oregon,OR,30,15,15,41,1,1986,30,1
Pennsylvania,PA,18,15,3,42,0,1976,15,0
Pennsylvania,PA,18,15,3,42,0,1990,18,0
Pennsylvania,PA,18,15,3,42,0,1988,18,0
Pennsylvania,PA,18,15,3,42,0,1977,15,0
Pennsylvania,PA,18,15,3,42,0,1984,18,0
Pennsylvania,PA,18,15,3,42,0,1986,18,0
Pennsylvania,PA,18,15,3,42,0,1975,15,0
Pennsylvania,PA,18,15,3,42,0,1982,18,0
Pennsylvania,PA,18,15,3,42,0,1971,24,0
Pennsylvania,PA,18,15,3,42,0,1981,15,0
Pennsylvania,PA,18,15,3,42,0,1987,18,0
Pennsylvania,PA,18,15,3,42,0,1985,18,0
Pennsylvania,PA,18,15,3,42,0,1979,15,0
Pennsylvania,PA,18,15,3,42,0,1980,15,0
Pennsylvania,PA,18,15,3,42,0,1983,18,0
Pennsylvania,PA,18,15,3,42,0,1978,15,0
Rhode Island,RI,,18,,44,1,1979,18,0
Rhode Island,RI,,18,,44,1,1981,18,0
Rhode Island,RI,,18,,44,1,1985,21,0
Rhode Island,RI,,18,,44,1,1980,18,0
Rhode Island,RI,,18,,44,1,1973,18,0
Rhode Island,RI,,18,,44,1,1971,18,0
Rhode Island,RI,,18,,44,1,1972,18,0
Rhode Island,RI,,18,,44,1,1975,18,0
Rhode Island,RI,,18,,44,1,1982,18,0
Rhode Island,RI,,18,,44,1,1974,18,0
Rhode Island,RI,,18,,44,1,1977,18,0
Rhode Island,RI,,18,,44,1,1984,21,0
Rhode Island,RI,,18,,44,1,1978,18,0
Rhode Island,RI,,18,,44,1,1986,21,0
Rhode Island,RI,,18,,44,1,1983,21,0
Rhode Island,RI,,18,,44,1,1976,18,0
South Carolina,SC,,18,,45,0,1986,18,0
South Carolina,SC,,18,,45,0,1980,18,0
South Carolina,SC,,18,,45,0,1985,18,0
South Carolina,SC,,18,,45,0,1978,18,0
South Carolina,SC,,18,,45,0,1983,18,0
South Carolina,SC,,18,,45,0,1981,18,0
South Carolina,SC,,18,,45,0,1972,18,0
South Carolina,SC,,18,,45,0,1975,18,0
South Carolina,SC,,18,,45,0,1973,18,0
South Carolina,SC,,18,,45,0,1982,18,0
South Carolina,SC,,18,,45,0,1984,18,0
South Carolina,SC,,18,,45,0,1974,18,0
South Carolina,SC,,18,,45,0,1979,18,0
South Carolina,SC,,18,,45,0,1977,18,0
South Carolina,SC,,18,,45,0,1976,18,0
South Carolina,SC,,18,,45,0,1971,18,0
South Dakota,SD,30,12,18,46,1,1985,30,1
South Dakota,SD,30,12,18,46,1,1980,18,0
South Dakota,SD,30,12,18,46,1,1981,18,0
South Dakota,SD,30,12,18,46,1,1987,30,1
South Dakota,SD,30,12,18,46,1,1979,12,0
South Dakota,SD,30,12,18,46,1,1975,12,0
South Dakota,SD,30,12,18,46,1,1988,30,1
South Dakota,SD,30,12,18,46,1,1989,30,1
South Dakota,SD,30,12,18,46,1,1990,30,1
South Dakota,SD,30,12,18,46,1,1982,30,1
South Dakota,SD,30,12,18,46,1,1976,12,0
South Dakota,SD,30,12,18,46,1,1986,30,1
South Dakota,SD,30,12,18,46,1,1978,12,0
South Dakota,SD,30,12,18,46,1,1977,12,0
South Dakota,SD,30,12,18,46,1,1983,30,1
Tennessee,TN,21,18,3,47,0,1973,18,0
Tennessee,TN,21,18,3,47,0,1980,18,0
Tennessee,TN,21,18,3,47,0,1979,18,0
Tennessee,TN,21,18,3,47,0,1983,21,0
Tennessee,TN,21,18,3,47,0,1988,21,0
Tennessee,TN,21,18,3,47,0,1981,18,0
Tennessee,TN,21,18,3,47,0,1985,21,0
Tennessee,TN,21,18,3,47,0,1977,18,0
Tennessee,TN,21,18,3,47,0,1982,18,0
Tennessee,TN,21,18,3,47,0,1986,21,0
Tennessee,TN,21,18,3,47,0,1989,21,0
Tennessee,TN,21,18,3,47,0,1971,18,0
Tennessee,TN,21,18,3,47,0,1984,21,0
Tennessee,TN,21,18,3,47,0,1987,21,0
Tennessee,TN,21,18,3,47,0,1972,18,0
Tennessee,TN,21,18,3,47,0,1974,18,0
Tennessee,TN,21,18,3,47,0,1990,21,0
Tennessee,TN,21,18,3,47,0,1978,18,0
Tennessee,TN,21,18,3,47,0,1975,18,0
Texas,TX,18,18,0,48,0,1983,18,0
Texas,TX,18,18,0,48,0,1982,18,0
Texas,TX,18,18,0,48,0,1986,18,0
Texas,TX,18,18,0,48,0,1989,18,0
Texas,TX,18,18,0,48,0,1981,18,0
Texas,TX,18,18,0,48,0,1990,18,0
Texas,TX,18,18,0,48,0,1984,18,0
Texas,TX,18,18,0,48,0,1974,18,0
Texas,TX,18,18,0,48,0,1987,18,0
Texas,TX,18,18,0,48,0,1978,18,0
Texas,TX,18,18,0,48,0,1972,18,0
Texas,TX,18,18,0,48,0,1979,18,0
Texas,TX,18,18,0,48,0,1975,18,0
Texas,TX,18,18,0,48,0,1971,18,0
Texas,TX,18,18,0,48,0,1973,18,0
Texas,TX,18,18,0,48,0,1988,18,0
Texas,TX,18,18,0,48,0,1976,18,0
Texas,TX,18,18,0,48,0,1985,18,0
Texas,TX,18,18,0,48,0,1977,18,0
Utah,UT,30,18,12,49,1,1983,30,1
Utah,UT,30,18,12,49,1,1982,30,1
Utah,UT,30,18,12,49,1,1990,30,1
Utah,UT,30,18,12,49,1,1980,18,0
Utah,UT,30,18,12,49,1,1984,30,1
Utah,UT,30,18,12,49,1,1986,30,1
Utah,UT,30,18,12,49,1,1975,18,0
Utah,UT,30,18,12,49,1,1985,30,1
Utah,UT,30,18,12,49,1,1979,18,0
Utah,UT,30,18,12,49,1,1981,18,0
Utah,UT,30,18,12,49,1,1976,18,0
Utah,UT,30,18,12,49,1,1972,18,0
Utah,UT,30,18,12,49,1,1988,30,1
Utah,UT,30,18,12,49,1,1974,18,0
Utah,UT,30,18,12,49,1,1973,18,0
Utah,UT,30,18,12,49,1,1971,18,0
Utah,UT,30,18,12,49,1,1987,30,1
Utah,UT,30,18,12,49,1,1977,18,0
Utah,UT,30,18,12,49,1,1978,18,0
Virginia,VA,30,18,12,51,1,1971,12,0
Virginia,VA,30,18,12,51,1,1982,18,0
Virginia,VA,30,18,12,51,1,1978,18,0
Virginia,VA,30,18,12,51,1,1975,18,0
Virginia,VA,30,18,12,51,1,1987,30,1
Virginia,VA,30,18,12,51,1,1976,18,0
Virginia,VA,30,18,12,51,1,1983,30,1
Virginia,VA,30,18,12,51,1,1977,18,0
Virginia,VA,30,18,12,51,1,1979,18,0
Virginia,VA,30,18,12,51,1,1981,18,0
Virginia,VA,30,18,12,51,1,1986,30,1
Virginia,VA,30,18,12,51,1,1984,30,1
Virginia,VA,30,18,12,51,1,1988,30,1
Virginia,VA,30,18,12,51,1,1989,30,1
Virginia,VA,30,18,12,51,1,1980,18,0
Virginia,VA,30,18,12,51,1,1990,30,1
Vermont,VT,18,18,0,50,0,1971,18,0
Vermont,VT,18,18,0,50,0,1987,18,0
Vermont,VT,18,18,0,50,0,1988,18,0
Vermont,VT,18,18,0,50,0,1985,18,0
Vermont,VT,18,18,0,50,0,1984,18,0
Vermont,VT,18,18,0,50,0,1976,18,0
Vermont,VT,18,18,0,50,0,1973,18,0
Vermont,VT,18,18,0,50,0,1990,18,0
Vermont,VT,18,18,0,50,0,1986,18,0
Vermont,VT,18,18,0,50,0,1982,18,0
Vermont,VT,18,18,0,50,0,1980,18,0
Vermont,VT,18,18,0,50,0,1983,18,0
Vermont,VT,18,18,0,50,0,1974,18,0
Vermont,VT,18,18,0,50,0,1977,18,0
Vermont,VT,18,18,0,50,0,1989,18,0
Vermont,VT,18,18,0,50,0,1978,18,0
Vermont,VT,18,18,0,50,0,1979,18,0
Vermont,VT,18,18,0,50,0,1981,18,0
Vermont,VT,18,18,0,50,0,1975,18,0
Washington,WA,18,12,6,53,0,1988,18,0
Washington,WA,18,12,6,53,0,1987,18,0
Washington,WA,18,12,6,53,0,1989,18,0
Washington,WA,18,12,6,53,0,1975,12,0
Washington,WA,18,12,6,53,0,1981,12,0
Washington,WA,18,12,6,53,0,1976,12,0
Washington,WA,18,12,6,53,0,1982,18,0
Washington,WA,18,12,6,53,0,1974,12,0
Washington,WA,18,12,6,53,0,1978,12,0
Washington,WA,18,12,6,53,0,1986,18,0
Washington,WA,18,12,6,53,0,1972,12,0
Washington,WA,18,12,6,53,0,1983,18,0
Washington,WA,18,12,6,53,0,1985,18,0
Washington,WA,18,12,6,53,0,1979,12,0
Washington,WA,18,12,6,53,0,1973,12,0
Washington,WA,18,12,6,53,0,1984,18,0
Washington,WA,18,12,6,53,0,1977,12,0
Washington,WA,18,12,6,53,0,1980,12,0
Washington,WA,18,12,6,53,0,1971,12,0
Wisconsin,WI,30,18,12,55,1,1988,30,1
Wisconsin,WI,30,18,12,55,1,1975,18,0
Wisconsin,WI,30,18,12,55,1,1989,30,1
Wisconsin,WI,30,18,12,55,1,1987,30,1
Wisconsin,WI,30,18,12,55,1,1978,18,0
Wisconsin,WI,30,18,12,55,1,1984,30,1
Wisconsin,WI,30,18,12,55,1,1990,30,1
Wisconsin,WI,30,18,12,55,1,1981,18,0
Wisconsin,WI,30,18,12,55,1,1983,30,1
Wisconsin,WI,30,18,12,55,1,1986,30,1
Wisconsin,WI,30,18,12,55,1,1982,30,1
Wisconsin,WI,30,18,12,55,1,1974,18,0
Wisconsin,WI,30,18,12,55,1,1980,18,0
Wisconsin,WI,30,18,12,55,1,1977,18,0
Wisconsin,WI,30,18,12,55,1,1985,30,1
Wisconsin,WI,30,18,12,55,1,1976,18,0
West Virginia,WV,18,18,0,54,0,1985,18,0
West Virginia,WV,18,18,0,54,0,1975,18,0
West Virginia,WV,18,18,0,54,0,1976,18,0
West Virginia,WV,18,18,0,54,0,1988,18,0
West Virginia,WV,18,18,0,54,0,1979,18,0
West Virginia,WV,18,18,0,54,0,1980,18,0
West Virginia,WV,18,18,0,54,0,1986,18,0
West Virginia,WV,18,18,0,54,0,1977,18,0
West Virginia,WV,18,18,0,54,0,1990,18,0
West Virginia,WV,18,18,0,54,0,1981,18,0
West Virginia,WV,18,18,0,54,0,1987,18,0
West Virginia,WV,18,18,0,54,0,1983,18,0
West Virginia,WV,18,18,0,54,0,1982,18,0
West Virginia,WV,18,18,0,54,0,1984,18,0
West Virginia,WV,18,18,0,54,0,1978,18,0
Wyoming,WY,21,18,3,56,0,1975,18,0
Wyoming,WY,21,18,3,56,0,1973,18,0
Wyoming,WY,21,18,3,56,0,1979,18,0
Wyoming,WY,21,18,3,56,0,1972,18,0
Wyoming,WY,21,18,3,56,0,1984,21,0
Wyoming,WY,21,18,3,56,0,1974,18,0
Wyoming,WY,21,18,3,56,0,1981,18,0
Wyoming,WY,21,18,3,56,0,1980,18,0
Wyoming,WY,21,18,3,56,0,1990,21,0
Wyoming,WY,21,18,3,56,0,1978,18,0
Wyoming,WY,21,18,3,56,0,1987,21,0
Wyoming,WY,21,18,3,56,0,1982,21,0
Wyoming,WY,21,18,3,56,0,1976,18,0
Wyoming,WY,21,18,3,56,0,1983,21,0
Wyoming,WY,21,18,3,56,0,1977,18,0
Wyoming,WY,21,18,3,56,0,1985,21,0
Wyoming,WY,21,18,3,56,0,1988,21,0
Wyoming,WY,21,18,3,56,0,1986,21,0
