year,state,RSSDID,losses,ci.loans,ci.losses,cards,card.losses,loans,card.loss.rate,banks,card.issuers,state_name,fipstate,r_90,r_77,r_change,ever_nolimit,r_usury,nolimit,e1_4,e5_9,e10_19,e20_49,e50_99,e100_249,e250_499,e500_999,e1000,emp,emp.small,emp.mid,emp.lg,emp.small.frac,emp.mid.frac,emp.lg.frac,tax,corp.lic.tax,lic.tax,corp.inc.tax,interest,sa,loc.tax,loc.corp.lic.tax,loc.lic.tax,loc.corp.inc.tax,loc.interest,loc.sa
1977,LA,135431658,31757,2734972.5,0,129783.75,0,8398727.75,0,255,35,Louisiana,22,18,18,0,0,18,0,304475,392317,472818,748416,521720,576006,318362,227449,200084,3761647,1169610,1846142,745895,0.310930291970512,0.490780235359671,0.198289472669817,1718665,47460,122636,95248,53241,0,2497148,47460,124109,95248,101041,14344
1977,MA,183902057,69285,4570204.75,0,461333,0,21825047.6666667,0,314,117,Massachusetts,25,18,18,0,0,18,0,484553,622340,771115,1211836,975191,1124662,629689,546573,1069536,7435495,1878008,3311689,2245798,0.25257336599648,0.445389177183227,0.302037456820292,2934261,4196,88919,397237,80027,1611,5789480,4196,88919,397237,114120,7741
1977,MD,60436018,19577.25,1601642.08333333,0,360960.833333333,0,7912029.91666667,0,115,38,Maryland,24,24,18,6,0,18,0,273860,426010,528677,802046,508655,557144,274516,221147,426923,4018978,1228547,1867845,922586,0.305686420776625,0.464756214142003,0.229557365081371,2127712,2311,99235,115297,54256,0,3670693,2311,99235,115297,106222,39796
1977,ME,26969556,5569,496870,0,51234.75,0,2415240.5,0,74,37,Maine,23,18,18,0,0,18,0,98845,110436,124896,171577,107628,132339,108748,60696,43870,959035,334177,411544,213314,0.348451307825053,0.429123024707128,0.222425667467819,468462,648,39049,35200,19651,0,716522,648,39212,35200,24305,562
1977,MI,189708721,39246.5,5503396.16666667,0,699232.75,0,22474899,0,363,184,Michigan,26,20.4,20.4,0,0,20.4,0,655826,893914,1162978,1527265,1080491,1254492,728369,590401,2637526,10531262,2712718,3862248,3956296,0.257587172363578,0.366741231962513,0.375671595673909,4843716,5638,246022,789379,95470,0,7981627,5638,246153,789379,238550,38668
1977,MN,387631094,24014.25,3417549.75,0,131623.333333333,0,11991040.6666667,0,755,284,Minnesota,27,18,12,6,0,12,0,332409,459718,572537,771792,619195,679083,324228,263074,469439,4491475,1364664,2070070,1056741,0.303834263799754,0.460888683561636,0.23527705263861,2485565,1296,150063,258095,91716,0,3607864,1296,151850,258095,196049,86663
1977,MO,437980053,27216.5,3402400.75,0,302537.5,0,12121628.5,0,719,163,Missouri,29,18,18,0,0,18,0,441590,527959,677696,963562,650020,774650,536767,328980,623786,5525010,1647245,2388232,1489533,0.298143351776739,0.432258403152211,0.26959824507105,1598094,21042,149108,105772,41923,0,2929264,21042,157204,105772,97092,14385
1977,MS,97970711,12597,1004899.75,0,47272,0,4237400.58333333,0,188,6,Mississippi,28,21,18,3,0,18,0,187770,213885,249956,321930,222576,273281,195569,137334,108416,1910717,651611,817787,441319,0.341029571621543,0.428000064897104,0.230970363481353,969251,15714,57480,45873,23260,0,1264136,15714,58799,45873,33390,1138
1977,MT,99772789,3108,563834.5,0,11287.5,0,2341262.25,0,160,60,Montana,30,30,18,12,1,18,0,80404,97671,128864,119493,62486,55057,13618,4777,8180,570550,306939,237036,26575,0.537970379458417,0.415451757076505,0.0465778634650776,312399,288,26344,24957,22245,0,582097,288,34623,24957,34181,8812
1977,NC,41407254,21085,3042742.75,0,307714.25,0,9267511,0,92,68,North Carolina,37,18,18,0,0,18,0,461886,560251,729361,1018062,691154,1025084,830572,575567,731612,6623549,1751498,2734300,2137751,0.264434972852167,0.412814942563269,0.322750084584563,2384780,37819,194540,204291,65522,1469,3275218,37819,195426,204291,113517,8754
1977,ND,139376277,1864,525877.75,0,5017.75,0,2160292.25,0,174,25,North Dakota,38,30,18,12,1,18,0,63075,78460,92697,120093,64123,47611,8373,0,0,474432,234232,231827,8373,0.493710373667881,0.488641154053689,0.0176484722784298,296330,296,32875,21800,22290,0,445182,296,32875,21800,34216,14089
1977,NE,206958801,10075.75,1067850.25,0,158952,0,4878457.25,0,458,61,Nebraska,31,21,18,3,0,18,0,162034,202818,239897,308486,198876,184458,97448,85563,50903,1530483,604749,691820,233914,0.395136045287664,0.452027235846462,0.152836718865874,612918,2066,49970,41946,13621,0,1220963,2066,53577,41946,62664,19654
