gvkey,sic,home_state,treatment_discrete,treatment_z,ismatched,state,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcdq,datacqtr,datafqtr,atq,ltq,ncoq,recdq,rectq,rectrq,revtq,wcapq,xintq,cik,costat,county,rec_to_assets,rec_to_rev,year,sic2,net_income,nim,wcapr
1118,5912,RI,0,-0.095440269303785,1,RI,19750331,1975,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1975Q1,1975Q1,50.311,33.034,,,2.054,,31.117,27.955,0.556,,I,Providence,0.040826061895013,0.0660089340232027,1975,59,0.50475,0.0162210367323328,0.898383520262236
1118,5912,RI,0,-0.095440269303785,1,RI,19760331,1976,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1976Q1,1976Q1,48.777,29.857,,,1.359,,31.877,27.055,0.443,,I,Providence,0.0278614920966849,0.0426326191297801,1976,59,0.597,0.0187282366596606,0.848731060011921
1118,5912,RI,0,-0.095440269303785,1,RI,19770331,1977,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1977Q1,1977Q1,51.76,30.609,,,1.762,,32.526,28.862,0.493,,I,Providence,0.0340417310664606,0.0541720469778024,1977,59,0.78775,0.024219086269446,0.88735165713583
1118,5912,RI,0,-0.095440269303785,1,RI,19780331,1978,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1978Q1,1978Q1,51.174,26.85,,,1.381,,34.786,31.295,0.413,,I,Providence,0.0269863602610701,0.039699879261772,1978,59,0.7235,0.0207985971367792,0.899643534755361
1118,5912,RI,0,-0.095440269303785,1,RI,19790331,1979,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1979Q1,1979Q1,52.355,25.341,,,1.619,,38.048,32.534,0.367,,I,Providence,0.0309235030083087,0.0425515138772077,1979,59,0.61975,0.0162886354079058,0.85507779646762
1118,5912,RI,0,-0.095440269303785,1,RI,19800331,1980,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1980Q1,1980Q1,61.522,32.293,,,3.089,,49.95,35.336,0.506,,I,Providence,0.0502096810896915,0.0618418418418418,1980,59,0.78175,0.0156506506506507,0.707427427427427
1118,5912,RI,0,-0.095440269303785,1,RI,19810331,1981,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1981Q1,1981Q1,64.494,32.258,,,4.722,,49.9,37.238,0.447,,I,Providence,0.0732161131268025,0.0946292585170341,1981,59,0.85925,0.0172194388777555,0.74625250501002
1118,5912,RI,0,-0.095440269303785,1,RI,19820331,1982,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1982Q1,1982Q1,85.812,50.236,,,7.694,,65.221,48.628,0.969,,I,Providence,0.0896611196569245,0.117968139096303,1982,59,1.13875,0.0174598672206805,0.745588077459714
1118,5912,RI,0,-0.095440269303785,1,RI,19830331,1983,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1983Q1,1983Q1,99.764,59.517,,,6.312,,70.652,52.158,1.125,,I,Providence,0.0632693155847801,0.0893392968351922,1983,59,1.77925,0.0251832927588745,0.738238124893846
1118,5912,RI,0,-0.095440269303785,1,RI,19840331,1984,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1984Q1,1984Q1,102.939,55.671,,,7.337,,74.764,57.621,1.114,,I,Providence,0.071275221247535,0.0981354662671874,1984,59,0.9255,0.0123789524370018,0.770705152212295
1240,5411,ID,0,-0.095440269303785,1,ID,19750430,1975,1,INDL,C,D,STD,ABS.1,013104104,ALBERTSON'S INC,USD,1975Q1,1975Q1,175.869,112.532,,,10.046,,288.271,20.668,0.743,3333,I,"",0.0571220624442056,0.0348491523601056,1975,54,3.948,0.0136954462987952,0.0716964245449594
