gvkey,sls_state,sls_pct
1118,ma,0.011748772
1118,ny,0.006365329
1118,ri,0.98188585
1240,id,1
1322,ma,1
1594,ct,0.72510129
1594,de,0.010663254
1594,ma,0.1172958
1594,md,0.039027512
1594,me,0.0085306037
1594,nj,0.0085306037
1594,ny,0.026871402
1594,oh,0.051183622
1594,pa,0.012795906
1803,ny,1
2064,ny,1
2090,az,1
2151,il,0.60044396
2151,nj,0.38845727
2151,ny,0.011098779
2198,ma,0.63087249
2198,ri,0.36912751
2208,nc,1
2611,ct,0.92056078
2611,nj,0.046728972
2611,ny,0.03271028
2791,ny,1
3004,ma,1
3030,tx,1
3051,az,1
3164,ny,0.053208139
3164,oh,0.94679189
3495,mi,0.040669855
3495,oh,0.95933014
3615,mi,1
3646,mn,1
3654,co,0.014218009
3654,mi,0.78199053
3654,oh,0.20379147
3708,oh,1
3869,va,1
3964,ar,1
4084,va,1
4470,fl,1
4523,oh,1
4550,al,0.01713796
4550,az,0.042844899
4550,co,0.0042844899
4550,fl,0.03341902
4550,tx,0.90231359
4592,ny,1
4594,ca,1
4750,nc,0.025536261
4750,ny,0.97446376
4759,fl,1
4887,mi,1
4909,ct,0.50927752
4909,fl,0.044413738
4909,ia,0.0011843664
4909,ks,0.0098697199
4909,mn,0.40860641
4909,mo,0.0246743
4909,ny,0.001973944
4911,fl,0.0110011
4911,oh,0.90099013
4911,tx,0.088008799
4990,ca,1
5009,nj,1
5109,tn,1
5121,ny,1
5151,md,1
5194,pa,1
5221,mi,0.27432334
5221,ny,0.073152892
5221,oh,0.054864667
5221,pa,0.051207021
5221,wv,0.54645211
5259,ca,1
5260,ut,1
5285,mi,0.014779236
5285,oh,0.98522085
5301,nj,0.99997252
5301,pa,2.7471771e-05
5413,hi,1
5465,me,0.99805331
5465,nh,0.0019466615
5602,pa,1
5722,ca,0.87396353
5722,la,0.0099502485
5722,tx,0.11608624
5729,ca,1
5732,ca,0.093457945
5732,il,0.87149531
5732,oh,0.03504673
6229,nj,1
6260,il,0.9997583
6260,ma,0.00012856974
6260,mt,0.00011314137
6303,ma,0.99357599
6303,ny,0.0064239828
6400,ny,1
6553,ny,1
6583,il,0.0047818292
6583,ny,0.99521816
6753,ca,0.054602183
6753,ne,0.14040561
6753,ny,0.53354132
6753,pa,0.27145085
6780,ny,1
6802,ca,1
6829,in,1
6915,ga,0.0066666668
6915,nc,0.99333334
6928,nj,5.9021553e-05
6928,ny,0.99994099
7068,il,1
7105,ny,1
7195,ks,1
7254,al,0.012327923
7254,de,0.81056094
7254,ga,0.0041093077
7254,in,0.010941031
7254,ky,0.053420998
7254,mo,0.051366344
7254,mt,0.00744812
7254,nd,0.0051366347
7254,oh,0.035956442
7254,pa,0.0071912883
7254,sc,0.0015409903
7407,nj,1
7566,tn,1
7570,ma,0.99103498
7570,me,0.0089649549
7616,ga,1
7618,pa,1
7720,tx,1
7780,il,0.91157204
7780,me,0.030567685
7780,va,0.054585151
7780,wa,0.0032751092
7853,pa,1
7891,ny,1
7922,wa,1
8306,il,0.021418413
8306,ks,0.0027415568
8306,mn,0.015421257
8306,mo,0.011840099
8306,nd,0.011994312
8306,ne,0.93658441
8343,md,0.99655712
8343,pa,0.0034428795
8398,wa,1
8400,or,0.13899943
8400,wa,0.8610006
8439,pa,1
8475,ca,0.38990825
8475,pa,0.61009175
8496,mi,1
8504,ca,0.00020341224
8504,fl,0.0008899286
8504,il,0.0014238857
8504,la,0.0012713266
8504,mi,0.0050853062
8504,nj,0.99112618
8569,al,0.0048439554
8569,ga,0.0013839873
8569,nc,0.98955089
8569,sc,0.0024219777
8569,tn,0.00041519618
8569,va,0.0013839873
8580,al,0.0017950743
8580,ar,0.0020942534
8580,ca,0.019596228
8580,co,0.0041885069
8580,ct,0.0065819393
8580,fl,0.0089753717
8580,ga,0.0044876859
8580,il,0.011667983
8580,in,0.0035303128
8580,ks,0.0059835808
8580,la,0.021241713
8580,md,0.0077786553
8580,mi,0.016903616
8580,mn,0.016155669
8580,mo,0.0038893276
8580,nj,0.0013463057
8580,ny,0.0017950743
8580,oh,0.035901487
8580,ok,0.0014958952
8580,pa,0.0020942534
8580,ri,0.0014958952
8580,sc,0.0011967162
8580,tn,0.00059835811
8580,tx,0.80708933
8580,ut,0.0025430219
8580,wa,0.00059835811
8580,wi,0.0089753717
8622,tx,1
8650,il,0.0081669688
8650,ma,0.51814884
8650,ny,0.40108892
8650,oh,0.072595283
8814,ny,1
8926,ga,0.0020984891
8926,mi,0.02105484
8926,nc,0.91039449
8926,pa,0.066452153
