gvkey,state,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,companyname,curcdq,datacqtr,datafqtr,atq,ltq,ncoq,recdq,rectq,rectrq,revtq,wcapq,xintq,cik,costat,county,sic,rec_to_assets,rec_to_rev,ultdunsno,dunsno,companyname_db,ultsls,state_db,sic_db,stateslspctak,stateslspctal,stateslspctar,stateslspctaz,stateslspctca,stateslspctco,stateslspctct,stateslspctdc,stateslspctde,stateslspctfl,stateslspctga,stateslspcthi,stateslspctia,stateslspctid,stateslspctil,stateslspctin,stateslspctks,stateslspctky,stateslspctla,stateslspctma,stateslspctmd,stateslspctme,stateslspctmi,stateslspctmn,stateslspctmo,stateslspctms,stateslspctmt,stateslspctnc,stateslspctnd,stateslspctne,stateslspctnh,stateslspctnj,stateslspctnm,stateslspctnv,stateslspctny,stateslspctoh,stateslspctok,stateslspctor,stateslspctpa,stateslspctri,stateslspctsc,stateslspctsd,stateslspcttn,stateslspcttx,stateslspctut,stateslspctva,stateslspctvt,stateslspctwa,stateslspctwi,stateslspctwv,stateslspctwy,_merge
1572,UT,19780630,1978,1,INDL,C,D,STD,ASE.2,030095103,AMERICAN STORES CO  -OLD,USD,1978Q2,1978Q1,663.16699,386.862,,,21.945,,1008.72,169.35899,,,I,Salt Lake,5411,.033091214,.021755293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
1573,UT,19780331,1978,1,INDL,C,D,STD,ASC.1,030096101,AMERICAN STORES CO,USD,1978Q1,1978Q1,265.98599,145.089,,,2.842,,230.95799,73.674004,1.442,90811,I,,5411,.010684773,.012305268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
1594,CT,19780430,1978,1,INDL,C,D,STD,AMESQ,030789507,AMES DEPT STORES INC,USD,1978Q1,1978Q1,83.619003,54.348,,,5.7950001,,37.867001,31.646,.71799999,6071,I,,5331,.069302432,.15303563,005866041,5866041,AMES DEPARTMENT STORES INC,234450000,CT,5311,,,,,,,.72510129,,.010663254,,,,,,,,,,,.1172958,.039027512,.0085306037,,,,,,,,,0,.0085306037,,,.026871402,.051183622,,,.012795906,,,,,,,,0,,,,,Matched (3)
1599,CA,19780331,1978,1,INDL,C,D,STD,AMA.1,031141104,AMFAC INC,USD,1978Q1,1978Q1,924.40002,593.25897,,,191.13699,,315.46301,262.082,7.7189999,6097,I,,5122,.20676872,.60589355,78774874,78774874,AMFAC MERCHANDISING CORP,0,CA,5311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matched (3)
1665,IL,19771031,1978,1,INDL,C,D,STD,ANX.1,035285105,ANIXTER BROS INC,USD,1977Q3,1978Q1,95.323997,57.000999,,,27.079,,47.653999,47.502998,.50099999,,I,,5063,.28407326,.56824189,047583851,59444513,ANIXTER BROS INC,211250000,IL,3613,0,,,0,.0094674556,0,,,,0,0,,,,.97159761,0,,0,.018934911,,,,,,0,,,0,,,,0,,,0,0,0,,0,,,,,0,0,,,0,0,,0,Matched (3)
1773,CO,19780331,1978,1,INDL,C,D,STD,ARW,042735100,ARROW ELECTRONICS INC,USD,1978Q1,1978Q1,62.819,40.157001,,,20.141001,,33.842999,30.285,.491,7536,A,,5065,.32061955,.59513044,049159957,18775528,ARROW ELECTRONICS INC,145000000,CT,5065,,,,,0,,.82758623,,,0,0,,,,0,,,,.12413793,0,0,,,0,0,,,0,,,0,.048275862,,,0,0,,,,,,,,0,,,0,,0,,,Matched (3)
1803,NY,19780430,1978,1,INDL,C,D,STD,DG.2,045573102,ASSOCIATED DRY GOODS CORP,USD,1978Q1,1978Q1,844.31403,372.995,,,136.78101,,328.64001,194.811,4.0139999,7822,I,New York,5311,.16200252,.41620314,006980361,1836949,ASSOCIATED DRY GOODS CORP,1460000000,NY,5311,,,,0,0,0,0,0,,0,0,,,,0,0,0,0,,0,0,,0,0,0,,0,,,,,0,0,,1,0,,,0,,,,,0,,0,,,,0,,Matched (3)
1819,OH,19780630,1978,1,INDL,C,D,STD,NWXJ,65056Q108,ASTREX INC,USD,1978Q2,1978Q1,19.813999,12.943,,,2.971,,8.7159996,8.9659996,.15899999,8038,I,,5065,.14994448,.34086737,001943588,1943588,ASTREX INC,48270000,NY,5065,,,,,,,0,,0,.28796354,,,,,,,,,,.041433603,0,,,,,,,,,,,0,,,.64636421,,,,0,,,,,,,,,,.024238657,,,Matched (3)
1825,NJ,19780331,1978,1,INDL,C,D,STD,ALT.2,046495107,ATALANTA CORP,USD,1978Q1,1978Q1,48.403999,35.299999,,,23.118,,33.304001,8.316,.34099999,8080,I,,5140,.47760516,.69415087,006980445,6980445,ATALANTA CORPORATION,204000000,NY,5142,,,,.004901961,0,,,,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,.99509805,,,,,,,,,,,,,,,,,Matched (3)
1919,AZ,19770930,1978,1,INDL,C,D,STD,AVT,053807103,AVNET INC,USD,1977Q3,1978Q1,377.83899,137.625,,,131.194,,186.32401,211.505,.903,8858,A,,5065,.34722197,.70411754,006995419,77501500,AVNET INC,872249984,NY,3679,,0,,0,0,.0060189166,0,,,0,0,,,,0,,0,0,,0,0,0,0,0,0,,,0,,,0,0,0,,.99398112,0,,,0,0,0,,0,0,0,,,,0,0,,Matched (3)
