avenue,moment1,se_m1,moment2,se_m2,sigma,se_sigma,t_sigma,cost,se_cost,t_cost
V0_baseline,0.0115861840883837,0.0220129805360615,-0.0297769582938292,0.00958627616714021,0.0367278509195648,0.0271573310908624,1.35241017597354,-0.0308988119426311,0.0283583058635074,-1.08958596085928
V1_sicXyear_FE,0.00963892440732109,0.0216563016449686,-0.0140284086314284,0.00933958902150877,0.0150952865297106,0.0240820495272089,0.626827318524337,-0.0208074006247762,0.0294701408721984,-0.706050259990631
V2_cluster_state_sic,0.0115861840883837,0.0207537598797064,-0.0297769582938292,0.0178307223324282,0.0367278509195648,0.0360536661432304,1.01869947909475,-0.0308988119426311,0.0263157425379081,-1.17415694799875
V3_cluster_state_year,0.0115861840883837,0.0210368280164604,-0.0297769582938292,0.0120345043320973,0.0367278509195648,0.0278405908771422,1.31921951950091,-0.0308988119426311,0.0275520364304221,-1.12147107603682
V4_trim_1_99,0.0133148791516676,0.0213894573071028,-0.0270661817884805,0.00903612294523536,0.0312767294041215,0.0260949485155817,1.19857409894661,-0.0319356490814759,0.0272068429566911,-1.17380943949698
V5_weight_sales,0.0220690712630382,0.030963888007447,0.0130532271185752,0.0243231725300743,-0.0365341128385644,0.0472527861354934,-0.773163147116997,-0.0244269832349555,0.0410317221806325,-0.595319473246124
V6_continuous_gap,0.0204262514872348,0.017546188828613,-0.0216312969025137,0.010543412676411,0.0172543095175165,0.0248814252277107,0.693461462099051,-0.0387581774434406,0.0204268889090172,-1.89740971403292
V7_firm_controls,0.0442798849203014,0.0182629171452378,0.0328863558041332,0.0226002728152672,-0.0805998013621235,0.034786089240463,-2.31701243577476,-0.0441102918616529,0.0287214039585607,-1.53579859554551
V8_combo,0.0334428624842097,0.0142993136442661,0.0133089545306964,0.0162195404960749,-0.0441116578030236,0.0257458855783367,-1.71334785392429,-0.0394278076023562,0.0201695709417975,-1.95481637740988
