GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "95000","Southeast",5,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",10430777,10969115,11315203,12641225,17426449,18100857,18393671,20400679,20265624,24516152,26687028,27210969,29091855,28879940,28591979,30894746,28737373,28126023,30160245,32463898,35626739,35996457,35901432,37666832,39246495,40773521,42031332,46149410,47027949,45455118,43456844,44513879,45661014,41363436,46468631,53879234,54428322,51848268,59188548,60881138,57827267,62025864,64545164,72684301,78627810,80469062,70083959,64386224,69322839,69268165,67435485,65166508
 "95000","Southeast",5,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",5546416,5675079,5659952,6415727,8861829,7419407,8414207,9151671,9633376,11760927,12903382,12883896,13231438,13348248,13626029,14839301,14297485,15201744,15725106,16838328,18511608,19083812,18688104,18791178,20680108,21273965,21428082,23931885,25320150,24897176,25123649,25745192,27853300,23838971,26331382,32991699,33933036,31198044,34961271,35395462,31461149,34736040,35919038,38146930,43567115,47940753,41429942,36338512,40317449,41285688,39097670,34690665
 "95000","Southeast",5,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",2612493,2789066,2798378,3369815,4374656,3016446,3598838,4018873,4362743,5894267,6405697,6028583,5825592,6209124,6146506,6244779,6132047,6157490,7363239,7504585,7725220,8325397,8243263,7562439,8205363,7952289,7871456,8291837,9909744,8591810,8860297,10570457,10466754,9375306,10534266,12857805,13628078,13234125,13073263,12003774,10485046,11834987,12593635,13286279,14260088,16538928,12332664,10889333,12180724,12193944,12466108,12434756
 "95000","Southeast",5,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",1792175,1992018,2034284,2430349,3012274,1736032,2187708,2613487,2937115,4054050,4360722,3779178,3405597,3613673,3550751,3616770,3543023,3467408,4468721,4786874,4790304,5017470,5062343,4354731,4616486,4283277,3699877,3150287,4388676,4170376,4545115,5162046,5118086,4640929,5461716,6489434,7069411,6739113,6649131,6009750,5264438,5981111,6375392,7036806,6958235,9223533,6756421,5246306,6003386,6015063,5810929,5802207
 "95000","Southeast",5,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",752618,723952,682970,839649,1245177,1165006,1281195,1266737,1137669,1502249,1652042,1705712,1788078,1807502,1642198,1570893,1481278,1598167,1711055,1485293,1685263,2032583,1947849,1864470,2161985,2160062,2536678,3350670,3665636,2437010,2209098,3178765,3348501,2735327,2967634,4080388,4227539,3940696,4059685,4245514,3511311,4028544,4326260,4188478,4650361,4728380,2981248,3046398,3524840,3442215,3917894,3931901
 "95000","Southeast",5,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",67700,73096,81124,99817,117205,115408,129935,138649,287959,337968,392933,543693,631917,787949,953557,1057116,1107746,1091915,1183463,1232418,1249653,1275344,1233071,1343238,1426892,1508950,1634901,1790880,1855432,1984424,2106084,2229646,2000167,1999050,2104916,2287983,2331128,2554316,2364447,1748510,1709297,1825332,1891983,2060995,2651492,2587015,2594995,2596629,2652498,2736666,2737285,2700648
 "95000","Southeast",5,SAINC45,40,"...","  Dairy products","Thousands of dollars",887959,926053,968521,1015372,1139271,1351796,1400909,1566317,1589383,1670506,1889148,2103461,2279713,2280521,2288808,2106160,2169069,2119315,2088655,2079666,2195921,2336957,2024016,2205298,2132752,2157578,2020661,2228654,1994819,2122577,2055259,1812730,2041564,1653252,1534050,1892702,1779499,1517196,2075589,2037391,1436020,1768961,2126573,1968645,2115956,2581601,1947331,1723685,1877095,1634287,1742157,1698080
 "95000","Southeast",5,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",2045964,1959960,1893053,2030540,3347902,3051165,3414460,3566481,3681250,4196154,4608537,4751852,5126133,4858603,5190715,6488362,5996369,6924939,6273212,7254077,8590467,8421458,8420825,9023441,10341993,11164098,11535965,13411394,13415587,14182789,14208093,13362005,15344982,12810413,14263066,18241192,18525459,16446723,19812419,21354297,19540083,21132092,21198830,22892006,27191071,28820224,27149947,23725494,26259630,27457457,24889405,20557829
 "95000","Southeast",5,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",4884361,5294036,5655251,6225498,8564620,10681450,9979464,11249008,10632248,12755225,13783646,14327073,15860417,15531692,14965950,16055445,14439888,12924279,14435139,15625570,17115131,16912645,17213328,18875654,18566387,19499556,20603250,22217525,21707799,20557942,18333195,18768687,17807714,17524465,20137249,20887535,20495286,20650224,24227277,25485676,26366118,27289824,28626126,34537371,35060695,32528309,28654017,28047712,29005390,27982477,28337815,30475843
 "95000","Southeast",5,SAINC45,70,"...","  Total grains","Thousands of dollars",1545701,1810928,1811737,2051803,3543123,4948980,3964385,4830347,4206803,5397182,6598494,6193197,5980382,5690441,5284962,5417365,4742587,3431562,3492021,4368771,4324969,3975343,3694113,4250627,4284837,4263435,4776312,6280603,5716813,4241047,3703587,3475185,3499832,3775312,4731147,5579781,4718579,5057664,7286273,9665642,10607922,10117209,10838330,15034126,16492161,14800826,11571141,11494203,11329139,10739723,10523697,11749304
