GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "25000","Massachusetts",1,SAEMP27S,417,"25","     Furniture and fixtures","Number of jobs",10727,10062,9631,9769,10415,10124,8471,8364,8119,8733,8416,8064,7711,6978,7074,7489,7409,8217,8147,7485,6499,5084,4487,4445,4424,4590,4473,4444,4586,4619,4743,4841,(NA)
 "25000","Massachusetts",1,SAEMP27S,420,"32","     Stone, clay, and glass products","Number of jobs",12350,12055,11792,11092,12579,13430,10848,11236,11320,13214,13941,13334,12828,11720,11379,11915,11707,10854,10674,10513,10017,8745,7576,7955,7993,8077,8339,8260,8386,8838,8965,9193,(NA)
 "25000","Massachusetts",1,SAEMP27S,423,"33","     Primary metal industries","Number of jobs",22018,19388,17195,17826,17379,17935,13312,13377,14366,14114,14769,15328,14795,13540,12912,14031,13630,13821,13703,13162,12361,11272,10244,9272,8992,9426,9337,10152,10436,10159,9807,10258,(NA)
 "25000","Massachusetts",1,SAEMP27S,426,"34","     Fabricated metal products","Number of jobs",41970,40974,38378,40515,45932,47597,48873,50403,51284,53958,54429,53430,51406,47749,46104,48170,46508,42250,41444,40485,43204,40973,38204,36095,35711,35829,36932,36450,36987,37115,35017,34850,(NA)
 "25000","Massachusetts",1,SAEMP27S,429,"35","     Industrial machinery and equipment","Number of jobs",74910,73810,66787,66512,72490,80362,74201,74552,82120,90244,103384,110032,111820,106317,101996,112451,110273,97363,103587,100976,95932,85116,76767,73166,67879,63797,62611,64457,64118,64657,59493,62375,(NA)
 "25000","Massachusetts",1,SAEMP27S,432,"36","     Electronic and other electric equipment","Number of jobs",99413,93553,81045,84093,95650,101383,85561,88641,93737,100579,107450,113918,112968,111710,114348,128900,130399,126508,107177,87366,79073,72801,68446,63671,59198,59087,60230,61553,62586,61412,60986,64321,(NA)
 "25000","Massachusetts",1,SAEMP27S,435,"371","     Motor vehicles and equipment","Number of jobs",6894,5872,5630,5752,6359,4105,3887,4468,5504,6416,6191,6231,5769,4157,4494,6130,5805,4837,(D),2685,2247,845,640,1035,1043,1190,1447,1614,1701,1758,1405,1328,(NA)
 "25000","Massachusetts",1,SAEMP27S,438,"372-379","     Other transportation equipment","Number of jobs",20119,19736,17596,15788,13663,13468,25412,25931,27520,30104,30724,29109,27587,26834,30467,34212,35892,32357,31355,29786,28243,27054,25100,22934,20746,17979,16798,17178,17495,17734,16790,15490,(NA)
 "25000","Massachusetts",1,SAEMP27S,441,"38","     Instruments and related products","Number of jobs",31540,32225,30938,32245,35584,40729,43837,44699,50376,57780,58750,57907,61608,59554,57626,59403,57632,55667,53652,72893,71546,69297,65891,61690,60250,58699,55312,53622,53516,53698,50244,50424,(NA)
 "25000","Massachusetts",1,SAEMP27S,444,"39","     Miscellaneous manufacturing industries","Number of jobs",28685,28000,27270,28429,27500,27562,24599,25491,26278,27733,27854,27507,26257,24592,23006,22405,20931,19884,19595,19396,18761,17707,16681,16480,17234,17400,17107,16380,16278,16407,16423,16835,(NA)
 "25000","Massachusetts",1,SAEMP27S,447,"...","     Ordnance 2/","Number of jobs",24179,20114,16688,15896,15540,18041,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
