GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "48000","Texas",6,SAEMP27S,413,"24","     Lumber and wood products","Number of jobs",23196,21859,23251,25436,26914,26251,28243,31811,35253,37979,37351,36467,37648,37350,40851,43804,41184,37528,34514,33816,31610,31333,30011,31666,35542,39305,40883,43192,45308,47596,49623,48550,(NA)
 "48000","Texas",6,SAEMP27S,417,"25","     Furniture and fixtures","Number of jobs",17480,17225,17588,18488,19854,19512,16087,16889,17636,18733,18750,17217,16928,16119,16604,18230,17706,17290,16284,16391,16064,16387,15916,16150,16997,17548,18497,18387,19326,19250,20375,21202,(NA)
 "48000","Texas",6,SAEMP27S,420,"32","     Stone, clay, and glass products","Number of jobs",30531,30171,30554,32230,34607,35213,33740,36042,37913,42538,45575,44493,46029,44368,45848,49363,50151,47874,43224,38336,36998,36167,34848,34615,36547,38247,38915,39935,41409,42770,45204,46257,(NA)
 "48000","Texas",6,SAEMP27S,423,"33","     Primary metal industries","Number of jobs",33611,34004,32332,33290,37793,40411,36436,36935,41122,43136,46361,47633,51797,43022,33916,36229,33449,28615,26596,29359,28873,29299,30317,28493,28468,29730,29886,29789,30695,31125,30553,31621,(NA)
 "48000","Texas",6,SAEMP27S,426,"34","     Fabricated metal products","Number of jobs",52907,54767,56382,59377,66119,71598,77214,78434,80473,88164,92857,97784,102535,93226,80200,83642,83307,76140,72682,75325,77238,81240,83524,83007,83962,88153,92844,94707,99510,104377,104708,107026,(NA)
 "48000","Texas",6,SAEMP27S,429,"35","     Industrial machinery and equipment","Number of jobs",71520,69966,66792,73253,82505,95933,102783,108548,116280,132747,148055,159625,193527,172692,129797,133576,134700,106518,100281,107700,109122,114945,117586,110434,112222,119750,127489,131559,138325,147204,137188,139042,(NA)
 "48000","Texas",6,SAEMP27S,432,"36","     Electronic and other electric equipment","Number of jobs",59916,55597,50471,53923,62107,69113,58833,68262,75830,84468,101331,108896,103477,100148,98108,105815,115237,116612,115674,105730,107091,107017,104286,98047,100932,105798,113317,119212,125914,132145,128294,136781,(NA)
 "48000","Texas",6,SAEMP27S,435,"371","     Motor vehicles and equipment","Number of jobs",11630,9581,9419,10965,12132,13535,11992,12288,14667,15541,16100,13682,15166,13276,13952,16479,15973,13859,15159,17459,17367,15398,13633,13579,14587,16948,17662,16898,17298,18665,19839,19628,(NA)
 "48000","Texas",6,SAEMP27S,438,"372-379","     Other transportation equipment","Number of jobs",96115,84932,66278,61745,59818,58090,55493,53526,51450,55868,63355,67577,69897,63796,57171,58573,62377,69684,75044,79505,82816,81405,73250,67838,65109,57491,54775,58265,61179,65227,63385,59308,(NA)
 "48000","Texas",6,SAEMP27S,441,"38","     Instruments and related products","Number of jobs",12521,14065,13439,15958,18334,16428,16417,16662,18345,17806,17689,20488,25131,24794,22711,23254,23404,22394,21242,36533,38032,39921,40318,40646,40546,38838,38539,42253,41199,41648,39061,35661,(NA)
