GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "50000","Vermont",1,SAEMP27N,519,"3364-3369","     Other transportation equipment manufacturing","Number of jobs",2217,2280,2307,2180,(D),(D),(D),(D),(D),(D),1480,(D),1466,1495,1497,1498,(D),1354,1199,1187,1278,1491,1385
 "50000","Vermont",1,SAEMP27N,521,"337","     Furniture and related product manufacturing","Number of jobs",2819,2994,3081,3075,2672,2277,2137,2098,2045,2019,1964,1590,1398,1368,1491,1500,1492,1411,1381,1342,1331,1279,1142
 "50000","Vermont",1,SAEMP27N,522,"339","     Miscellaneous manufacturing","Number of jobs",1846,1750,1779,1990,1956,1894,1924,2013,2181,2083,2017,1960,1797,1424,1437,1433,1529,1540,1528,1523,1540,1643,1595
 "50000","Vermont",1,SAEMP27N,530,"311-316,322-326","    Nondurable goods manufacturing","Number of jobs",12711,13011,12995,12089,11344,10762,10581,10367,9931,9784,9609,9061,9050,9321,10215,10522,10846,11267,11236,11286,11427,11421,10976
 "50000","Vermont",1,SAEMP27N,531,"311","     Food manufacturing","Number of jobs",3620,3886,4076,4098,3996,3818,3846,3809,3715,3796,3978,4001,4126,4359,4994,5170,5287,5492,5343,5328,5393,5232,5244
 "50000","Vermont",1,SAEMP27N,532,"312","     Beverage and tobacco product manufacturing","Number of jobs",(T),249,243,276,311,324,322,374,399,418,352,339,374,389,481,532,630,710,823,892,977,1087,919
 "50000","Vermont",1,SAEMP27N,533,"313","     Textile mills","Number of jobs",308,317,309,289,206,189,189,177,142,136,108,105,100,96,100,137,170,160,99,117,141,150,122
 "50000","Vermont",1,SAEMP27N,534,"314","     Textile product mills","Number of jobs",(T),(T),(T),284,257,232,146,135,131,121,101,(D),61,73,81,80,(D),(D),(D),(D),(D),(D),56
 "50000","Vermont",1,SAEMP27N,535,"315","     Apparel manufacturing","Number of jobs",809,784,707,648,538,466,510,382,350,326,309,272,263,257,316,254,282,330,347,347,355,406,391
 "50000","Vermont",1,SAEMP27N,536,"316","     Leather and allied product manufacturing","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAEMP27N,537,"322","     Paper manufacturing","Number of jobs",2001,1930,1908,1864,1624,1349,1335,1358,1271,1217,1164,1118,1079,1047,714,713,740,734,723,721,718,694,659
 "50000","Vermont",1,SAEMP27N,538,"323","     Printing and related support activities","Number of jobs",2743,2662,2373,2103,1981,1901,1863,1727,1472,1404,1263,1192,1118,1023,1048,1045,1010,1022,1039,1057,1077,1024,872
 "50000","Vermont",1,SAEMP27N,539,"324","     Petroleum and coal products manufacturing","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),59,56,69,64,69,60,(D)
 "50000","Vermont",1,SAEMP27N,541,"325","     Chemical manufacturing","Number of jobs",841,946,998,1397,1297,1386,1366,1394,1028,968,986,810,765,840,1153,1300,1353,1379,1443,1404,1369,1411,1399
 "50000","Vermont",1,SAEMP27N,542,"326","     Plastics and rubber products manufacturing","Number of jobs",1795,1847,1933,1013,1037,983,897,907,1318,1273,1215,1019,1037,1097,1187,1172,1166,1234,1207,1217,1201,1237,1205
 "50000","Vermont",1,SAEMP27N,600,"42","   Wholesale trade","Number of jobs",9552,9500,9849,10110,10113,10335,10268,10198,10579,10579,10320,9636,9584,9635,9239,9254,9278,9338,9516,9339,9066,9120,8752
 "50000","Vermont",1,SAEMP27N,700,"44-45","   Retail trade","Number of jobs",38024,39123,40172,40540,40666,40061,40601,40942,40847,40464,40448,38550,38283,38280,37915,38011,38200,38180,38400,38169,37853,37021,33966
 "50000","Vermont",1,SAEMP27N,701,"441","    Motor vehicle and parts dealers","Number of jobs",4637,4693,4806,4813,4884,4933,5094,5016,4895,4882,4812,4486,4583,4711,4830,4760,4987,5125,5188,5195,5376,5348,4722
 "50000","Vermont",1,SAEMP27N,702,"442","    Furniture and home furnishings stores","Number of jobs",946,1002,1093,1206,1273,1280,1365,1277,1253,1205,1104,933,955,968,965,964,944,943,919,913,910,873,741
 "50000","Vermont",1,SAEMP27N,703,"443","    Electronics and appliance stores","Number of jobs",915,945,900,914,942,834,846,886,850,738,822,915,889,906,872,817,780,741,723,717,651,608,528
 "50000","Vermont",1,SAEMP27N,704,"444","    Building material and garden equipment and supplies dealers","Number of jobs",2965,3078,3208,3226,3362,3484,3742,3883,3859,3759,3769,3450,3370,3360,3390,3498,3585,3526,3648,3655,3569,3606,3614
 "50000","Vermont",1,SAEMP27N,705,"445","    Food and beverage stores","Number of jobs",9749,9915,9934,9880,10045,9688,9462,9581,9808,9699,10241,10120,9880,9896,9792,9873,10041,10075,10103,9995,10042,9983,9499
 "50000","Vermont",1,SAEMP27N,706,"446","    Health and personal care stores","Number of jobs",1734,1858,1900,1949,1968,1989,2057,2229,2283,2322,2317,2131,2070,2145,2040,2096,2033,2023,2002,1954,1871,1810,1665
 "50000","Vermont",1,SAEMP27N,707,"447","    Gasoline stations","Number of jobs",3442,3503,3657,3708,3841,3812,3941,3903,3940,3969,3935,3833,3773,3723,3790,3836,3735,3870,3966,4002,3906,3821,3572
 "50000","Vermont",1,SAEMP27N,708,"448","    Clothing and clothing accessories stores","Number of jobs",2683,2746,2915,2861,2891,2896,2925,3076,3157,3106,3019,2842,2860,2574,2456,2404,2290,2380,2294,2141,2015,1857,1340
 "50000","Vermont",1,SAEMP27N,709,"451","    Sporting goods, hobby, musical instrument, and book stores","Number of jobs",1973,2044,2139,2209,2208,2235,2177,2231,2246,2265,2167,2042,1948,1886,1935,1925,1900,1859,1776,1715,1660,1640,1430
 "50000","Vermont",1,SAEMP27N,711,"452","    General merchandise stores","Number of jobs",3438,3597,3651,3498,3305,2902,2944,2887,2848,2899,2877,2802,2886,3120,3156,3188,3344,3247,3278,3443,3332,3164,2990
 "50000","Vermont",1,SAEMP27N,712,"453","    Miscellaneous store retailers","Number of jobs",2858,3021,3180,3272,3137,3207,3234,3257,3037,2969,2710,2449,2371,2263,2262,2264,2164,2120,2159,2099,2175,2053,1644
 "50000","Vermont",1,SAEMP27N,713,"454","    Nonstore retailers","Number of jobs",2684,2721,2789,3004,2810,2801,2814,2716,2671,2651,2675,2547,2698,2728,2427,2386,2397,2271,2344,2340,2346,2258,2221
 "50000","Vermont",1,SAEMP27N,800,"48-49","   Transportation and warehousing","Number of jobs",7251,7351,7292,7058,7108,6936,7122,7288,7174,7126,7046,6688,6784,7111,7057,6918,6949,6833,6767,6833,6912,7111,6506
 "50000","Vermont",1,SAEMP27N,801,"481","    Air transportation","Number of jobs",291,297,267,257,261,283,286,299,283,257,245,201,135,118,108,101,100,99,115,122,121,120,116
 "50000","Vermont",1,SAEMP27N,802,"482","    Rail transportation","Number of jobs",222,208,209,194,175,173,187,185,198,200,206,194,196,206,206,147,144,151,155,167,168,178,158
 "50000","Vermont",1,SAEMP27N,803,"483","    Water transportation","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAEMP27N,804,"484","    Truck transportation","Number of jobs",2914,2880,2840,2702,2651,2632,2675,2625,2633,2576,2510,2367,2378,2397,2414,2355,2307,2232,2120,2128,2160,2162,2041
 "50000","Vermont",1,SAEMP27N,805,"485","    Transit and ground passenger transportation","Number of jobs",1377,1397,1316,1354,1400,1381,1351,1390,1335,1391,1387,1378,1467,1430,1408,1391,1397,1343,1311,1340,1351,1365,1051
 "50000","Vermont",1,SAEMP27N,806,"486","    Pipeline transportation","Number of jobs",(T),(T),(T),(D),0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAEMP27N,807,"487","    Scenic and sightseeing transportation","Number of jobs",(T),(T),(T),(D),71,70,72,64,57,62,65,56,53,57,63,60,(D),39,36,36,(D),(D),(D)
 "50000","Vermont",1,SAEMP27N,808,"488","    Support activities for transportation","Number of jobs",415,392,377,418,518,470,518,486,457,479,551,538,545,541,509,421,452,471,495,515,498,541,525
 "50000","Vermont",1,SAEMP27N,809,"492","    Couriers and messengers","Number of jobs",1099,1141,1198,1219,(D),(D),(D),(D),(D),(D),(D),1059,1045,1042,1009,1021,1091,1121,1120,1159,1182,1179,1286
 "50000","Vermont",1,SAEMP27N,811,"493","    Warehousing and storage","Number of jobs",861,941,997,743,718,687,760,953,951,914,837,776,830,1195,1225,1320,1258,1280,1314,1263,1302,1437,1221
 "50000","Vermont",1,SAEMP27N,900,"51","   Information","Number of jobs",7252,7021,6726,6804,(D),6502,6370,6250,6066,5945,5769,5504,5357,4961,4671,4680,4769,4643,4646,4481,4284,4323,3962
 "50000","Vermont",1,SAEMP27N,901,"511","    Publishing industries (except Internet)","Number of jobs",2608,2593,2639,2670,2670,2598,2380,2323,2224,2153,2030,1872,1786,1718,1651,1736,1858,1779,1823,1761,1638,1640,1463
 "50000","Vermont",1,SAEMP27N,902,"512","    Motion picture and sound recording industries","Number of jobs",380,391,(T),476,462,431,405,396,410,404,411,409,434,423,404,324,317,334,347,361,356,357,216
 "50000","Vermont",1,SAEMP27N,903,"515","    Broadcasting (except Internet)","Number of jobs",1527,1211,786,770,769,748,724,719,701,693,687,643,665,664,670,666,678,700,704,694,645,636,622
