GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "32000","Nevada",8,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",562737,570431,605784,653905,703617,753432,820404,872968,944621,1026592,1096396,1164574,1205558,1307293,1473410,1606216,1627420,1639285,1581938,1483405,1453347,1421436,1503016,1563055,1666357,1752759,1911853,1985332,2158472,2214483,2120926
 "32000","Nevada",8,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-376526,-345477,-305112,-343763,-353656,-348759,-368093,-328023,-349767,-381954,-338160,-354243,-363573,-409759,-494280,-548835,-473923,-399793,-320538,-307701,-251780,-145368,-156773,-136244,-176874,-127618,-203999,-202232,-215036,-237364,163290
 "33000","New Hampshire",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",3209997,3333382,3480573,3658254,3845719,3946313,4210374,4591782,4986043,5541830,6380938,6553823,6457191,6569996,7026017,7164771,7516439,8039818,8305308,7700948,8248363,8823841,9299090,9077368,9135049,9918971,10388640,10744009,11371596,12041019,12144138
 "33000","New Hampshire",1,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1238224,1215188,1303310,1355642,1447098,1555354,1644520,1788951,2082070,2166011,2360220,2490010,2522573,2621138,2797378,2944675,3141099,3292438,3427121,3539461,3480642,3737582,3805824,3875126,4192444,4445025,4534191,4655654,4958390,5158686,5622773
 "33000","New Hampshire",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",1971773,2118194,2177263,2302612,2398621,2390959,2565854,2802831,2903973,3375819,4020718,4063813,3934618,3948858,4228639,4220096,4375340,4747380,4878187,4161487,4767721,5086259,5493266,5202242,4942605,5473946,5854449,6088355,6413206,6882333,6521365
 "34000","New Jersey",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",22224425,22510020,25212323,25638018,26293546,28116855,30747530,33837418,37017902,39594607,44714311,45763935,44096563,44801778,49046440,52757918,58803831,66382395,67042669,56620976,62600439,67464406,70872964,71475365,74784653,77846879,79775021,85006668,90096290,94975213,94449948
 "34000","New Jersey",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",11870798,12197897,13146580,13386740,14059555,14751244,15426050,15755802,17421651,18098342,20167276,20582542,21290783,21748521,22923881,24191913,24950788,26106881,27497477,25510063,27566595,28367716,31130812,30735556,31105310,32172486,32358163,34420529,34952731,35969682,36980817
 "34000","New Jersey",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",10353627,10312123,12065743,12251278,12233991,13365611,15321480,18081616,19596251,21496265,24547035,25181393,22805780,23053257,26122559,28566005,33853043,40275514,39545192,31110913,35033844,39096690,39742152,40739809,43679343,45674393,47416858,50586139,55143559,59005531,57469131
 "35000","New Mexico",6,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",281175,306518,338870,370975,399652,429288,459487,500383,547956,593441,648255,663016,683672,716123,727122,763753,828281,890749,951111,945865,937570,966881,996908,997081,1054161,1062094,1066597,1133629,1228319,1292150,1272676
 "35000","New Mexico",6,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",231852,245072,261565,275314,288618,307190,317732,337203,361458,378611,408484,451394,489587,533856,590950,694030,745896,817389,893503,877382,929309,987591,1012729,1038028,1102447,1102958,1065775,1099726,1257177,1268492,1146417
 "35000","New Mexico",6,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",49323,61446,77305,95661,111034,122098,141755,163180,186498,214830,239771,211622,194085,182267,136172,69723,82385,73360,57608,68483,8261,-20710,-15821,-40947,-48286,-40864,822,33903,-28858,23658,126259
 "36000","New York",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",9672941,9974148,10298334,10642932,11440242,11430604,11940733,12646763,13592276,14939805,17108781,17282208,17291966,17508449,18191716,18971214,19707855,20731834,20765907,19854676,20630429,21850647,22830294,23019297,23663892,24552564,24756649,25480839,26202436,27048825,26733807
 "36000","New York",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",23143666,23422371,26878709,26993936,27785306,30008083,33370471,36637158,40885063,43442913,49407817,50419040,48244012,49059713,54419196,59177807,66550119,76629683,77143388,63847719,70876368,75814284,79210305,79279305,83871163,87011145,88809026,95324591,102832480,109468260,107450550
 "36000","New York",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-13470725,-13448223,-16580375,-16351004,-16345064,-18577479,-21429738,-23990395,-27292787,-28503108,-32299036,-33136832,-30952046,-31551264,-36227480,-40206593,-46842264,-55897849,-56377481,-43993043,-50245939,-53963637,-56380011,-56260008,-60207271,-62458581,-64052377,-69843752,-76630044,-82419435,-80716743
 "37000","North Carolina",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1091497,1134619,1234997,1324101,1396830,1485604,1578859,1702807,1888498,2041424,2181372,2303663,2433262,2685279,2901444,3152901,3385844,3624482,3767153,3700115,3878867,4217408,4458227,4658710,4975064,5212807,5598719,6005659,6272248,6715886,6842774
 "37000","North Carolina",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1549082,1574784,1699482,1805364,1943204,2103403,2260866,2462456,2626310,2848277,3102218,3234000,3332598,3440785,3658096,3978859,4395641,4864625,5038635,4746059,4840355,5108226,5396984,5505961,5894177,6374298,6892206,7347851,7808242,8254627,8948315
 "37000","North Carolina",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-457585,-440165,-464485,-481263,-546374,-617799,-682007,-759649,-737812,-806853,-920846,-930337,-899336,-755506,-756652,-825958,-1009797,-1240143,-1271482,-1045944,-961488,-890818,-938757,-847251,-919113,-1161491,-1293487,-1342192,-1535994,-1538741,-2105541
 "38000","North Dakota",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",163054,180907,201711,213602,233149,244432,254052,268854,294622,308123,321087,332850,352923,371706,390502,399457,416928,442007,471391,477024,487367,526331,567451,562122,603346,603695,611026,642906,688943,711115,743926
 "38000","North Dakota",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",347225,371841,407652,438985,473661,506276,548042,589824,638617,678554,724977,765055,799936,841086,912167,969468,1051549,1145595,1233187,1279959,1454305,1847876,2468778,2854041,3238305,2988278,2580095,2726513,2970753,3122120,2808805
 "38000","North Dakota",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-184171,-190934,-205941,-225383,-240512,-261844,-293990,-320970,-343995,-370431,-403890,-432205,-447013,-469380,-521665,-570011,-634621,-703588,-761796,-802935,-966938,-1321545,-1901327,-2291919,-2634959,-2384583,-1969069,-2083607,-2281810,-2411005,-2064879
 "39000","Ohio",3,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2395358,2509013,2698989,2799344,3019702,3167203,3369597,3628595,3861150,4206255,4585874,4807565,4996428,5216559,5558806,5818165,6023851,6231094,6386945,6101753,6365114,6833549,7448005,7274260,7493694,7689309,7771919,8228674,9051918,9117093,8964928
 "39000","Ohio",3,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",3488414,3623815,3928954,4126728,4470068,4658104,4915748,5272116,5680470,5994841,6334441,6544247,6754390,6987429,7275010,7549584,7909267,8205226,8351661,7938695,8160351,8756023,9336332,9589966,10048678,10281092,10461969,10688552,11047020,11471598,11454797
 "39000","Ohio",3,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-1093056,-1114802,-1229965,-1327384,-1450366,-1490901,-1546151,-1643521,-1819320,-1788586,-1748567,-1736682,-1757962,-1770870,-1716204,-1731419,-1885416,-1974132,-1964716,-1836942,-1795237,-1922474,-1888327,-2315706,-2554984,-2591783,-2690050,-2459878,-1995102,-2354505,-2489869
 "40000","Oklahoma",6,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",741131,778062,831537,871369,929707,975698,1019345,1115130,1172721,1243068,1351117,1386489,1385013,1406278,1449640,1490477,1554252,1587317,1598054,1478319,1478046,1530161,1574653,1566689,1620592,1637482,1634172,1690183,1791324,1829288,1831517
 "40000","Oklahoma",6,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",172744,180859,213106,214707,215839,229135,239863,256429,279970,304146,332314,372495,398431,438606,499628,578196,670135,739092,805074,796589,863351,966313,1019862,1092183,1155659,1200062,1175739,1247349,1308463,1363136,1389638
 "40000","Oklahoma",6,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",568387,597203,618431,656662,713868,746563,779482,858701,892751,938922,1018803,1013994,986582,967672,950012,912281,884117,848225,792980,681730,614695,563848,554791,474506,464933,437420,458433,442834,482861,466152,441879
 "41000","Oregon",8,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",714430,763307,803638,843953,954044,998665,1006387,1089537,1190656,1342050,1487903,1489365,1456868,1456928,1498792,1539413,1576238,1616110,1590920,1505914,1515823,1562331,1642612,1636966,1741888,1850672,1942989,2082957,2237004,2361057,2438411
 "41000","Oregon",8,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1332496,1446217,1583156,1718931,1895183,2117948,2361159,2629869,2854288,3099066,3486700,3600355,3647130,3824837,4092703,4424842,4850655,5161741,5257648,4995860,4886468,5264967,5556271,5545910,5631913,5995400,6469814,6833551,7363931,7577628,7943999
 "41000","Oregon",8,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-618066,-682910,-779518,-874978,-941139,-1119283,-1354772,-1540332,-1663632,-1757016,-1998797,-2110990,-2190262,-2367909,-2593911,-2885429,-3274417,-3545631,-3666728,-3489946,-3370645,-3702636,-3913659,-3908944,-3890025,-4144728,-4526825,-4750594,-5126927,-5216571,-5505588
 "42000","Pennsylvania",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",7098900,7332111,7886073,8298396,8811958,9587729,10268380,11215135,12321308,13214159,14571059,15405466,16011392,16938028,18338335,20000282,21358153,23115854,23940807,22459104,23639983,24625271,25983843,26113255,27677330,28622937,29257203,30813248,32370120,33339436,33555506
 "42000","Pennsylvania",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",6060004,6279610,6660144,6958765,7159873,7420895,7835017,8342504,9050590,9657795,10515077,11088262,11420581,11857904,12469588,13108376,14017566,14890713,15364873,15127538,15637146,16758424,17755155,17961998,18707336,19673532,19827316,20814715,21493989,22790464,22391076
 "42000","Pennsylvania",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",1038896,1052501,1225929,1339631,1652085,2166834,2433363,2872631,3270718,3556364,4055982,4317204,4590811,5080124,5868747,6891906,7340587,8225141,8575934,7331566,8002837,7866847,8228688,8151257,8969994,8949405,9429887,9998533,10876131,10548972,11164430
 "44000","Rhode Island",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1668349,1677558,1773436,1874023,1996963,2113084,2249267,2420243,2620915,2841758,3155669,3393051,3534752,3693555,4094408,4106521,4365476,4619820,4549511,4439756,4508600,5015037,5437459,5667707,5658568,6026946,6219565,6677036,7144349,7810186,7945329
 "44000","Rhode Island",1,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",997641,980995,1055389,1113411,1167333,1253955,1320645,1425265,1547394,1666608,1820320,1964078,2121223,2320539,2496886,2669809,2916042,3090308,3238231,3200891,3485020,3734889,4014460,4254640,4504972,4686226,4795238,5010123,5064136,5132963,5263746
 "44000","Rhode Island",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",670708,696563,718047,760612,829630,859129,928622,994978,1073521,1175150,1335349,1428973,1413529,1373016,1597522,1436712,1449434,1529512,1311280,1238865,1023580,1280148,1422999,1413067,1153596,1340720,1424327,1666913,2080213,2677223,2681583
 "45000","South Carolina",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1594966,1615438,1729880,1821942,1951594,2102486,2268350,2463363,2651403,2869381,3155723,3307245,3427989,3592919,3823281,4175726,4593404,5079386,5272886,5088288,5160219,5459721,5848284,6040350,6454905,6998527,7580891,8085281,8543280,9091299,9885891
 "45000","South Carolina",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1087605,1121154,1226342,1302125,1315323,1335170,1390540,1427332,1535974,1666004,1726512,1787815,1871023,2001433,2148530,2306423,2450901,2564641,2674579,2502796,2633098,2896239,2995570,3084323,3342725,3511969,3680607,4024087,4308527,4735779,4755261
 "45000","South Carolina",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",507361,494284,503538,519817,636271,767316,877810,1036031,1115429,1203377,1429211,1519430,1556966,1591486,1674751,1869303,2142503,2514745,2598307,2585492,2527121,2563482,2852714,2956027,3112180,3486558,3900284,4061194,4234753,4355520,5130630
 "46000","South Dakota",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",69075,78176,90069,102254,115018,141973,149040,184935,199964,219733,250277,258705,267779,281142,293499,321950,355700,405173,443030,431035,446223,433474,476394,493713,553432,584138,560705,535026,550039,559105,569828
 "46000","South Dakota",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",123314,145919,175047,202622,245438,291878,337828,370589,432559,469062,517417,523452,504511,506358,514481,493285,497008,544624,546548,499878,517522,546491,548402,532288,574947,595617,613942,646486,675961,696736,725184
 "46000","South Dakota",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-54239,-67743,-84978,-100368,-130420,-149905,-188788,-185654,-232595,-249329,-267140,-264747,-236732,-225216,-220982,-171335,-141308,-139451,-103518,-68843,-71299,-113017,-72008,-38575,-21515,-11479,-53237,-111460,-125922,-137631,-155356
 "47000","Tennessee",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1678684,1794965,2155674,2235086,2379280,2526452,2707349,2750011,2928026,3063853,3186523,3342191,3494031,3711117,3903002,4325220,4669330,4915456,5212698,5241571,5575305,5954662,6083576,5952627,6163653,6378023,6406134,6525716,6754419,6728096,7024071
 "47000","Tennessee",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",2307439,2417063,2638365,2830770,3066206,3293713,3492112,3780504,4102783,4422706,4736231,4905265,5042368,5266500,5542358,5779289,6051354,6397461,6595891,6209733,6322122,6714180,7156400,7193908,7360913,7695485,7997365,8273878,8707657,8921560,9147577
 "47000","Tennessee",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-628755,-622098,-482691,-595684,-686926,-767261,-784763,-1030493,-1174757,-1358853,-1549708,-1563074,-1548337,-1555383,-1639356,-1454069,-1382024,-1482005,-1383193,-968162,-746817,-759518,-1072824,-1241281,-1197260,-1317462,-1591231,-1748162,-1953238,-2193464,-2123506
 "48000","Texas",6,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1090859,1146769,1236680,1307931,1386373,1464239,1566429,1697709,1864110,2035807,2251252,2377420,2452711,2579999,2775674,3008586,3257894,3518550,3721356,3560594,3695729,3942667,4130857,4287948,4651243,4843821,5019969,5428194,5744813,5799861,5601121
 "48000","Texas",6,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1575329,1709606,1822482,1914453,2057643,2216884,2389498,2660636,2922513,3118572,3431360,3562373,3587494,3639544,3753149,3956246,4291707,4639838,4911417,4956504,5223200,5782479,6338784,6685260,7114334,7295520,7169448,7317864,7742551,8162111,7762722
 "48000","Texas",6,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-484470,-562837,-585802,-606522,-671270,-752645,-823069,-962927,-1058403,-1082765,-1180108,-1184953,-1134783,-1059545,-977475,-947660,-1033813,-1121288,-1190061,-1395910,-1527471,-1839812,-2207927,-2397312,-2463091,-2451699,-2149479,-1889670,-1997738,-2362250,-2161601
 "49000","Utah",7,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",137557,144031,155230,172588,193337,204542,226251,250038,271752,300498,335200,343251,346910,361145,388915,423126,464472,500551,524605,471735,475930,500597,542070,568492,599202,611631,606397,638884,685300,721171,712909
 "49000","Utah",7,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",120691,132534,148675,165462,186393,204244,225854,250186,275576,301818,330316,343467,349343,360189,387240,408147,445198,484926,491213,464716,474984,501990,525978,541253,565447,603584,633997,672232,716565,768241,811307
 "49000","Utah",7,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",16866,11497,6555,7126,6944,298,397,-148,-3824,-1320,4884,-216,-2433,956,1675,14979,19274,15625,33392,7019,946,-1393,16092,27239,33755,8047,-27600,-33348,-31265,-47070,-98398
 "50000","Vermont",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",337128,351958,387831,419632,456141,484753,518443,567344,629110,682123,748885,780577,808800,846737,883628,919702,970539,1013793,1040140,1046407,1086359,1137921,1171344,1221566,1254904,1307705,1339323,1362427,1415060,1463164,1487863
 "50000","Vermont",1,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",285129,292345,319731,341799,363152,378689,396416,420931,454810,486575,522096,543792,573978,595663,646161,669992,689169,722491,754630,714845,756178,832652,858816,883764,884255,936989,961003,944046,984835,1005335,990068
 "50000","Vermont",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",51999,59613,68100,77833,92989,106064,122027,146413,174300,195548,226789,236785,234822,251074,237467,249710,281370,291302,285510,331562,330181,305269,312528,337802,370649,370716,378320,418381,430225,457829,497795
 "51000","Virginia",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",11569102,12251419,13190137,13839922,14207379,14706239,14902796,16236965,16933355,19615223,19362888,20414974,21828744,23276126,24957659,26318098,28243049,29699319,31879844,31800831,33786841,36396032,36363218,35646760,37940535,39227320,41076048,42470802,43925387,44090037,44796485
 "51000","Virginia",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",6372954,6622617,7158504,7496076,7938380,8330732,8977911,9754724,10721950,11693571,13300372,13840267,13750097,14500782,15717013,16809728,17434514,18282134,18621857,18716976,19188599,19519782,19514843,19035004,19429021,20267097,21146826,22051167,23057619,24138960,25003746
 "51000","Virginia",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",5196148,5628802,6031633,6343846,6268999,6375507,5924885,6482241,6211405,7921652,6062516,6574707,8078647,8775344,9240646,9508370,10808535,11417185,13257987,13083855,14598242,16876250,16848375,16611756,18511514,18960223,19929222,20419635,20867768,19951077,19792739
 "53000","Washington",8,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1759726,1902804,2083648,2240800,2434957,2660794,2932803,3230649,3503913,3792020,4319342,4442335,4477698,4652060,4940256,5286369,5783274,6114458,6147087,5813605,5746047,6201195,6476953,6623313,6755644,7214414,7711077,8138363,8751083,9072775,9294839
 "53000","Washington",8,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",841506,912560,982539,1044917,1185103,1253485,1305694,1445039,1611924,1833574,2038295,2066361,2045252,2083826,2172828,2251384,2341392,2449351,2465485,2419526,2505115,2676249,2867627,3041854,3219265,3384859,3603524,3857296,4136177,4364808,4367651
 "53000","Washington",8,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",918220,990244,1101109,1195883,1249854,1407309,1627109,1785610,1891989,1958446,2281047,2375974,2432446,2568234,2767428,3034985,3441882,3665107,3681602,3394079,3240932,3524946,3609326,3581459,3536379,3829555,4107553,4281067,4614906,4707967,4927188
 "54000","West Virginia",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1368532,1406078,1538055,1600122,1739835,1820209,1915374,2086558,2293495,2493351,2686537,2903778,3018998,3206670,3468136,3794896,4079639,4362354,4576976,4475362,4621043,4845319,4854234,4902998,5067954,5179676,5352593,5575431,5770571,5977855,6074856
 "54000","West Virginia",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1276467,1331783,1404126,1468551,1559229,1596541,1680978,1694091,1854665,1992536,2061292,2131497,2202175,2245448,2377950,2505594,2743208,2876841,3136162,3147148,3162117,3377825,3639368,3647120,3598493,3710895,3640508,3958088,4539975,4344345,4054123
 "54000","West Virginia",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",92065,74295,133929,131571,180606,223668,234396,392467,438830,500815,625245,772281,816823,961222,1090186,1289302,1336431,1485513,1440814,1328214,1458926,1467494,1214866,1255878,1469461,1468781,1712085,1617343,1230596,1633510,2020733
 "55000","Wisconsin",3,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2078855,2181673,2381204,2520968,2744713,2936218,3156474,3456119,3779684,4074363,4450915,4692549,4872198,5068378,5303603,5607815,5886707,6264335,6387099,5903233,5993698,6410981,6626524,6822392,7094642,7458709,7598324,7918313,8219652,8448109,8276019
 "55000","Wisconsin",3,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",736365,818932,919279,1002331,1088986,1161411,1238308,1335369,1473523,1597416,1743508,1853520,1948500,2069138,2198626,2309306,2464034,2581074,2659465,2612489,2751142,3053768,3330165,3568176,3607574,3828472,3863816,4011159,4274564,4389079,4424956
 "55000","Wisconsin",3,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",1342490,1362741,1461925,1518637,1655727,1774807,1918166,2120750,2306161,2476947,2707407,2839029,2923698,2999240,3104977,3298509,3422673,3683261,3727634,3290744,3242556,3357213,3296359,3254216,3487068,3630237,3734508,3907154,3945088,4059030,3851063
 "56000","Wyoming",7,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",75381,89440,88644,94068,100049,106320,114669,125192,134684,146291,162862,164408,165704,167382,178934,181410,193113,214443,227720,209246,211764,241261,290557,338055,375751,353836,282835,310326,365410,384674,329563
 "56000","Wyoming",7,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",85971,90444,94768,101984,107520,111278,114226,119880,126898,139399,149099,173604,195093,217382,241561,274727,333832,391765,444035,424893,449439,488635,536228,572599,597433,591064,557463,573015,612343,648423,618039
 "56000","Wyoming",7,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-10590,-1004,-6124,-7916,-7471,-4958,443,5312,7786,6892,13763,-9196,-29389,-50000,-62627,-93317,-140719,-177322,-216315,-215647,-237675,-247374,-245671,-234544,-221682,-237228,-274628,-262689,-246933,-263749,-288476
"Note: See the included footnote file."
"SAINC91: Gross Flow of Earnings "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 2016-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
