GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "08000","Colorado",7,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",85636,96804,112039,124042,141938,163082,181705,205144,231023,260685,288140,308776,339231,363444,398251,429251,475850,505005,522937,563221,663105,826914,1027089,1183051,1231922,1231762,1203809,1319532,1345559,1386100,1378364
 "09000","Connecticut",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",5370559,5483238,6947512,6587012,6562261,7643944,8731622,8847223,10814836,11245543,12144273,12438570,12346603,12613300,14058040,15260486,16838519,18965515,20048519,16861169,19335042,20474031,22551417,21867210,22589881,23258596,22670018,25143632,26999521,29356822,28738450
 "09000","Connecticut",1,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",2625575,2773977,3008975,3241534,3460184,3817266,4195120,4775242,5333073,5883781,6618184,6875604,6618470,6782892,7215174,7608506,8024940,8629224,8581894,8002404,8482889,9109809,9357690,9359115,9638240,9983245,10013557,10044569,10150737,10256578,10223302
 "09000","Connecticut",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",2744984,2709261,3938537,3345478,3102077,3826678,4536502,4071981,5481763,5361762,5526089,5562966,5728133,5830408,6842866,7651980,8813579,10336291,11466625,8858765,10852153,11364222,13193727,12508095,12951641,13275351,12656461,15099063,16848784,19100244,18515148
 "10000","Delaware",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",983326,1098117,1176111,1340759,1454163,1530248,1584704,1585966,1815456,1899521,2161913,2331765,2442556,2618309,2833404,3041494,3279928,3569221,3721221,3726623,3842629,4132257,4341666,4436639,4579993,4767553,4992917,5186186,5396985,5551077,5677926
 "10000","Delaware",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1671352,1779551,1900689,2021307,2176102,2378121,2633298,2931441,3271316,3595509,3951900,4141061,4203256,4418725,4773577,5130177,5600700,5735394,5937489,5267711,5576898,6286424,6506944,6537228,7049376,7209768,7131167,7699321,7959497,8086550,7909838
 "10000","Delaware",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-688026,-681434,-724578,-680548,-721939,-847873,-1048594,-1345475,-1455860,-1695988,-1789987,-1809296,-1760700,-1800416,-1940173,-2088683,-2320772,-2166173,-2216268,-1541088,-1734269,-2154167,-2165278,-2100589,-2469383,-2442215,-2138250,-2513135,-2562512,-2535473,-2231912
 "11000","District of Columbia",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2083068,2204540,2351407,2470385,2618703,2765895,3009928,3194315,3467840,3853186,4638938,4896591,4968983,5152774,5487824,5745205,5939383,6183342,6282215,6486268,6772888,7170347,7460301,7389315,7590290,7918177,8124345,8964675,10019213,10522049,11036798
 "11000","District of Columbia",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",20066364,21122540,22443474,23119766,23639835,23828996,24066634,24876503,26258892,28727297,30124605,32121387,34455145,36761333,39591186,41921156,43253950,45368896,47154663,47581638,50083716,52737000,52804152,52315613,53863527,55250766,57457809,59644362,62742087,64456511,65679215
 "11000","District of Columbia",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-17983296,-18918000,-20092067,-20649381,-21021132,-21063101,-21056706,-21682188,-22791052,-24874111,-25485667,-27224796,-29486162,-31608559,-34103362,-36175951,-37314567,-39185554,-40872448,-41095370,-43310828,-45566653,-45343851,-44926298,-46273237,-47332589,-49333464,-50679687,-52722874,-53934462,-54642417
 "12000","Florida",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1320039,1376890,1478602,1550623,1640397,1736708,1852901,1999439,2190262,2370898,2603875,2766945,2874444,3044458,3282044,3559685,3873648,4237094,4443369,4201551,4314768,4564802,4719413,4773170,4985795,5212360,5333882,5529534,5705912,5896000,5899623
 "12000","Florida",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",687250,699847,735213,757214,786348,815221,858565,904748,969086,1017804,1087620,1148541,1198436,1271838,1364409,1479992,1575841,1640457,1656968,1557779,1588410,1633254,1702438,1721403,1774958,1868895,1959008,2072429,2187632,2314049,2332452
 "12000","Florida",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",632789,677043,743389,793409,854049,921487,994336,1094691,1221176,1353094,1516255,1618404,1676008,1772620,1917635,2079693,2297807,2596637,2786401,2643772,2726358,2931548,3016975,3051767,3210837,3343465,3374874,3457105,3518280,3581951,3567171
 "13000","Georgia",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1699498,1765333,1935048,2057878,2148346,2226428,2347420,2483790,2633620,2880792,3088694,3201395,3291371,3475852,3704800,3974026,4227130,4521680,4637868,4407776,4587971,4822576,5028958,5122734,5324721,5640282,5721738,6094989,6290686,6535449,6710924
 "13000","Georgia",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1812122,1896962,2113210,2239492,2385237,2566757,2722120,2931867,3218863,3480661,3821098,3978111,4112340,4315826,4503443,4755547,5013524,5298670,5334548,5332662,5536016,6005647,6368003,6636879,6932843,7268769,7554372,7796475,7906986,8014856,8264467
 "13000","Georgia",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-112624,-131629,-178162,-181614,-236891,-340329,-374700,-448077,-585243,-599869,-732404,-776716,-820969,-839974,-798643,-781521,-786394,-776990,-696680,-924886,-948045,-1183071,-1339045,-1514145,-1608122,-1628487,-1832634,-1701486,-1616300,-1479407,-1553543
 "15000","Hawaii",8,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "15000","Hawaii",8,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "15000","Hawaii",8,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "16000","Idaho",7,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",350747,391294,436675,479958,532314,574417,635182,703230,786579,876435,984056,990781,994107,1027147,1077643,1107249,1162672,1236266,1280503,1330761,1421400,1585753,1752032,1845104,1944278,1981270,2065192,2197762,2283918,2371011,2414262
 "16000","Idaho",7,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",193638,213093,240865,262874,286436,289133,304682,325775,340839,366159,459808,474616,493491,515664,557856,594201,673808,725813,718706,675758,697239,715776,653784,714194,711050,759209,780567,860054,899629,918786,926172
 "16000","Idaho",7,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",157109,178201,195810,217084,245878,285284,330500,377455,445740,510276,524248,516165,500616,511483,519787,513048,488864,510453,561797,655003,724161,869977,1098248,1130910,1233228,1222061,1284625,1337708,1384289,1452225,1488090
 "17000","Illinois",3,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",4129226,4364953,4729959,4894199,5257487,5562180,5931463,6423047,7016961,7508532,8122496,8352531,8505123,8804951,9261612,9732817,10372592,10657475,11334653,10511986,10859763,11608537,12372551,12699236,13095327,13647635,13844795,14351603,15112054,15662780,15481132
 "17000","Illinois",3,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",4401029,4687125,5139415,5485510,5942438,6490588,6866366,7375304,8051021,8654759,9502039,9914077,10173895,10398188,10893185,11502808,12205419,12964545,13105811,12604771,12999301,14178673,14784562,15376722,15438732,16225337,16543537,17509823,18116727,18691136,19462316
 "17000","Illinois",3,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-271803,-322172,-409456,-591311,-684951,-928408,-934903,-952257,-1034060,-1146227,-1379543,-1561546,-1668772,-1593237,-1631573,-1769991,-1832827,-2307070,-1771158,-2092785,-2139538,-2570136,-2412011,-2677486,-2343405,-2577702,-2698742,-3158220,-3004673,-3028356,-3981184
 "18000","Indiana",3,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",3448706,3608452,3970717,4238776,4583275,4954533,5231748,5610680,6031924,6527175,7092403,7400587,7588439,7858367,8325525,8778449,9184487,9703035,9715910,9240103,9294942,9836961,10151862,10588496,10788897,11504656,11954490,12626445,13217675,13864488,14388370
 "18000","Indiana",3,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1961306,2113534,2324311,2372828,2586645,2676395,2814151,3063926,3457756,3701024,3977929,4040658,4157053,4343143,4524435,4673421,4862398,5007506,5029933,4639466,4830293,5114575,5422909,5357822,5610716,5744265,6067074,6335503,6670114,6740151,6689192
 "18000","Indiana",3,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",1487400,1494918,1646406,1865948,1996630,2278138,2417597,2546754,2574168,2826151,3114474,3359929,3431386,3515224,3801090,4105028,4322089,4695529,4685977,4600637,4464649,4722386,4728953,5230674,5178181,5760391,5887416,6290942,6547561,7124337,7699178
 "19000","Iowa",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1310597,1408045,1535636,1583458,1717923,1875755,2041554,2223795,2428531,2569524,2777676,2853131,2921643,3021919,3172618,3249904,3356652,3682804,3841778,3757919,3888793,4156375,4356556,4447998,4570016,4687875,4750813,5055258,5224309,5408277,5673216
 "19000","Iowa",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",991290,1034633,1124426,1182360,1295107,1391840,1512417,1619958,1733882,1773890,1896965,1948263,1978962,2049957,2183811,2343398,2515724,2603851,2692553,2608340,2701446,2850381,3127105,3237522,3522311,3686427,3702039,3688837,3866794,3979063,4004760
 "19000","Iowa",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",319307,373412,411210,401098,422816,483915,529137,603837,694649,795634,880711,904868,942681,971962,988807,906506,840928,1078953,1149225,1149579,1187347,1305994,1229451,1210476,1047705,1001448,1048774,1366421,1357515,1429214,1668456
 "20000","Kansas",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",3013041,3099462,3355887,3570904,3705673,3953141,4121228,4348717,4616277,4914699,5324747,5465936,5629627,5758965,6000875,6374037,6835595,7142417,7488963,7388990,7519734,7428594,8092795,7972921,8184835,8571268,8726338,9249508,9634506,10081644,9952636
 "20000","Kansas",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",2045247,2152725,2329168,2455501,2639966,2795703,2974241,3304454,3551802,3896413,4203477,4332723,4432060,4589874,4882512,5113951,5467503,5888870,6075512,5694828,5845544,6189998,6452771,6606158,6997028,7415166,7451323,7705879,8049278,8397283,8557781
 "20000","Kansas",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",967794,946737,1026719,1115403,1065707,1157438,1146987,1044263,1064475,1018286,1121270,1133213,1197567,1169091,1118363,1260086,1368092,1253547,1413451,1694162,1674190,1238596,1640024,1366763,1187807,1156102,1275015,1543629,1585228,1684361,1394855
 "21000","Kentucky",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2570633,2715834,2910757,3035456,3223753,3378465,3589719,3837360,4154713,4453221,4762850,4936321,5095291,5271653,5509809,5732830,6038941,6276324,6461842,6186362,6330270,6692271,7003772,7025255,7317096,7472666,7675572,7971050,8276012,8584359,8555005
 "21000","Kentucky",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",2602320,2753786,3165628,3280689,3551830,3708645,3903726,4152368,4342233,4725016,5057450,5379786,5605052,6007534,6437298,7045647,7398769,7778138,8254701,8041407,8470960,9036386,9401007,9066252,9291135,9526045,9685245,10113060,10699725,11061217,11357360
 "21000","Kentucky",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-31687,-37952,-254871,-245233,-328077,-330180,-314007,-315008,-187520,-271795,-294600,-443465,-509761,-735881,-927489,-1312817,-1359828,-1501814,-1792859,-1855045,-2140690,-2344115,-2397235,-2040997,-1974039,-2053379,-2009673,-2142010,-2423713,-2476858,-2802355
 "22000","Louisiana",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",562904,589768,621374,641695,674885,693841,715340,773133,829322,880079,925687,971717,1001243,1023020,1073060,1164372,1298671,1435206,1574941,1551212,1614782,1795886,1988057,2066725,2206691,2215929,2087359,2095953,2223999,2333333,2225129
 "22000","Louisiana",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",673711,716260,745838,770346,823042,870262,919225,991590,1065603,1096792,1155673,1243759,1299958,1371663,1455641,1525496,1722858,1887189,2071606,2035170,2128616,2210022,2336258,2477345,2768110,2795326,2821616,3048305,3121286,3039282,2777957
 "22000","Louisiana",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-110807,-126492,-124464,-128651,-148157,-176421,-203885,-218457,-236281,-216713,-229986,-272042,-298715,-348643,-382581,-361124,-424187,-451983,-496665,-483958,-513834,-414136,-348201,-410620,-561419,-579397,-734257,-952352,-897287,-705949,-552828
 "23000","Maine",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",406130,410007,448353,482099,528964,587403,637634,716535,794684,874995,1007624,1010892,997081,1006428,1069164,1102194,1167511,1199052,1200749,1182392,1241829,1341178,1399926,1452154,1536485,1626268,1681253,1729254,1806027,1902967,1935335
