GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "97000","Rocky Mountain",7,SAINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",978,884,702,592,506,513,614,622,802,718,803,933,932,1335,1750,1737,1830,1824,2727,5494,6054,6895,9328,12118,13910,15689,17273,19444,21841
 "97000","Rocky Mountain",7,SAINC5H,200,"B","   Mining","Thousands of dollars",113917,93922,66512,43702,39359,46223,60353,75676,100637,74714,77018,92515,108192,134844,153434,148952,139437,137875,178576,206095,194767,204015,243126,277662,296984,273685,313245,360161,365741
 "97000","Rocky Mountain",7,SAINC5H,300,"C","   Construction","Thousands of dollars",44043,35911,36455,23900,17034,32031,38689,54163,48071,49672,53564,47536,79751,269843,187808,103463,91494,144236,190586,249683,267989,315978,387410,410428,373869,371844,429600,499828,546467
 "97000","Rocky Mountain",7,SAINC5H,400,"D","   Manufacturing","Thousands of dollars",153776,133094,101326,71360,70374,82015,96652,113958,136347,114528,126072,132420,163129,250483,309653,278018,292008,305032,371734,440485,445409,504240,599982,650540,699634,690339,772891,862890,929620
 "97000","Rocky Mountain",7,SAINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",170965,153814,124538,96560,90028,100126,113471,132769,150983,140523,144186,147092,173905,216583,262663,315868,317485,343172,376366,421743,433417,449119,512306,566801,591500,576270,601852,647572,684461
 "97000","Rocky Mountain",7,SAINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",245843,218705,179509,135533,121038,158908,185552,211600,244595,240072,255628,282497,331627,382839,452541,485969,538256,685183,737316,780740,795403,835939,951147,1000570,1040818,1050410,1135227,1218751,1280289
 "97000","Rocky Mountain",7,SAINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",50261,42400,37365,31985,30477,31134,32936,36274,37590,36591,38021,40923,42714,44630,49722,54525,63412,81820,88222,107899,121802,154325,165954,183283,203151,222376,256548,276709,293711
 "97000","Rocky Mountain",7,SAINC5H,800,"I","   Services","Thousands of dollars",147739,141610,123078,96521,85348,94876,103035,114266,124066,118773,123118,129607,140666,166628,189361,207040,231048,292767,329771,388300,401054,441160,478748,518663,567691,595689,678048,749762,812670
 "97000","Rocky Mountain",7,SAINC5H,900,"...","  Government and government enterprises","Thousands of dollars",133291,138449,137284,132506,140545,182424,188762,226211,209195,228693,225201,229986,259111,434072,734787,765000,787816,615810,529494,546351,627907,695763,904767,1049303,1028749,1096430,1167239,1279478,1333371
 "97000","Rocky Mountain",7,SAINC5H,910,"...","   Federal civilian","Thousands of dollars",45097,46499,46094,43211,55581,75260,76065,125005,102161,119609,114126,114317,116012,152443,241747,245201,256402,274015,236056,229962,248317,263824,362903,433752,406735,398056,414910,451241,480216
 "97000","Rocky Mountain",7,SAINC5H,920,"...","   Military","Thousands of dollars",7203,7321,6974,6856,6485,6505,7184,7984,8699,8971,10599,11847,32141,167598,372334,391154,388471,172973,96983,87658,126079,161231,242528,284145,261248,306440,319998,347291,319268
 "97000","Rocky Mountain",7,SAINC5H,930,"...","   State and local","Thousands of dollars",80991,84629,84216,82439,78479,100659,105513,93222,98335,100113,100476,103822,110958,114031,120706,128645,142943,168822,196455,228731,253511,270708,299336,331406,360766,391934,432331,480946,533887
"Note: See the included footnote file."
"SAINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
