GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "22000","Louisiana",5,SAINC5H,200,"B","   Mining","Thousands of dollars",10014,10602,8944,6880,6189,11800,15553,19595,26050,27430,28083,31500,37638,37174,42361,50252,55554,63435,80721,115922,124323,131033,145383,166928,188896,213656,252768,305378,335174
 "22000","Louisiana",5,SAINC5H,300,"C","   Construction","Thousands of dollars",21200,20358,15775,9486,6525,9820,9982,13166,20308,26360,30578,41226,79938,104228,144993,86377,53749,71442,99109,146607,163471,167206,203340,231121,266984,245130,229030,282442,364862
 "22000","Louisiana",5,SAINC5H,400,"D","   Manufacturing","Thousands of dollars",121083,104762,75847,51301,57247,68757,75712,86471,103192,100985,104492,114999,148975,247284,352787,414264,358202,300813,362044,417927,394495,436801,496654,555864,624943,620593,647652,702702,753781
 "22000","Louisiana",5,SAINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",85645,77683,63004,48602,44731,48750,51894,58687,69369,63719,69156,73808,86823,110064,130217,158919,177191,180729,214311,255739,256708,266720,310188,340631,357071,357638,377049,419296,460239
 "22000","Louisiana",5,SAINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",115524,109498,94326,74990,67737,84322,91064,96205,115524,123856,131965,144871,180742,211213,264184,291190,321518,391254,407740,422156,449754,470050,513092,545676,575461,608792,650968,712807,776618
 "22000","Louisiana",5,SAINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",32841,28903,27240,18430,17066,18491,19816,22342,24696,24311,25072,26618,28974,29617,33504,35381,39495,49655,53475,64432,74300,86836,94923,105165,117270,130245,146191,159911,180992
 "22000","Louisiana",5,SAINC5H,800,"I","   Services","Thousands of dollars",103176,96595,83208,65467,58194,66043,70292,79194,88181,85471,89338,91721,105378,127388,157233,179126,192976,210865,230410,249010,275670,296186,312331,332403,358270,370502,423156,466227,522511
 "22000","Louisiana",5,SAINC5H,900,"...","  Government and government enterprises","Thousands of dollars",61644,64744,68401,61943,72661,81100,88090,102572,99039,106668,113352,115687,232771,377452,575754,632637,567464,358249,250756,265039,306051,350815,474043,547837,570908,535009,550750,637515,717258
 "22000","Louisiana",5,SAINC5H,910,"...","   Federal civilian","Thousands of dollars",16642,17450,17088,16194,21714,27840,29587,52783,44965,47568,50906,48940,57739,73642,111252,113888,120285,118269,89953,77273,83070,80831,106222,110461,114604,105658,118060,121344,135671
 "22000","Louisiana",5,SAINC5H,920,"...","   Military","Thousands of dollars",716,903,1000,1036,1608,1475,2229,2316,2692,3294,3743,6674,110827,237688,393401,441723,365075,151850,54259,52156,59603,93265,174715,225930,226677,172688,146285,202163,217497
 "22000","Louisiana",5,SAINC5H,930,"...","   State and local","Thousands of dollars",44286,46391,50313,44713,49339,51785,56274,47473,51382,55806,58703,60073,64205,66122,71101,77026,82104,88130,106544,135610,163378,176719,193106,211446,229627,256663,286405,314008,364090
"Note: See the included footnote file."
"SAINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
