GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "45000","South Carolina",5,SAEMP27S,417,"25","     Furniture and fixtures","Number of jobs",4880,4769,5023,5546,5850,5093,3864,4570,4558,4997,5051,4804,4920,4485,4964,5044,4979,4263,4558,4538,4473,4436,4246,4454,4675,4632,4814,4768,4806,5050,4860,4733,(NA)
 "45000","South Carolina",5,SAEMP27S,420,"32","     Stone, clay, and glass products","Number of jobs",12189,11144,10301,11029,12188,12437,10754,10699,11231,11806,11950,11000,11033,10245,10503,11139,10859,10990,10820,10480,10296,9843,9566,9099,8924,9080,9297,9165,9313,9641,10299,10935,(NA)
 "45000","South Carolina",5,SAEMP27S,423,"33","     Primary metal industries","Number of jobs",1718,2846,3184,3258,4087,4622,3856,4455,4811,5871,6763,7602,7691,6088,6177,7826,7975,7844,8086,8288,8924,9192,8913,9030,8220,8557,8478,8676,8883,9040,8657,9325,(NA)
 "45000","South Carolina",5,SAEMP27S,426,"34","     Fabricated metal products","Number of jobs",7502,7617,7723,8432,10187,10569,9981,11631,13279,14071,14920,14465,14974,13560,13819,15109,15249,15016,15400,16546,17278,17452,16738,17544,18103,17793,17337,17983,18667,19959,20283,20123,(NA)
 "45000","South Carolina",5,SAEMP27S,429,"35","     Industrial machinery and equipment","Number of jobs",15717,15591,16219,19318,22101,24245,22987,24757,27563,29995,31503,31596,31338,28660,27692,30682,29635,29309,30624,34221,35971,36942,36407,35810,37614,39100,41632,38404,39203,40373,39216,39709,(NA)
 "45000","South Carolina",5,SAEMP27S,432,"36","     Electronic and other electric equipment","Number of jobs",13543,13170,12208,13879,18001,19112,14846,15851,18024,18992,21028,22043,21673,22328,20389,23017,21691,20697,21914,22155,23260,22964,21848,22285,23532,24533,25324,24755,23969,23589,23347,25485,(NA)
 "45000","South Carolina",5,SAEMP27S,435,"371","     Motor vehicles and equipment","Number of jobs",983,950,843,851,942,808,454,1072,1174,1390,1454,1293,1453,1912,2887,3413,3744,3962,4822,6485,6389,6673,6137,6809,7409,8750,10225,13971,14879,16026,17607,19828,(NA)
 "45000","South Carolina",5,SAEMP27S,438,"372-379","     Other transportation equipment","Number of jobs",7996,7132,5147,3572,3329,2841,2254,2569,2610,2543,2457,2480,3055,2863,3156,3727,4104,3803,4338,4714,4419,4179,4172,3922,3614,3676,3380,3767,3913,4615,5330,5849,(NA)
 "45000","South Carolina",5,SAEMP27S,441,"38","     Instruments and related products","Number of jobs",2900,3174,2907,3162,3657,4433,4338,4988,5499,6046,5668,5929,5805,5249,5650,5790,5671,5821,5808,5907,5211,5323,5554,5278,5127,4926,4924,4841,4630,4450,4524,5100,(NA)
 "45000","South Carolina",5,SAEMP27S,444,"39","     Miscellaneous manufacturing industries","Number of jobs",4791,4415,4179,4816,5088,5355,4620,4482,4549,4726,5210,4946,4384,3925,3692,3884,3640,3829,3609,3739,3689,3580,3751,3757,3824,3721,3782,3932,3899,4147,4648,4494,(NA)
 "45000","South Carolina",5,SAEMP27S,447,"...","     Ordnance 2/","Number of jobs",171,161,147,1,1,0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "45000","South Carolina",5,SAEMP27S,450,"...","    Nondurable goods manufacturing","Number of jobs",256453,256453,256200,265359,276755,272524,249306,272809,272463,275749,278212,272799,269743,252660,252004,256836,245178,245528,250286,254548,254765,248521,240150,241059,240635,239243,234228,222845,216890,210263,192143,186055,172244
 "45000","South Carolina",5,SAEMP27S,453,"20","     Food and kindred products","Number of jobs",14542,14712,14661,14040,14037,13919,13012,13838,14055,14427,14687,14536,13986,14251,14284,14493,14879,15162,15577,15622,15186,15001,14481,14718,15350,16014,17325,17726,17984,18149,18538,18205,(NA)
 "45000","South Carolina",5,SAEMP27S,456,"21","     Tobacco products","Number of jobs",1131,1072,929,701,327,376,415,538,445,513,463,452,509,551,632,608,534,379,324,368,(D),(D),(D),(D),(D),43,31,19,(D),(D),(D),(D),(NA)
 "45000","South Carolina",5,SAEMP27S,459,"22","     Textile mill products","Number of jobs",151702,149516,147509,153734,160470,155791,137353,150856,147142,144257,142986,137732,133241,118187,114345,113856,105401,104336,106872,106797,104674,98714,93966,92654,92415,92956,88712,81722,79427,76151,71762,68916,(NA)
 "45000","South Carolina",5,SAEMP27S,462,"23","     Apparel and other textile products","Number of jobs",43163,44068,44686,45690,46249,44432,42293,46179,45921,48506,47979,46613,47212,45260,47344,49513,45059,45359,45826,45953,44869,40779,37813,38618,36259,33895,32578,29056,25853,22290,19157,16533,(NA)
 "45000","South Carolina",5,SAEMP27S,465,"26","     Paper and allied products","Number of jobs",11759,12029,12183,12318,12660,12857,12883,13517,13795,13984,14037,14198,13926,14134,14482,15385,15578,15900,16090,16094,16626,17002,17419,18122,18525,18811,17883,17717,17973,18032,17467,17424,(NA)
 "45000","South Carolina",5,SAEMP27S,468,"27","     Printing and publishing","Number of jobs",4878,5133,5455,5554,6257,6426,6256,6432,6723,7009,7310,7540,8129,8275,8779,9335,9916,10301,10793,11328,11677,12025,11902,11530,11621,11969,12294,13063,13509,13702,14040,13864,(NA)
 "45000","South Carolina",5,SAEMP27S,471,"28","     Chemicals and allied products","Number of jobs",25509,25879,26875,29274,31956,32972,28775,30655,31387,32491,33573,33437,32972,32251,32694,33267,32902,32536,32735,35814,37753,40516,40892,41594,41849,40686,40080,39107,38217,37860,26110,24706,(NA)
 "45000","South Carolina",5,SAEMP27S,474,"29","     Petroleum and coal products","Number of jobs",234,244,255,289,300,285,325,342,340,365,345,411,354,422,402,420,404,424,386,452,451,487,564,397,418,411,396,394,386,393,289,287,(NA)
