GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "48000","Texas",6,SAINC50,82,"...","   Less: Refunds","Thousands of dollars",70752,106544,80093,86911,98068,116732,122374,142088,143007,152555,176626,185842,187263,201209,216576,233364,244186,195054,231297,319878,379936,419677,552231,613616,615404,977061,1090389,1640168,1576480,1733317,1953179,2174017,2866485,3375130,4237475,4878216,5167422,5348769,5739293,5748482,5457201,5369804,4927208,5326829,5446564,5185742,5290614,6134684,6512972,6978011,7432491,9298721,9938930,10991740,13516113,13669069,14393138,14419323,15860233,16646992,23192031,23061080,21776259,19942441,21429648,21375002,21974770,22386783,24348221,24045640,26360283,24200648,24130007
 "48000","Texas",6,SAINC50,120,"..."," State governments","Thousands of dollars",18688,20724,23908,28114,31494,33850,36004,42487,46840,52618,59437,68407,69973,74148,78674,81273,82614,89220,87417,88759,109935,119372,123336,130150,141911,164331,173775,177113,200060,213701,224021,217961,240465,263603,276423,286471,374673,495035,563090,599605,610114,624389,642555,642836,653152,623235,629789,656760,639074,691552,728102,761865,812659,807714,856267,892109,1026073,1076334,1149318,1201864,1200195,1231366,1332693,1428629,1683395,1672381,1708150,1730483,1812399,1823734,1907461,1850945,1801965
 "48000","Texas",6,SAINC50,130,"...","  Income taxes","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "48000","Texas",6,SAINC50,150,"...","  Motor vehicle licenses","Thousands of dollars",16302,18417,21424,24917,27430,30173,32526,38276,42863,48095,54605,62879,64456,68576,73181,75231,76666,82426,80694,83990,104099,113686,116306,124552,134407,154002,161125,163931,188483,200856,211834,204606,226881,247101,256709,266945,340551,465632,527120,561804,576388,586004,602058,594790,606148,576258,580140,607548,585210,621365,661964,697397,746963,739839,789767,826303,942214,988583,1059968,1105123,1085477,1106918,1174805,1268108,1495238,1551073,1588553,1581657,1644969,1654789,1729281,1661970,1594873
 "48000","Texas",6,SAINC50,160,"...","  Other taxes 5/","Thousands of dollars",2386,2307,2484,3197,4064,3677,3478,4211,3977,4523,4832,5528,5517,5572,5493,6042,5948,6794,6723,4769,5836,5686,7030,5598,7504,10329,12650,13182,11577,12845,12187,13355,13584,16502,19714,19526,34122,29403,35970,37801,33726,38385,40497,48046,47004,46977,49649,49212,53864,70187,66138,64468,65696,67875,66500,65806,83859,87751,89350,96741,114718,124448,157888,160521,188157,121308,119597,148826,167430,168945,178180,188975,207092
 "48000","Texas",6,SAINC50,180,"..."," Local governments","Thousands of dollars",1683,1784,1864,1663,1488,1377,1388,2470,2799,3816,2402,4818,5886,5437,6772,11634,12928,12289,14246,13614,13943,19616,24231,20441,19492,18615,20669,23762,24060,23081,31039,29378,30297,31067,34820,44507,54075,58509,67323,72618,84386,94137,91115,104842,114775,139984,170089,173494,179504,189517,185119,189077,181572,193721,211504,220591,248825,272855,264562,294021,284952,246134,229422,241068,253990,251245,280624,300671,316319,324958,317700,329157,340194
 "48000","Texas",6,SAINC50,190,"...","  Income taxes","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "48000","Texas",6,SAINC50,200,"...","  Motor vehicle licenses","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),16500,19558,16451,16523,15902,16220,18810,18355,17840,24174,22166,21831,21131,23289,30162,38662,41955,54116,59659,69775,78919,76063,89296,98464,104204,122503,110798,118391,123524,126045,128970,139180,145380,157815,159008,159175,159603,159254,164180,166999,157432,152554,157841,154819,144967,168051,173573,169652,181598,172622,175270,179950
 "48000","Texas",6,SAINC50,210,"...","  Other taxes","Thousands of dollars",1683,1784,1864,1663,1488,1377,1388,2470,2799,3816,2402,4818,5886,5437,6772,11634,12928,12289,14246,13614,13943,3116,4673,3990,2969,2713,4449,4952,5705,5241,6865,7212,8466,9936,11531,14345,15413,16554,13207,12959,14611,15218,15052,15546,16311,35780,47586,62696,61113,65993,59074,60107,42392,48341,53689,61583,89650,113252,105308,129841,117953,88702,76868,83227,99171,106278,112573,127098,146667,143360,145078,153887,160244
 "48000","Texas",6,SAINC50,230,"..."," State and local personal property taxes","Thousands of dollars",15687,17514,18842,20336,22079,23822,25399,26229,25067,23324,25270,42332,47720,52912,40273,37683,33742,30706,26338,23026,19519,18671,18632,16790,14684,19278,21753,26120,25358,24012,27743,29523,31191,33623,15555,26888,14348,16972,23932,36401,19253,30819,42393,51129,62871,39341,73573,121753,134818,113047,109345,143989,153275,159587,178458,197440,213406,224212,262030,288302,230438,284159,267717,260973,263271,355216,351623,486319,506170,526791,551646,584034,599761
"Note: See the included footnote file."
"SAINC50: Personal Current Taxes "
"Last updated: March 23, 2022— revised statistics for 2010-2020."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
