GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "44000","Rhode Island",1,SAEMP27N,519,"3364-3369","     Other transportation equipment manufacturing","Number of jobs",2448,2789,2920,(D),(D),(D),(D),(D),(D),(D),(D),3171,(D),(D),(D),(D),4276,4647,4359,(D),(D),5087,4711
 "44000","Rhode Island",1,SAEMP27N,521,"337","     Furniture and related product manufacturing","Number of jobs",1958,1998,1978,1901,1894,1802,1873,1921,1860,1782,(D),(D),1275,1264,1207,1226,1365,1325,1340,1225,1176,1125,1054
 "44000","Rhode Island",1,SAEMP27N,522,"339","     Miscellaneous manufacturing","Number of jobs",15245,14206,13411,13490,12351,11300,10783,10503,9805,9425,8574,6989,6649,6539,5992,5813,5711,5726,5482,5223,5111,4878,4282
 "44000","Rhode Island",1,SAEMP27N,530,"311-316,322-326","    Nondurable goods manufacturing","Number of jobs",25159,24705,24133,22624,21348,20381,(D),18945,18608,17913,16812,14932,14565,14568,14365,14533,14802,15178,15221,15250,14560,14284,14024
 "44000","Rhode Island",1,SAEMP27N,531,"311","     Food manufacturing","Number of jobs",3090,3143,3239,3260,3227,3034,2933,2841,2837,2869,2947,2937,2941,2999,3030,3092,3187,3284,3510,3462,3195,3192,3431
 "44000","Rhode Island",1,SAEMP27N,532,"312","     Beverage and tobacco product manufacturing","Number of jobs",634,656,738,701,668,610,617,584,537,538,527,508,505,516,231,263,287,361,391,445,511,603,532
 "44000","Rhode Island",1,SAEMP27N,533,"313","     Textile mills","Number of jobs",6760,6178,5584,4828,4493,4147,3828,(D),(D),(D),2601,(D),(D),(D),(D),(D),(D),2119,(D),(D),(D),1803,1652
 "44000","Rhode Island",1,SAEMP27N,534,"314","     Textile product mills","Number of jobs",1225,1230,1289,1258,1207,1185,860,720,687,636,601,508,504,527,556,560,569,565,557,548,533,490,434
 "44000","Rhode Island",1,SAEMP27N,535,"315","     Apparel manufacturing","Number of jobs",329,312,334,(D),(D),(D),224,219,223,193,163,91,87,60,72,59,(D),(D),37,41,110,120,(D)
 "44000","Rhode Island",1,SAEMP27N,536,"316","     Leather and allied product manufacturing","Number of jobs",(T),359,376,399,(D),252,(D),179,(D),(D),(D),(D),159,(D),121,(D),(D),127,114,112,104,(D),111
 "44000","Rhode Island",1,SAEMP27N,537,"322","     Paper manufacturing","Number of jobs",1774,1669,1857,1784,(D),1533,1431,1367,1339,1346,1611,1359,1300,1208,1170,(D),1152,1450,1379,1347,1310,1312,1116
 "44000","Rhode Island",1,SAEMP27N,538,"323","     Printing and related support activities","Number of jobs",3497,3313,3190,3001,2688,2277,2098,2157,2085,1975,1852,1584,1493,(D),1557,1601,1686,1719,1671,1660,1731,1660,1524
 "44000","Rhode Island",1,SAEMP27N,539,"324","     Petroleum and coal products manufacturing","Number of jobs",(T),(T),(T),(D),(D),(D),57,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
