GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "33000","New Hampshire",1,SAEMP25N,515,"333","     Machinery manufacturing","Number of jobs",9056,8860,9190,9142,7982,7490,7483,7803,8226,8538,8901,8193,7827,8086,7972,7910,7678,7373,7263,7179,7343,7371,7135
 "33000","New Hampshire",1,SAEMP25N,516,"334","     Computer and electronic product manufacturing","Number of jobs",27547,26367,27114,25990,20270,18729,19536,19102,18494,18546,17928,16387,15997,16086,15059,14570,14675,15087,15230,15468,16392,16741,16080
 "33000","New Hampshire",1,SAEMP25N,517,"335","     Electrical equipment, appliance, and component manufacturing","Number of jobs",6350,6328,6974,6764,5501,4782,4741,4740,4910,5242,4959,4234,3807,3804,3886,3850,3913,4157,4296,4373,4312,4414,4087
 "33000","New Hampshire",1,SAEMP25N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Number of jobs",2611,2598,2445,(D),(D),(D),(D),1073,584,468,440,495,436,451,(D),(D),(D),(D),886,926,952,971,875
 "33000","New Hampshire",1,SAEMP25N,519,"3364-3369","     Other transportation equipment manufacturing","Number of jobs",1052,1020,1052,(D),(D),(D),(D),1304,1330,1471,1522,1386,1341,1362,(D),(D),(D),(D),1349,1536,1620,1714,1398
 "33000","New Hampshire",1,SAEMP25N,521,"337","     Furniture and related product manufacturing","Number of jobs",1844,1855,1804,1641,1534,1542,1527,1457,1451,1447,1400,1215,1151,1178,1180,1223,1239,1261,1283,1294,1189,1158,1108
 "33000","New Hampshire",1,SAEMP25N,522,"339","     Miscellaneous manufacturing","Number of jobs",7572,7160,6963,6305,6320,6256,5985,6334,5930,6042,5672,5246,5013,5017,4946,4858,4807,5035,5264,5172,5281,5177,4872
 "33000","New Hampshire",1,SAEMP25N,530,"311-316,322-326","    Nondurable goods manufacturing","Number of jobs",27368,26526,26261,25107,23198,22078,21142,20445,20254,19827,19254,17458,16714,16839,17385,17913,18356,18786,19042,19343,19621,19534,18274
 "33000","New Hampshire",1,SAEMP25N,531,"311","     Food manufacturing","Number of jobs",2586,2587,2500,2568,2669,2696,2393,2451,2541,2774,2849,2705,2546,2609,2788,2903,2958,3034,3073,3219,3271,3216,3192
 "33000","New Hampshire",1,SAEMP25N,532,"312","     Beverage and tobacco product manufacturing","Number of jobs",916,938,979,1020,1047,973,923,878,813,800,766,701,697,704,773,843,877,983,1075,1174,1291,1426,1413
 "33000","New Hampshire",1,SAEMP25N,533,"313","     Textile mills","Number of jobs",2641,2208,2107,2183,1988,1657,1668,1567,1513,1604,1617,1458,1483,1553,1666,1853,2008,1989,1897,1975,1932,1880,1605
 "33000","New Hampshire",1,SAEMP25N,534,"314","     Textile product mills","Number of jobs",420,368,331,310,302,289,271,245,241,306,293,246,262,286,259,264,293,300,284,290,302,273,256
 "33000","New Hampshire",1,SAEMP25N,535,"315","     Apparel manufacturing","Number of jobs",1037,794,722,903,798,753,757,768,768,745,695,729,687,619,673,692,680,685,675,667,624,642,637
 "33000","New Hampshire",1,SAEMP25N,536,"316","     Leather and allied product manufacturing","Number of jobs",1505,1347,1173,999,748,605,527,375,342,314,246,218,181,195,186,171,260,290,270,253,243,247,223
 "33000","New Hampshire",1,SAEMP25N,537,"322","     Paper manufacturing","Number of jobs",3942,4200,4060,3608,3033,3080,2950,2722,2233,1948,1675,1437,1343,1146,1197,1127,1001,917,864,837,830,839,792
 "33000","New Hampshire",1,SAEMP25N,538,"323","     Printing and related support activities","Number of jobs",5565,5334,5138,4720,4453,4096,3932,3851,3744,3606,3426,3150,2700,2728,2779,2750,2837,2816,2791,2732,2710,2549,2247
 "33000","New Hampshire",1,SAEMP25N,539,"324","     Petroleum and coal products manufacturing","Number of jobs",198,198,201,222,197,220,173,196,208,213,229,235,230,248,275,278,273,284,269,265,269,268,247
