GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "05000","Arkansas",5,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",836,781,808,912,979,1012,1025,1127,1171,1190,1242,1329,1314,1418,1464,1533,1668,1755,1925,2043,2184,2399,2623,2893,3178,3676,3993,4355,4726,5183,5912,6355,6773,7669,8006,8538,9533,10065,10588,10933,11754,12550,13137,13787,14838,15301,15957,16674,17424,17992,18841,19463,20218,21234,21976,23392,24781,25653,26840,28186,29065,28864,29723,31201,33378,33186,35102,36127,36889,37989,39768,40901,43345,46278
 "06000","California",8,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",16422.1,17029.3,18994.4,21517.5,23600.7,25509.2,26515.2,28992.7,31859.3,34142.3,35986.1,39212.7,41297.8,43781.8,47106.9,50357.9,55413.0,59226.7,64053.3,68608.2,74321.6,80909.1,88696.5,95640.1,103193.2,114302.3,126995.2,142188.2,156188.0,172077.6,194344.8,218823.1,248346.5,279731.4,301925.0,327046.4,363016.2,390127.6,419192.1,446458.4,489727.3,522102.1,560582.5,586642.5,623681.3,639159.8,658421.4,688273.7,723365.6,761912.3,823205.4,871455.6,940093.7,993284.3,1043637.2,1100925.0,1167986.8,1216946.7,1306084.3,1357421.3,1382790.7,1379342.6,1435868.9,1506444.4,1602913.5,1603552.4,1704446.4,1815222.7,1899055.0,1984988.6,2077993.1,2172607.7,2393408.5,2550224.5
 "06000","California",8,SAINC51,52,"...","Population (persons) 1/","Number of persons",10064000,10337000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37322360,37650514,37970368,38291358,38636290,38966055,39223210,39424071,39535906,39547996,39499738,39237836
 "06000","California",8,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1632,1647,1779,1933,2028,2082,2080,2208,2323,2394,2418,2535,2602,2654,2759,2850,3053,3187,3397,3578,3832,4105,4430,4701,5013,5477,5998,6602,7121,7699,8509,9410,10434,11518,12165,12896,14046,14755,15467,16073,17205,17869,18711,19253,20135,20437,20913,21714,22592,23454,24955,26014,27660,28808,29928,31229,32832,33966,36259,37446,37777,37319,38472,40011,42215,41878,44115,46585,48417,50350,52560,54936,60593,64994
 "08000","Colorado",7,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",1721.6,1759.6,1927.9,2251.7,2395.9,2428.7,2523.5,2758.2,3013.0,3338.0,3399.7,3657.8,3864.0,4157.7,4393.6,4601.9,4964.2,5287.4,5644.2,6057.9,6650.5,7383.1,8450.1,9583.1,10704.4,12286.4,13711.9,15358.1,16806.3,18613.9,21393.9,24358.8,27893.9,31904.3,34991.7,38709.9,42355.6,44775.6,46686.9,48254.9,51195.3,54754.5,57786.7,61378.4,66691.0,71993.9,77212.5,83917.8,89863.2,95959.8,105650.2,113033.9,125034.0,132901.6,136307.5,140902.7,146288.3,154539.2,165871.0,175766.3,183718.3,179357.2,184135.9,197447.7,209549.6,219367.9,238194.8,248768.9,252120.8,270528.9,291782.7,307650.9,327640.7,350726.0
 "08000","Colorado",7,SAINC51,52,"...","Population (persons) 1/","Number of persons",1263000,1295000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047005,5119188,5188703,5263512,5342996,5442196,5529161,5600169,5677250,5735934,5784308,5812069
 "08000","Colorado",7,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1363,1359,1455,1698,1755,1697,1690,1784,1854,2006,2039,2139,2184,2255,2314,2377,2520,2664,2812,2951,3137,3409,3800,4160,4452,4923,5396,5939,6385,6904,7733,8549,9589,10714,11429,12353,13361,13954,14421,14800,15693,16715,17471,18121,19077,19922,20733,21930,22924,23881,25664,26747,28897,30030,30355,31113,31975,33364,35139,36588,37572,36072,36484,38570,40386,41677,44581,45711,45598,48307,51395,53636,56643,60344
 "09000","Connecticut",1,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",3131.8,3123.2,3486.6,3907.2,4202.8,4594.0,4743.7,5123.0,5565.1,5963.8,5773.1,6155.8,6357.5,6754.7,7205.5,7572.6,8289.2,8855.3,9647.0,10492.9,10935.5,12432.9,13628.4,14585.5,15501.7,16993.4,18527.8,20196.4,21522.0,23715.1,26123.7,29129.2,32976.3,36882.3,39776.5,43638.5,49086.2,52239.5,55882.4,60377.6,67440.2,73218.8,75737.8,76621.2,81411.4,83714.1,86079.0,90231.0,92971.5,97775.1,104522.5,110077.7,119344.6,126263.7,131399.6,134728.5,141567.9,147115.4,158611.4,168880.2,182142.1,186765.3,193205.4,194991.0,198380.0,189518.7,198746.3,203657.5,209623.0,213758.4,224649.8,228907.2,238709.9,248912.1
 "09000","Connecticut",1,SAINC51,52,"...","Population (persons) 1/","Number of persons",2014000,2032000,2016000,2028000,2081000,2168000,2249000,2300000,2316000,2359000,2446000,2523000,2544000,2586000,2647000,2727000,2798000,2857000,2903000,2935000,2964000,3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3580279,3594193,3605259,3610314,3614695,3611995,3607688,3607615,3611318,3607159,3600260,3605597
 "09000","Connecticut",1,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1555,1537,1729,1927,2020,2119,2109,2227,2403,2528,2360,2440,2499,2612,2722,2777,2963,3100,3323,3575,3689,4144,4485,4764,5050,5537,6024,6547,6974,7678,8441,9397,10593,11788,12672,13799,15436,16319,17335,18593,20612,22300,23007,23198,24665,25298,25958,27144,27863,29192,31058,32506,34980,36781,37991,38667,40493,41950,45093,47878,51372,52436,53964,54252,55025,52494,54983,56384,58105,59252,62207,63459,66304,69035
